mpid,formula,bulk modulus
mp-7192,Sc2Sb,72.74002500330512
mp-8880,AlP,82.88970372433077
mp-788,CoTe,110.36267817696071
mp-5606,AlTlF4,58.73576102641131
mp-862892,PmCdHg2,60.0
mp-34023,Ba2NbO,21.76789840846869
mp-556225,Ag2S,22.643655693085588
mp-603930,MgSiO3,104.3922200946103
mp-21158,CeAlPd,92.86336078439312
mp-556911,FeF2,97.11733904102613
mp-867195,SrOsO3,186.57057669933133
mp-861738,CaMgPb,36.04821254547712
mp-644424,Sr2CoO3,79.15211423812407
mp-23406,Cs2PtCl6,8.262151451125867
mp-1018148,ScAu2,107.0
mp-10969,CdCN2,86.42207626585535
mp-864840,NbZnRu2,217.80214291482238
mp-10885,AlCrNi2,162.12391406151738
mp-4835,LaCuSi,85.0
mp-768305,Sr2HfO4,123.4101520677774
mp-11533,ZrZnNi4,166.81991145510938
mp-25111,Sr3V2O7,130.8948857764621
mp-2588,YCo3,152.38881197309178
mp-762915,Li2(NiO2)3,94.52160695616924
mp-510584,MoO3,31.011067056525988
mp-22434,HfFeP,212.7444952813672
mp-952,MoPt2,271.5315620821225
mp-569581,Bi2Pt,31.07972274932716
mp-999068,Ti2AlV,118.95783853226948
mp-554212,Tl2Ni3S2,53.92508062580582
mp-23034,SrZnCl4,31.4984043915794
mp-8624,K2Sn2O3,23.180051313008647
mp-1007974,CrNi3,193.2418363694317
mp-501,TaSe2,23.0
mp-616559,Ti2S,147.44395039312934
mp-1018012,TiFeCoGe,220.0
mp-769970,ScFeO3,173.87540322789212
mp-690535,Na(WO3)2,179.69093628064346
mp-1708,YTe,60.10865172851783
mp-13915,LiNi2Sn,108.33860832267322
mp-10390,Ta2O5,129.039620746174
mp-862258,Sc2ZnPt,106.79097887885777
mp-28895,Ba(P2Pd)2,87.62806671300743
mp-4997,ZrGeS,119.35881065903216
mp-568,TiSb2,88.85072032994103
mp-555047,LiCoF4,61.27325893554541
mp-3595,ZnSiAs2,65.88488083367864
mp-23866,H2SeO4,9.364110292441172
mp-504908,In2TeO6,141.6158840457244
mp-9592,Yb(MnAs)2,61.087641275287545
mp-10700,MgNi3C,175.61754692790728
mp-12533,La2Hf2O7,164.8165474486595
mp-754223,Ta2CuO6,134.5822021072992
mp-20315,Ti2InC,126.88832796879707
mp-944,AlB2,184.74891814634742
mp-8703,Na3SbSe4,20.308712019311592
mp-982393,Pm2ZnAg,54.0
mp-10003,Nb4CoSi,191.0
mp-569558,AlAu2,118.3886732527912
mp-12779,CdTe,35.006810593214816
mp-23041,SbSI,7.0
mp-1994,HfB2,251.0
mp-1598,Na3P,25.598762214987325
mp-30885,YZn5,78.74630396206055
mp-720,TlF,4.0
mp-567181,ZrRh,162.0
mp-753946,LiCoS2,74.43254230954052
mp-18807,V2Zn2O7,110.57672591567213
mp-643260,Na2H4Pd,23.0
mp-865186,MgGaIr2,185.98354367851445
mp-30599,Ti2Cu3,131.80637747243185
mp-865003,Be2IrPd,216.28806124783068
mp-22297,Cu2Se,89.39712893632597
mp-3340,TaAlCo2,203.0
mp-18819,Ni2P2O7,131.0
mp-542583,EuTe,33.341982454129194
mp-10887,HfAlCu2,134.71177223650614
mp-866108,HfZn3,103.04671276586795
mp-11400,ScGaNi2,129.7142965588709
mp-977463,MgMnRh2,133.24878082811966
mp-4574,YbTaO4,59.40704068943296
mp-1699,AlCr2,186.2669254753526
mp-15685,Na2CuAs,29.79933473851559
mp-16730,MoN,325.65759854493814
mp-9888,Ir3Se8,83.57523946209719
mp-27743,BiF5,14.560240013082913
mp-5918,Hf2NiP,167.0
mp-865730,TiZnAu2,134.8812807191492
mp-2078,TiCu,130.4904512642569
mp-850251,Na2Ti9O19,124.23128569554848
mp-569683,InAu3,108.24700914096971
mp-867275,BeVOs2,279.96809244183885
mp-865747,Y2MgGe2,71.8107263807011
mp-571143,TiCl3,5.479963790493468
mp-568495,Cu10Sn3,110.0
mp-636289,WO3,192.03791210524258
mp-27731,HfH2,149.24976471219634
mp-557523,VS2,10.580691913218963
mp-7473,LiCu2Si,104.07323892041704
mp-997590,La8MgAl7O24,184.22035616614968
mp-22958,KBrO3,15.26773898575752
mp-20791,MnVAs,106.4751270301918
mp-22864,Bi2Pt,81.52368764747386
mp-20730,HfCo2Sn,163.78682452581572
mp-10778,RbPrSe2,32.16082843696594
mp-1078,CaCd2,40.28908396847432
mp-636331,V3Pt,156.0
mp-9969,ScSi,101.32680667643848
mp-12675,MnAu,116.3046902569408
mp-21479,LaIn5Rh,2.0
mp-3031,BaSi2O5,56.13687508276482
mp-20086,MnSn2,64.16086232678174
mp-867507,TaGaFe2,224.20117297523532
mp-75,Nb,174.47203811248608
mp-28927,Ba(NiP2)2,97.56234513736128
mp-11800,Co3Se4,94.90787667114546
mp-11228,YAl,59.583134177009036
