mpid,formula,e_form
mp-560394,AsPbClO2,-1.6417170119020006
mp-685526,Ca28(Yb5S16)3,-2.253906083351648
mp-556246,La3Si2S8Cl,-2.0284690625542865
mp-558149,BF3,-3.1308971297466672
mp-1608,ZrHg3,-0.061768537500000324
mp-1039582,CeMg,0.05139362500000052
mp-771462,Li3MnFe3O8,-2.0447442153973343
mp-771667,LiV2NiO6,-2.074050678750001
mp-865226,LuMgHg2,-0.4170221675000001
mp-29636,KMnBr3,-1.1973506224999988
mvc-15887,AlCrF5,-3.4274367072785705
mvc-3014,SrCo(PO4)2,-2.4844461638492072
mp-568040,La2AlNi9,-0.3735043974999997
mp-23442,KCdCl3,-1.811614235456
mp-1025343,Mn(NCl2)2,0.6029620346000003
mvc-16358,Ca5(CoN2)2,-0.8061503674563629
mp-647813,Cs2CrO4,-2.093302355357144
mp-979422,YGaAu2,-0.655344098125
mp-1095136,La(BOs)2,-0.4531508956666671
mp-780941,LiV2P4(HO8)2,-2.430142770984838
mp-643409,Ba4Y(CuO3)3,-2.3917244616911764
mp-555812,NaSr3BiO6,-2.517638272045456
mp-651121,Cs3HgI5,-1.1714390154166674
mp-758223,Bi11PO20,-1.6960164496279753
mp-543105,LiMn2NiO6,-1.6543089569419998
mp-669340,CdI2,-0.5906823140476192
mp-766540,Li4TiS4,-1.6223377614351857
mp-1096972,GaAgS2,-0.6653016620312497
mp-705744,Fe5SiO8,-2.0858680005357155
mp-566043,Ba3V4PbO14,-2.7459958694318183
mp-850401,Li2FeOF3,-2.7509438481885717
mp-1030515,TeMoWSe2S,-0.648087252708334
mp-985610,NaAg(CO2)2,-1.4876088593749994
mp-1018692,ErTe2,-1.1016701900000008
mp-560419,KZn4(PO4)3,-2.4515236060892844
mp-4603,Nd3Co13B2,-0.1493125153240737
mp-685439,LiNi3P2,-0.6110641794841273
mp-567290,LaN,-1.5063245411899997
mp-850088,Co6O7F5,-1.5580710483166669
mp-863288,Na3V5O23,-1.258569582217743
mp-1603,TmGa3,-0.5192229974999996
mp-18502,BaSi3SnO9,-3.1092779461607143
mp-991909,LiEuH3,-0.5966998761719999
mp-558938,Zn4SiTePbO10,-2.0033829733823523
mp-561113,Ag2BiO3,-0.9311217885416668
mvc-11144,Y2Mn2O7,-2.8854269041518164
mp-24814,KBH4,-0.1792736318577776
mp-1018088,C,1.2981273874999992
mp-696420,ZnH8C2(SN3)2,-0.3313181005981586
mp-15607,Ca(BC)2,-0.1831838546666674
mp-1017484,LaMg6Nb,0.19972287874999986
mp-1062141,SrF2,-4.25158341746
mp-865656,TiMn2W,-0.2341347716666675
mp-554041,Na2Al2B2O7,-2.965001948621796
mp-11982,Sr2CaTeO6,-2.818963821250001
mp-6680,RbCa2Ta3O10,-3.33411285265625
mp-570354,CuBr,-0.07541627499999981
mp-1078392,YSb(PbO3)2,-2.3019314314999995
mp-782053,Sr9La5Cl33,-2.84018573026766
mp-534778,NaCa2ScZn2(SiO3)6,-3.1408519210833328
mp-1069825,PrAl3Cu,-0.4698168039999999
mp-774752,Li2MgTi3O8,-3.25374278375
mp-1096189,LiInCu2,1.2972263675000002
mp-1080814,Lu2InCu2,-0.4029194679999996
mp-853271,Li5Mn2(PO4)3,-2.654498778577532
mp-867419,KEuAsS4,-1.3706389416071425
mp-542013,Rb4Zr3Se14,-1.0357438183482135
mp-21339,CeCoGe,-0.5759451749999988
mp-762401,LiCo(CO3)2,-1.72114568275
mp-765953,Li2MnO2F,-2.429401638275
mp-1078114,ReCl6,-1.042164359222857
mp-21482,NpIn3,-0.007040582187499922
mvc-2063,Ca2Sn9O13,-1.8523826817187503
mp-1040126,LiLaMg30O32,-3.0272256128125
mp-3715,CoGeTe,-0.22001344916666632
mp-862800,PrI3,-1.4113253400000003
mp-669517,Pb(C2N3)2,0.09852837324727272
mp-2283,ZrCo,-0.28636290499999983
mp-770729,Li2AlFeO4,-2.4919299103125
mp-1094883,MgGa,-0.12168216499999973
mp-11318,CePt3,-0.9735769175
mp-14050,Ca3Ga2(SiO4)3,-3.154034449375001
mp-19908,EuF3,-3.8186514071425
mp-568774,Ca36Sn23,-0.6436868812711861
mp-561586,CsLaS2,-2.2132723145312507
mp-1035531,Mg14FeBO16,-2.7196072833333336
mp-1094902,YMg,1.2186780737499996
