mpid,formula,e_hull
mp-1099712,K5Na3Ta2Nb6O24,0.020874985250001643
mp-685526,Ca28(Yb5S16)3,0.14505545192307778
mp-1028149,CaMg14B,0.20682218880208336
mp-20517,BPd3,0.0
mp-1608,ZrHg3,0.02423919124999996
mp-557401,Na6PbO5,0.0
mp-31636,LiCrPO5,0.0499211282187364
mp-560158,Na3Zn(BO2)5,2.818684209149325e-05
mp-865226,LuMgHg2,0.0
mp-763130,LiNiPO4,0.07332395321428907
mvc-15887,AlCrF5,0.011034700714287029
mp-776076,BaSiO3,0.03922156999999782
mp-18529,Tm2S3,0.0
mp-603576,Sc5(In2Ni)2,0.06053723990909087
mp-1025343,Mn(NCl2)2,1.2528489539911123
mp-781603,Li4Mn3Fe(BO3)4,0.0036693322916674376
mp-542464,Ga2H6(SeO4)3,0.0
mp-979422,YGaAu2,0.024552332678570817
mp-772583,Ca3W2O9,0.08284867714283273
mp-569837,Ti3Sb,0.05594860000000779
mp-765902,ZnNi4O5,0.02692125749999974
mp-8793,Nd5(FeB3)2,0.0
mp-1095577,Tm4B3C4,0.0
mvc-3385,Al2Sn2O7,0.5460366790909079
mp-19151,BaYCo4O7,0.022839761153859328
mvc-1471,YTi3Se2ClO8,0.3110793166822914
mp-851051,MnPO4,0.06720094847223024
mp-1096972,GaAgS2,0.17636503000000034
mp-705744,Fe5SiO8,0.04774418732150565
mp-566043,Ba3V4PbO14,0.0
mp-541014,Cs3Sb2I9,0.004954171785714667
mp-1027958,LaMg14Zn,0.079792372734375
mp-1028392,Mg14CoB,0.28570555578125
mp-1018692,ErTe2,0.06395250055555479
mp-555486,LiEu(PO3)4,0.0
mp-4603,Nd3Co13B2,0.0235054288049108
mp-555882,K2FeF5,0.0007317072656238821
mp-567290,LaN,0.0
mp-18680,Tm8S11,0.0011817388815780205
mp-571286,SiC,8.308277777757667e-05
mp-1603,TmGa3,0.0
mp-767015,Li2VSiO4,0.07743244855769316
mp-991909,LiEuH3,0.0005192459999996404
mp-558938,Zn4SiTePbO10,0.0
