mpid,formula,gap pbe
mp-685526,Ca28(Yb5S16)3,0.0
mp-1026711,Mg14SiB,0.0
mp-622122,U2(P2O7)3,0.2629999999999999
mp-7972,RbLaO2,3.522
mp-763574,LiV2(PO4)3,1.2041
mp-775127,Li4Fe3O8,1.0163
mp-765319,LiMnOF2,1.3964
mp-865118,NaPrAu2,0.0
mp-27692,BaB4O7,5.1593
mp-675747,V(FeSe2)2,0.0
mp-644533,Yb2Ga10Ru3,0.0
mp-29370,Na3BP2,1.8442
mvc-12198,Fe(SiO3)2,0.0
mp-1025333,AgWS4N,0.0
mp-558019,Ce3Si2BO10,0.0
mp-568841,Np3Te4,0.0
mp-979417,DyYCd2,0.0
mp-1095139,SnPO3,0.6438999999999999
mp-558016,CaMgAsO4F,3.7523
mp-541581,KSO3,4.9636
mp-686109,Cu23(Sb4S13)2,0.0
mvc-3020,Mn5(TeO6)3,0.1575000000000002
mvc-2589,Co5O7,0.0
mp-18795,Mn3TeO6,1.2545999999999995
mp-568644,K9InSe7,1.8913
mp-851051,MnPO4,0.0
mp-914303,ZrCo2Sn,0.0
mp-705744,Fe5SiO8,1.3051000000000004
mp-566043,Ba3V4PbO14,3.1539
mp-541022,MnCr2O4,2.4181
mp-628305,K2MnSnSe4,0.2896000000000001
mp-764779,Ni6OF11,0.4675
mp-1019054,ReC2,0.0
mp-1073532,MgSi2,0.0
mp-16958,LaNi5P3,0.0
mp-766067,Al15Fe9O32,1.6422
mp-569304,C,0.014800000000000037
mp-531213,Ca13Y6F43,0.6283000000000003
mp-863288,Na3V5O23,0.26930000000000004
mp-1063660,CsAl,0.0
mp-1032475,Mg6ZnCO8,0.3601000000000001
mp-601413,RbVF3,2.8444000000000003
mp-558938,Zn4SiTePbO10,2.2881000000000005
mp-770111,PrBiO4,0.5491999999999999
mp-19658,Rb2Cr2O7,2.765
mp-579728,K3Nb6VO19,2.3385
mp-1018009,Li2MgSi,0.08880000000000042
mp-7791,Li2GeF6,5.7409
mp-555284,Ba2NdAlO5,3.6856
mp-1017477,LaMg6W,0.0
mp-30789,U2Mo,0.0
mp-865661,YbMgCd2,0.0
mp-25634,Li3V2(GeO5)2,0.009399999999999851
mp-863286,CoP3NO9,1.2072
mp-38008,Li2CdCl4,3.6297
mp-1009694,ReN,0.0
mp-570948,LiCaGaN2,2.1319
mp-566194,LiCaCoF6,2.8697
mp-625837,Be(HO)2,5.4109000000000025
mp-1068359,Cd(BrN)2,0.6769000000000001
mp-771907,Li4Mn5Sn3O16,0.0
mp-1096504,Sr2LiPd,0.0
mp-30686,Zr2Ga3,0.0
mp-853271,Li5Mn2(PO4)3,4.1097
mp-657543,SrAl2(SiO4)2,0.8165
mp-542013,Rb4Zr3Se14,1.4609
mp-4854,NdScGe,0.0
mvc-3648,Ca3Cu2(SiO4)3,0.4257
mvc-11438,CoSe2,0.0
mp-19807,Co3(SnS)2,0.0
mp-28554,Ca2AsI,1.5571000000000002
mp-769432,Co15O28,0.4835
mp-1040126,LiLaMg30O32,4.230499999999998
mp-649253,NbClF8,3.263
mp-975109,RbNa3,0.0
mp-774736,LiCuS,1.6984
mp-948,ZnTe,0.0
mp-775990,Fe3Ni2Sn(PO4)6,0.0
mp-990527,FeCo,0.0
mp-13173,PtN,0.0
mp-28571,La2Br5,0.3429000000000002
mp-645339,Fe5C2,0.0
mp-1027294,Mo3W(SeS3)2,0.5340000000000003
mp-554462,TiS,0.0
mp-1035533,Mg14FeBiO16,0.0
mp-1094941,MgSb,0.0
mp-16092,Tm3Co29(Si2B5)2,0.012199999999999987
mp-672705,YbS2,1.2066999999999997
mp-17706,Zr5Ge3,0.0
mp-1038118,CaMg30SnO32,1.5142999999999995
mp-764543,LiFe2(BO3)2,1.7605000000000002
mp-851005,Li2Mn3(BO3)3,0.5482999999999998
mp-569197,GdNiSb,0.3894000000000002
mp-768815,NaSbAsCO7,0.0
mp-1100161,Mg6CrC,0.0
mp-675623,CsClO4,5.9201
mp-780144,Li4MnP6(H4O11)2,4.2129
mp-22229,TbInCu4,0.0
mp-574272,Ca5Pb3,0.0
mp-1097356,Y2PtAu,0.0
mp-757716,LiTi(Si2O5)2,0.3840000000000003
mp-1093728,Ba2LiIn,0.09460000000000024
mp-554198,CaMg(SiO)2,0.0
mp-25607,NiSnH12(OF)6,3.8089
mp-707339,AsH6NO4,3.6288
mp-571245,Ho2Fe14C,0.0
mp-675634,KBi2F7,4.6755
mp-1034054,KCeMg14O16,0.14639999999999986
mp-690847,AsH2C2NCl2O,0.4762
mp-761973,Li2Co2P2O9,0.5110999999999999
mp-766885,Sb3PO7,2.2365
mp-1087509,P4Os,0.6758000000000006
mp-30182,ThAl3Ni2,0.0
mp-649086,GaFeO3,2.1045
mp-1016662,Mg6CrB,0.0
mp-1079040,CsDyBr3,0.0
mp-7708,TlCdS2,0.0
mvc-12661,Zn(FeO2)2,1.6948000000000003
mp-753793,Ba2YF7,6.8971
mp-974572,Rb3Si,0.0
mp-28505,Ba(AlTe2)2,1.5454
mp-558172,Ca(PtO2)2,0.0
mp-560441,BaZn2Si2O7,3.3032000000000004
mvc-8319,Cu3(WO3)4,0.0
mp-24585,LiZnPH2O5,4.0249000000000015
mp-1099232,Mg6FeNiO8,0.0
mp-971701,ZnAs3,0.0
mp-773146,Li2CuPO4,1.1588999999999992
mp-9075,CdCuF4,0.9325
mp-753654,LiSnPO4,3.0124000000000004
mp-1026734,Mg14SnC,0.0
mvc-2601,CaCo5O7,0.1750999999999996
mp-864244,Eu2Fe2O5,0.0
mp-1056,Tb2O3,4.0760000000000005
mp-769733,LiMn7O12,0.0
mp-35899,LiMoO2,1.8266
mp-773717,Na3Li3Fe2P2(CO7)2,3.7783000000000007
mp-1097355,LaScAu2,0.0
mp-1093777,BeHPt2,0.0
mp-31373,H18SO12,5.4084
mp-770564,Eu3WO6,0.0
mp-570229,ThBr4,2.8181
mp-22464,NaO3,0.6024
mp-569093,U3Si11Pt23,0.0
mp-19127,Sr2FeMoO6,0.0
mvc-12664,MgNiO2,2.8628
mp-1027835,Mg14ZrW,0.0
mp-768789,LiBiB2O5,3.0802000000000005
mp-863685,Pm2GePd,0.0
mp-25699,CaMnSiHO5,1.3829999999999996
mp-778565,Li2AlFeO4,3.0568
mp-10167,Na3SbS4,0.0
mp-771214,Rb2S2O7,5.1058
mp-695251,Ca2Al4Si4H18O25,0.1189
mp-37614,Al2NiO4,3.7598
mp-773305,Mn3FeO8,0.0
mp-767101,WO2F,0.0
mp-1068164,Tb2InNi2,0.0
mp-554057,KPr(SO4)2,5.5718000000000005
mp-23552,Er(IO3)3,3.4610000000000003
mp-25608,V2NiP2(H4O7)2,2.3598
mp-20563,Ba(CoAs)2,0.0008999999999996787
mp-769778,Ca2In2O5,1.3036000000000003
mp-629476,RuC3SeO3,2.1874
mp-21201,LaGa3Pd2,0.0
mp-642779,Y2V2O7,0.0
mp-631435,ReRuBr,0.0
mp-1078181,SiBr3,3.9433
mp-1009489,RbTe,0.0
mp-5662,Ce2Fe17N3,0.0
mp-677520,KBa6Zn4(GaO3)7,2.4589
mp-570298,Ba(SbAu)2,0.0
mp-761722,LiVCoO4,1.4663
mp-1008833,NpN2,0.0
mp-758229,TiCu3O4,0.13450000000000004
mp-997003,LaAuO2,2.7162
mp-554923,Sr(GaO2)2,2.6751
mp-690435,Li7Mn11O24,0.8165999999999998
mp-2738,DyNi,0.02550000000000008
mp-1079885,LiSbS2,1.0716
mp-27296,ZrTi2O,0.0
mp-134,Al,0.0
mvc-2614,MgMnO2,0.6863999999999999
mp-631462,BeTcSe,0.0
mp-9211,Tm2Fe2Si2C,0.013099999999999673
mp-561855,Ba2CoWO6,0.0
mp-6760,Na3La9B8O27,4.0102
mp-1030794,RbNaMg6O7,0.0
mp-973886,Lu2CoRh,0.0
mp-864745,Na3ZrF8,0.0
mp-1032578,CsYMg6O8,0.0
mp-21981,YNiSn2,0.06320000000000013
mp-555843,Ag3AsS3,1.6989
mp-15335,Lu2Cu2O5,0.5132000000000003
mvc-4919,Mg(AgO2)2,0.0
mvc-8040,Zn2Ni3O8,0.0
mp-10931,HoSF,1.2996
mvc-765,YTa(WO4)2,1.9435
mvc-11164,Ca11(FeN5)2,0.5556999999999999
mp-779940,Li4CoO4,1.1866
mp-975333,LiCaO3,0.0
mp-651772,UTe5,0.0
mp-707985,K3Na3TeP6(HO4)6,3.1763
mp-764047,LiVPO5,2.2049000000000003
mp-1078668,NiPbO3,0.0
mp-8201,Rb3PdF5,2.0957
mp-569294,NdB2Rh2C,0.0
mp-683971,Sm15(Ga11Ni13)4,0.0
mvc-6508,Mg3Ni3(AsO4)4,2.3203
mp-7573,Co(BW)2,0.0
mp-29457,Ba2Cu5F14,0.055300000000000016
mvc-9835,LaMgTiCrO6,2.277100000000001
mp-662789,Te3As2(SF4)3,2.0706
mp-6616,Ba2HoCu3O7,0.0
mp-755435,Tl2Au,0.0
mp-556122,BaCa(PO3)4,5.5237
mp-675872,Li2UBr6,0.14450000000000007
mp-559955,Pr6Si4S17,2.5372000000000003
mp-9934,BaMgSi,0.0
mp-1076439,Ba2Co2O5,0.0
mp-1095880,CsTl2Bi,0.8870000000000002
mvc-2508,Sr2YTlW2O7,0.5541
mp-770582,Li8CrO6,1.0428000000000002
mp-866154,TiBeIr2,0.0
mp-764791,Li2Mn(SiO3)2,3.4471
mp-769741,Li4Cr3CoO8,0.7871999999999999
mp-13009,SmCrGe3,0.0
mp-30494,ScCd3,0.0
mp-5068,DyZrSb,0.0
mp-756299,Li4HfO4,4.224
mp-1016070,CrN2,0.0858000000000001
mp-5739,U2SN2,0.0
mp-13897,K3UF7,0.5996999999999999
mp-999503,MoN,0.0
mp-706597,Al2FeO4,2.8189
mp-1019052,ReN,0.0
mp-2406,Mg5Pd2,0.0
mp-697820,BaLaMnInO6,0.0
mp-973839,PdAu3,0.0
mp-773610,Na2FeAsCO7,2.1419
mp-1019740,GaB3N4,3.710900000000001
mvc-3034,Mg4Co5(TeO6)3,1.4281999999999997
mp-764700,Li9Cr5O12,1.4592
mp-738635,NaZnP2HClO7,0.0
mp-626735,BaH4O3,3.9758
mp-3455,Er(NiP)2,0.0
mvc-4945,CaTi2O4,0.0
mp-985587,Al2O3,4.8041
mvc-15456,La2MgMoO6,0.0
mp-25717,Rb2NiH8(CO5)2,4.0262
mp-561418,Zr3O,0.0
mp-973965,Nd3Ag,0.0
mp-566199,V4HgO10,0.0
mp-743935,Zn2H10N12O5,2.0967
mp-1026654,Mg14SnC,0.0
mp-637255,Ti2Sn3,0.0
mp-781081,VOF3,3.1091
mp-686281,Na2TbO3,0.0
mp-1068906,CeSi3Ir,0.0
mp-2089,ZrTe3,0.0
mp-644264,Ca4Mg4Fe3H22,1.4456000000000002
mp-609092,MnAgO4,0.7078000000000001
mp-8760,Dy5P12Ru19,0.0
mp-559861,NbBi(TeO4)2,2.5161
mvc-835,Mg(Co2O3)2,0.3072999999999997
mp-510315,Ce(GeIr)2,0.0
mp-777686,Li9Mn3(WO4)7,2.2443
mp-540498,Fe2P3O10,0.010399999999999745
mp-862921,PmInRh2,0.0
mp-3187,BaCeO3,2.2207000000000003
mp-27437,Zr(IO3)4,3.1751
mp-1077225,HfPd5,0.0
mp-561469,Nd6S4N3Cl,1.2028000000000003
mp-616541,Ru(CO)4,2.2221
mp-541610,GeBr2,2.597
mp-559852,CsUGa(PO5)2,2.2695
mp-570922,MgCl2,4.9060000000000015
mp-642650,LiP(HO)2,5.3164
mp-23261,I2O5,2.7607
mp-864890,Hf2FeIr,0.0
mp-1096237,LiIn2Cu,0.015200000000000102
mp-27428,KBrO4,3.0759
mp-505626,Cr12P7,0.005399999999999849
