mpid,formula,mu_b
mp-1608,ZrHg3,-3.19e-05
mp-28835,LiScI3,0.005299
mp-755032,Cu3(TeO5)2,3.0000001
mvc-13424,MnZn2SbO6,8.0000005
mp-865226,LuMgHg2,-0.0016828
mp-16796,Sr2GdRuO6,7.9999997999999986
mvc-15887,AlCrF5,4.0000003
mp-758324,Ti5Nb2O14,2.0756394
mp-21617,In2Cu2O5,8.0323832
mp-505435,Gd2Br3N,55.99941870000001
mp-1025343,Mn(NCl2)2,2.0207116000000003
mp-778041,Li9Mn7(PO4)12,21.8706574
mp-672684,Zn6Sb5,-0.0021016
mp-979422,YGaAu2,-0.0001826
mp-1024050,Na2Zn3Se4,-0.0
mp-777810,Ge11N11O5,0.0014582
mp-19145,Ca4Al6WO16,-4.56e-05
mp-1036271,Mg14MnCoO16,8.0000009
mp-510,TaO2,-4e-07
mp-705397,Li3Ni2(PO4)3,10.0220811
mp-706605,K4ZrH10C8O21,8.0465212
mp-606650,CdPd(CN)6,0.0001175
mp-781125,Ti3VCo2(PO4)6,1.867869
mp-1096972,GaAgS2,-0.0
mvc-4858,Mg(CuO2)2,0.4830060000000001
mp-556860,Y2Si2O7,-2.24e-05
mp-569257,Ca3(B3Rh4)2,-1.2e-06
mp-699393,YbSi6H54(C6N)3,1.9948139
mp-554508,KYP2O7,-0.0051266
mp-1018692,ErTe2,0.0005224
mp-13486,LaCoCu12,-0.0217912
mp-25046,MnPH2O5,8.0000004
mp-1038882,MgCd2,1.42e-05
mp-567290,LaN,-2.37e-05
mp-610738,Zr(InBr3)2,-3.06e-05
mp-555310,K14Fe4O13,40.000005
mp-1603,TmGa3,0.0001271
mp-770663,Li2FeBO4,9.999605099999998
mp-991909,LiEuH3,7.001072099999999
mp-707772,TeP2H16N2O13,-0.0033055
mp-25584,LiMo3O8,5.9999998
mvc-10359,ZnCu2(SnO4)2,3.4200000000000005e-05
mp-1094221,Mg2Sn,0.0002599
mp-1018088,C,0.0020094
mp-3848,BaGe4O9,0.0004546000000000001
mp-13135,Eu(ZnSn)2,13.9991554
mp-1017484,LaMg6Nb,1.2290571
mp-1062141,SrF2,-0.00020780000000000004
mp-865656,TiMn2W,-7.3e-05
mp-540439,Mn(PO3)3,7.923840400000001
mp-10321,La2ZnRhO6,-9.3e-05
mp-18720,Mn2CdO4,16.0000012
mp-570354,CuBr,-8.740000000000001e-05
mp-605642,KB3(HO3)2,0.0072286
mp-34145,Ce2CdS4,4.0260574
mp-667327,Ag2Pb8Cl4O7,0.0035841
mp-1069825,PrAl3Cu,-5e-07
mp-554715,Ti5O9,2.3026346
mp-1096189,LiInCu2,-0.0
mp-1080792,KICl2O,-0.0
mp-765414,Li4V3P8O29,2.017926
mvc-9997,Ca(CoO2)2,14.025282699999998
mp-541479,NaCo3As3(HO6)2,18.0552402
mp-21339,CeCoGe,-1.5764592
mp-868468,Ti5Fe11O24,49.9979724
mp-978114,Sn5O6,0.0027182
mp-1078114,ReCl6,1.0
mp-21482,NpIn3,4.4306254
mp-554159,Li2BeSiO4,0.0
mp-1037789,HfMg30MnO32,4.0000016
