mpid,formula,shear modulus
mp-972088,Zr3Zn,37.71967665684707
mp-776911,MgO,48.34779632172939
mp-15617,Cr5B3,195.5167573112468
mp-8983,CaSiPt,39.6220700604443
mp-18918,ZnWO4,54.02779911679764
mp-2083,Sn2Ir,36.0
mp-2033,Ni3N,73.33973087103627
mp-29973,SrN,25.665098588501447
mp-1025293,InAsPd5,53.0
mp-22268,ZrPRu,107.56990220235504
mp-972916,MgCu,35.57783308489652
mp-2733,Al8Mo3,104.13906348580278
mp-1602,SiS2,3.4255447992746384
mp-865768,Ti2MnOs,89.0
mp-1029532,Ca2CoN2,48.18795169362489
mp-865515,YMgZn2,35.15298068175003
mp-20738,FeSi2,123.7048357594914
mp-22275,YSnPt,41.04775429081587
mp-20552,Cr2As,70.0
mp-11577,YbZn,7.0
mp-580886,ZrIN,12.967742611457831
mp-638765,Al2O3,48.0
mp-11029,Y(Al2Cu)4,60.16326547056959
mp-31337,InPd3,34.57904529984832
mp-18724,Sr2CoO4,46.36080914932957
mvc-12823,MnO2,25.35331731003128
mp-22871,ZrCl3,3.0575090632402904
mp-19830,ErN,132.0
mp-29026,MnWN2,109.93546652796672
mp-27471,NbPS,73.38797570600742
mp-20192,HfMnSi,86.38727760214424
mp-867119,LiHfPd2,21.494264834744392
mp-1332,Si3Mo5,119.74918233176132
mp-357,SmPd3,50.0
mp-570097,Sr(Li2P)2,35.772811724697426
mp-19765,In2HgTe4,12.128890155910304
mp-21078,Fe3Ge,67.76480535682761
mp-23959,KP(HO2)2,15.0
mp-555293,NbS2,4.0
mp-4664,MnGeRh2,13.755303717481212
mp-649,FePt3,92.0
mp-505206,Ta3SiTe6,15.0
mp-19177,CrO2,100.78777723785579
mp-570677,Ba5Al5Sn,18.072898934366556
mp-488,CuSe,14.43303107306246
mp-3158,Li2SbPt,28.28418414823349
mp-752426,Li3SbS4,25.282489526666232
mp-862334,Sc2IrRh,67.0
mp-996995,MnAgO2,35.540933159759874
mp-1780,ScRh,60.656403421542905
mp-5566,KCuF3,29.54979749006545
mp-540824,Mn2BiO5,63.128539497002016
mp-8511,PF5,3.1184378391768037
mp-3657,TiCo2Si,85.7330857479346
mp-28,Ce,39.113066933432535
mp-570437,CdI2,3.0
mp-35777,Mg(InTe2)2,11.777803901455275
mp-16271,Li2CdSb,14.12841068558183
mp-643945,TiFeH2,73.80694262473143
mp-30418,SnAu5,18.351617104878798
mp-3751,AlTlF4,23.096344901898387
mp-762268,Li3V2O6,53.8098357821385
mp-864950,MnAlIr2,103.46135521470892
mp-11836,ErSbPd,45.0
mp-72,Ti,60.783385541789954
mp-20211,Mn3Si,99.70899420781244
mp-1029338,LiV2N3,70.24461975123276
mp-570886,BeI2,1.2665626071335645
mp-7459,Te2Mo,11.976991960640008
mp-14090,TlCuSe2,17.558050075689124
mp-776985,MnV3O8,10.126403629007603
mp-861932,LiZnAu2,13.009808410492669
mp-9665,K3BAs2,6.532269818383211
mp-2781,ScPd,38.41804786722104
mp-864650,Ta2OsW,132.6227903264955
mp-1483,SiRh,83.28706791856999
mp-30849,TaPt2,78.16311258535464
mp-866063,NdDyMg2,21.0
mp-22508,YMn12,88.17960210942812
mp-861627,Ti2AlMo,42.42288633371623
mp-28954,Tl2PdSe2,7.336110979247078
mp-626680,Fe(HO)2,26.75061242619801
mp-977165,Li3Co,21.28281375036753
mp-2677,ScPd3,56.3584832790444
mp-30835,TaPd2,71.72399054929741
mp-8231,ZrSO,84.27063569179725
mp-5137,Zr2SbP,66.4723136353573
mp-11365,Ti3Cu,15.0
