Compound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
Bi(GaSc),0.45,Ga,Sc,Ti,0.25,0.75,0.0,0.55,0.9813,8.0,3.7395,3.9208,118.9375,No
Bi(GaSc),0.38,Ga,Sc,Ti,0.25,0.75,0.0,0.62,0.9884,8.0,3.7458,3.9218,119.725,No
Bi(GaSc),0.36,Ga,Sc,Ti,0.25,0.75,0.0,0.64,0.9904,8.0,3.7476,3.9221,119.95,No
Bi(GaSc),0.3,Ga,Sc,Ti,0.25,0.75,0.0,0.7,0.9966,8.0,3.753,3.9229,120.625,Yes
Bi(GaSc),0.2,Ga,Sc,Ti,0.25,0.75,0.0,0.8,1.0068,8.0,3.762,3.9243,121.75,Yes
Bi(MgW),0.8,Mg,W,Ti,0.75,0.25,0.0,0.2,0.9541,8.0,3.612,3.8606,144.6,No
Bi(MgW),0.7,Mg,W,Ti,0.75,0.25,0.0,0.3,0.9633,8.0,3.633,3.8689,142.025,No
Bi(MgW),0.65,Mg,W,Ti,0.75,0.25,0.0,0.35,0.9678,8.0,3.6435,3.8731,140.7375,No
Bi(MgW),0.6,Mg,W,Ti,0.75,0.25,0.0,0.4,0.9724,8.0,3.654,3.8772,139.45,No
Bi(MgW),0.55,Mg,W,Ti,0.75,0.25,0.0,0.45,0.977,8.0,3.6645,3.8814,138.1625,No
Bi(MgW),0.5,Mg,W,Ti,0.75,0.25,0.0,0.5,0.9815,8.0,3.675,3.8855,136.875,No
Bi(MgW),0.4,Mg,W,Ti,0.75,0.25,0.0,0.6,0.9907,8.0,3.696,3.8938,134.3,Yes
Bi(MgW),0.3,Mg,W,Ti,0.75,0.25,0.0,0.7,0.9998,8.0,3.717,3.9021,131.725,Yes
Bi(NiNb),0.4,Ni,Nb,Ti,0.67,0.33,0.0,0.6,0.9937,10.14,3.8636,3.895,131.352,Yes
Bi(NiNb),0.35,Ni,Nb,Ti,0.67,0.33,0.0,0.65,0.9979,9.8725,3.8532,3.899,130.433,Yes
Bi(NiNb),0.3,Ni,Nb,Ti,0.67,0.33,0.0,0.7,1.0021,9.605,3.8427,3.903,129.514,Yes
Bi(NiNb),0.2,Ni,Nb,Ti,0.67,0.33,0.0,0.8,1.0105,9.07,3.8218,3.911,127.676,Yes
Bi(NiNb),0.15,Ni,Nb,Ti,0.67,0.33,0.0,0.85,1.0146,8.8025,3.8114,3.915,126.757,Yes
Bi(NiTi),0.05,Ni,Ti,Ti,0.5,0.5,0.0,0.95,1.0236,8.2,3.7885,3.9226,124.7,Yes
Bi(NiTi),0.1,Ni,Ti,Ti,0.5,0.5,0.0,0.9,1.0201,8.4,3.797,3.9182,125.4,Yes
Bi(NiTi),0.15,Ni,Ti,Ti,0.5,0.5,0.0,0.85,1.0165,8.6,3.8055,3.9138,126.1,Yes
Bi(NiTi),0.2,Ni,Ti,Ti,0.5,0.5,0.0,0.8,1.0129,8.8,3.814,3.9094,126.8,Yes
Bi(NiTi),0.25,Ni,Ti,Ti,0.5,0.5,0.0,0.75,1.0094,9.0,3.8225,3.905,127.5,Yes
Bi(NiTi),0.3,Ni,Ti,Ti,0.5,0.5,0.0,0.7,1.0058,9.2,3.831,3.9006,128.2,Yes
Bi(NiTi),0.35,Ni,Ti,Ti,0.5,0.5,0.0,0.65,1.0022,9.4,3.8395,3.8962,128.9,Yes
Bi(NiTi),0.4,Ni,Ti,Ti,0.5,0.5,0.0,0.6,0.9986,9.6,3.848,3.8918,129.6,Yes
Bi(NiTi),0.45,Ni,Ti,Ti,0.5,0.5,0.0,0.55,0.9951,9.8,3.8565,3.8874,130.3,Yes
Bi(NiTi),0.5,Ni,Ti,Ti,0.5,0.5,0.0,0.5,0.9915,10.0,3.865,3.883,131.0,Yes
Bi(NiTi),0.55,Ni,Ti,Ti,0.5,0.5,0.0,0.45,0.9879,10.2,3.8735,3.8786,131.7,Yes
Bi(NiTi),0.6,Ni,Ti,Ti,0.5,0.5,0.0,0.4,0.9844,10.4,3.882,3.8742,132.4,Yes
Bi(NiTi),0.65,Ni,Ti,Ti,0.5,0.5,0.0,0.35,0.9808,10.6,3.8905,3.8698,133.1,No
Bi(NiTi),0.7,Ni,Ti,Ti,0.5,0.5,0.0,0.3,0.9772,10.8,3.899,3.8654,133.8,No
Bi(NiTi),0.75,Ni,Ti,Ti,0.5,0.5,0.0,0.25,0.9736,11.0,3.9075,3.861,134.5,No
Bi(ScFe),0.36,Sc,Fe,Ti,0.5,0.5,0.0,0.64,0.9935,8.9,3.7602,3.9151,122.2,Yes
Bi(ScFe),0.45,Sc,Fe,Ti,0.5,0.5,0.0,0.55,0.9851,9.125,3.7553,3.9122,121.75,Yes
Bi(ScFe),0.46,Sc,Fe,Ti,0.5,0.5,0.0,0.54,0.9841,9.15,3.7547,3.9118,121.7,Yes
Bi(ScFe),0.47,Sc,Fe,Ti,0.5,0.5,0.0,0.53,0.9832,9.175,3.7542,3.9115,121.65,Yes
Bi(ScFe),0.5,Sc,Fe,Ti,0.5,0.5,0.0,0.5,0.9804,9.25,3.7525,3.9105,121.5,Yes
Bi(ScFe),0.55,Sc,Fe,Ti,0.5,0.5,0.0,0.45,0.9757,9.375,3.7498,3.9089,121.25,Yes
Bi(ZnW),0.0,Zn,W,Ti,0.75,0.25,0.0,1.0,1.0272,8.0,3.78,3.927,124.0,Yes
Bi(ZnW),0.1,Zn,W,Ti,0.75,0.25,0.0,0.9,1.0174,8.75,3.7688,3.9195,126.65,Yes
Bi(ZnW),0.15,Zn,W,Ti,0.75,0.25,0.0,0.85,1.0125,9.125,3.7631,3.9158,127.975,Yes
Bi(ZnW),0.22,Zn,W,Ti,0.75,0.25,0.0,0.78,1.0056,9.65,3.7553,3.9106,129.83,No
Bi(ZnW),0.4,Zn,W,Ti,0.75,0.25,0.0,0.6,0.9879,11.0,3.735,3.8971,134.6,No
Bi(ZnW),0.5,Zn,W,Ti,0.75,0.25,0.0,0.5,0.9781,11.75,3.7238,3.8896,137.25,No
Bi(ZnW),0.6,Zn,W,Ti,0.75,0.25,0.0,0.4,0.9683,12.5,3.7125,3.8822,139.9,No
Bi(ZnW),0.8,Zn,W,Ti,0.75,0.25,0.0,0.2,0.9487,14.0,3.69,3.8672,145.2,No
Bi(ZnW),0.9,Zn,W,Ti,0.75,0.25,0.0,0.1,0.9389,14.75,3.6788,3.8597,147.85,No
BF,0.69,Fe,Fe,Ti,0.5,0.5,0.0,0.31,0.9788,11.45,3.8007,3.8704,135.73,Yes
BF,0.71,Fe,Fe,Ti,0.5,0.5,0.0,0.29,0.9773,11.55,3.8013,3.8688,136.07,Yes
BF,0.72,Fe,Fe,Ti,0.5,0.5,0.0,0.28,0.9766,11.6,3.8016,3.868,136.24,Yes
BF,0.73,Fe,Fe,Ti,0.5,0.5,0.0,0.27,0.9759,11.65,3.8019,3.8671,136.41,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.05,0.95,0.0,0.62,0.9842,8.0,3.7306,3.9308,114.937,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.1,0.9,0.0,0.62,0.9852,8.0,3.7344,3.9286,116.134,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.125,0.875,0.0,0.62,0.9858,8.0,3.7363,3.9274,116.7325,Yes
Bi(GaSc),0.38,Ga,Sc,Ti,0.15,0.85,0.0,0.62,0.9863,8.0,3.7382,3.9263,117.331,Yes
BF,0.0,Fe,Fe,Ti,0.5,0.5,0.0,1.0,1.0272,8.0,3.78,3.927,124.0,Yes
BF,0.1,Fe,Fe,Ti,0.5,0.5,0.0,0.9,1.0202,8.5,3.783,3.9188,125.7,Yes
BF,0.2,Fe,Fe,Ti,0.5,0.5,0.0,0.8,1.0132,9.0,3.786,3.9106,127.4,Yes
BF,0.3,Fe,Fe,Ti,0.5,0.5,0.0,0.7,1.0061,9.5,3.789,3.9024,129.1,Yes
BF,0.4,Fe,Fe,Ti,0.5,0.5,0.0,0.6,0.9991,10.0,3.792,3.8942,130.8,Yes
BF,0.5,Fe,Fe,Ti,0.5,0.5,0.0,0.5,0.9921,10.5,3.795,3.886,132.5,Yes
BF,0.6,Fe,Fe,Ti,0.5,0.5,0.0,0.4,0.9851,11.0,3.798,3.8778,134.2,Yes
BF,0.8,Fe,Fe,Ti,0.5,0.5,0.0,0.2,0.971,12.0,3.804,3.8614,137.6,Yes
BF,0.9,Fe,Fe,Ti,0.5,0.5,0.0,0.1,0.964,12.5,3.807,3.8532,139.3,Yes
Bi(MgTi),0.62,Mg,Ti,Ti,0.5,0.5,0.0,0.38,0.9785,8.0,3.7459,3.878,134.85,Yes
Bi(MgTi),0.6,Mg,Ti,Ti,0.5,0.5,0.0,0.4,0.9801,8.0,3.747,3.8796,134.5,Yes
Bi(MgTi),0.64,Mg,Ti,Ti,0.5,0.5,0.0,0.36,0.9769,8.0,3.7448,3.8764,135.2,Yes
Bi(MgTi),0.63,Mg,Ti,Ti,0.5,0.5,0.0,0.37,0.9777,8.0,3.7454,3.8772,135.025,Yes
BiYb,0.1,Yb,Yb,Ti,0.5,0.5,0.0,0.9,1.0106,8.0,3.726,3.9391,124.1,No
BiYb,0.15,Yb,Yb,Ti,0.5,0.5,0.0,0.85,1.0022,8.0,3.699,3.9452,124.15,No
BiYb,0.2,Yb,Yb,Ti,0.5,0.5,0.0,0.8,0.9939,8.0,3.672,3.9512,124.2,No
