Compound,Space group,Eg (exp.; eV),Typea,Eg (PBE; eV),Eg (mBJ; eV),Eg(G0W0; eV)
Al2CdTe4,82,,D,1.61,2.36,2.86
Al2O3,167,,D,5.88,7.59,9.3
Al2ZnS4,227,,D,2.5,3.58,3.99
Al2ZnSe4,82,,D,2.13,3.24,3.77
AlAs,186,,I,1.74,2.38,2.59
AlAs,216,2.23,I,1.45,2.18,2.34
AlF3,167,,D,7.58,11.07,13.07
AlN,186,6.13,D,4.19,5.34,6.38
AlN,216,,I,3.31,4.81,5.33
AlN,225,,I,4.59,5.73,6.79
AlP,186,,I,1.94,2.7,3.0
AlP,216,2.45,I,1.59,2.42,2.67
AlSb,186,,D,0.99,1.54,1.79
AlSb,216,1.68,I,1.24,1.84,1.94
Ba(MgBi)2,164,,D,0.41,0.99,1.34
BAs,186,,I,1.11,1.71,1.93
BAs,216,1.46,I,1.17,1.76,2.2
Be2C,225,,I,1.16,1.81,2.39
BeCN2,122,,D,3.85,5.34,5.92
BeO,186,,D,7.63,9.59,11.18
BeO,225,,I,8.4,9.98,11.7
BeS,186,,I,3.64,4.86,5.92
BeS,216,,I,3.1,4.34,4.92
BeS,225,,I,0.99,1.77,2.35
BeSe,186,,I,3.24,4.15,4.95
BeSe,216,,I,2.61,3.59,4.19
BeSe,225,,I,0.0,0.64,1.09
BeTe,186,,I,2.18,2.77,3.4
BeTe,216,,I,1.95,2.64,3.17
BN,186,,I,5.18,6.69,7.32
BN,216,6.22b,I,4.46,5.8,6.73
BN,225,,I,1.24,1.76,2.68
BP,186,,I,0.99,1.94,2.1
BP,216,2.40b,I,1.22,2.07,2.27
BSb,186,,I,0.81,1.25,1.38
BSb,216,,I,0.72,1.13,1.28
Ca(CdAs)2,164,,D,0.19,1.03,1.02
Ca(CdP)2,164,,D,0.8,1.66,1.67
Ca3BiN,221,,D,0.37,1.01,1.41
Ca3PCl3,221,,D,1.79,2.69,4.15
Ca3PN,221,,D,0.8,1.62,2.12
CaAlF5,15,,D,7.15,10.3,11.95
CaCl2,58,,D,5.39,6.63,8.5
CaCl2,136,,D,5.35,6.61,8.43
CaF2,225,,I,7.11,10.11,11.3
CaGeN2,122,,D,2.65,4.15,4.25
CaO,186,,D,3.24,5.68,5.21
CaO,216,,I,3.38,6.14,5.59
CaO,221,,I,2.74,4.14,5.77
CaO,225,7.7,I,3.63,5.26,6.61
CaS,186,,I,2.7,3.84,4.74
CaS,216,,I,3.74,5.31,5.64
CaS,221,,D,1.27,2.35,3.06
CaS,225,,I,2.29,3.37,4.48
CaSe,221,,D,0.69,1.69,2.17
CaSe,225,,I,1.97,2.81,3.94
CaSiO3,221,,I,3.46,4.81,6.62
CaTe,186,,I,1.87,2.49,3.75
CaTe,216,,I,3.05,3.93,4.73
CaTe,221,,I,0.13,0.5,0.75
CaTe,225,,I,1.43,2.01,3.01
CaZnF4,88,,D,5.1,8.35,9.77
Cd(GaTe2)2,82,,D,1.04,1.78,2.16
Cd(InTe2)2,82,,D,0.84,1.52,1.87
CdGa2Se4,82,,D,1.34,2.41,2.63
CdIn2Se4,82,,D,0.94,1.87,2.07
CdO,186,,D,0.0,1.27,1.09
CdS,186,,D,1.22,2.72,2.57
CdS,216,2.55,D,1.14,2.63,2.46
CdS,225,,I,0.24,1.7,1.37
CdSe,186,,D,0.65,2.0,1.81
CdSe,216,1.9,D,0.59,1.93,1.75
CdSiAs2,122,,D,0.36,1.23,1.3
CdSnF6,148,,I,3.8,6.86,8.42
CdTe,186,,D,0.79,1.84,1.92
