Unnamed: 0,X,{r},b (+- 0.1 kJ mol-1),v (+- 0.005),K (+- 0.01 Pa),"Uo,ex  (+- 0.1 kJ mol-1)",Tg (+- 1 K)
s1,0.0,2.0,184.2,0.33 1,8.28,152.8,313
s3,0.15,2.15,195.0,0.316,10.69,190.9,360
s4,0.2,2.2,198.6,0.312,11.44,201.5,370
s5,0.25,2.25,202.1,0.31,12.28,213.7,380
s6,0.3,2.3,205.7,0.307,13.13,225.1,398
s7,0.35,2.35,209.3,0.305,13.93,235.7,422
s8,0.4,2.4,212.9,0.304,14.8,248.8,458
s9,0.45,2.45,211.9,0.306,13.23,223.6,459
s10,0.5,2.5,211.0,0.316,11.96,203.8,446
s11,0.55,2.55,210.0,0.33,10.78,184.8,419
s12,0.6,2.6,209.1,,,,389
