4-BLOCK POLYMER,Electronic Dielectric Constant
CH2-CS-C6H4-O,3.572
C6H4-C6H4-C4H2S-CS,5.391
CO-O-C4H2S-CS,3.784
C6H4-CS-C4H2S-O,3.616
CO-C6H4-O-CS,3.988
C6H4-O-CS-C4H2S,4.258
C6H4-C4H2S-C6H4-C4H2S,3.928
NH-C4H2S-CO-C4H2S,5.8039999999999985
CH2-NH-C4H2S-CS,4.637
NH-C6H4-CO-C6H4,3.374
CO-C6H4-O-C4H2S,3.573
C6H4-CS-C4H2S-CS,5.4689999999999985
CH2-C4H2S-NH-C4H2S,3.279
CH2-C4H2S-C6H4-C4H2S,3.528
CH2-NH-C6H4-CO,3.4760000000000004
CO-C6H4-C4H2S-CS,4.422
C6H4-C6H4-CS-O,3.771
CH2-NH-C4H2S-C6H4,3.515
NH-C4H2S-C4H2S-CH2,3.712
CH2-C4H2S-C6H4-CS,3.728
CH2-NH-CS-C6H4,3.25
CH2-C6H4-C4H2S-C6H4,3.511
NH-CO-C4H2S-C6H4,4.401
NH-CO-CS-CO,3.983
CH2-CH2-C4H2S-O,2.983
NH-CS-CO-CS,6.435
CH2-C6H4-CS-O,3.176
CH2-CO-C4H2S-CS,3.784
C4H2S-C4H2S-C4H2S-O,4.721
CO-C4H2S-C6H4-CS,4.663
CH2-C6H4-NH-O,3.112
NH-CS-NH-CS,4.444
CH2-NH-CS-NH,3.26
CH2-C4H2S-CS-O,3.681
NH-CO-C4H2S-O,3.504
CH2-C4H2S-C6H4-O,3.449
C6H4-C6H4-C6H4-C4H2S,4.574
NH-C4H2S-CO-O,3.577
NH-CS-NH-C6H4,4.05
CO-CS-O-CS,4.294
CH2-NH-CH2-CS,3.714
CH2-CH2-NH-C6H4,2.96
C4H2S-C4H2S-C4H2S-CS,9.694
CH2-C6H4-C6H4-O,3.109
CH2-CO-C6H4-CS,3.61
CO-C6H4-C6H4-CS,4.414
CH2-C6H4-CH2-O,2.9330000000000003
CH2-O-CO-O,2.454
NH-C6H4-CS-C6H4,4.333
CH2-CO-C6H4-O,3.08
CH2-NH-C4H2S-NH,3.109
CH2-C6H4-CO-O,2.929
NH-C4H2S-NH-CS,4.4689999999999985
CO-C6H4-C4H2S-O,3.472
NH-C4H2S-O-C4H2S,3.299
NH-CO-NH-C6H4,3.4160000000000004
CH2-C6H4-NH-CS,3.092
CH2-CH2-CH2-O,2.527
CH2-CS-CH2-O,3.113
NH-C6H4-C6H4-O,3.946
CH2-C4H2S-NH-CS,3.611
CH2-C6H4-O-C4H2S,3.042
CH2-CH2-CO-C6H4,3.089
CO-C4H2S-C4H2S-CS,5.046
CH2-C6H4-O-C6H4,3.011
CO-C4H2S-C6H4-O,4.134
CO-C4H2S-CO-O,3.096
CH2-CS-C4H2S-O,4.052
CH2-O-C4H2S-C6H4,3.187
CH2-C4H2S-CO-C4H2S,3.759
CO-C6H4-CO-O,3.139
CH2-CH2-CO-C4H2S,3.216
CH2-CO-CS-C6H4,3.708
CH2-CS-CO-O,3.064
NH-C4H2S-NH-C4H2S,3.399
C6H4-CS-C6H4-CS,3.33
CH2-C6H4-CH2-C6H4,3.12
CH2-C4H2S-O-CS,3.401
CO-C6H4-C6H4-C4H2S,4.939
CH2-CH2-NH-C4H2S,3.085
CH2-CH2-CO-O,2.521
CH2-CO-CS-C4H2S,3.732
CH2-C6H4-CH2-CS,3.193
CH2-C6H4-NH-C6H4,3.312
C6H4-C4H2S-C6H4-O,4.097
