"Systems
Composition","Bandgap
(eV)"
CH2 CH2 CH2 CH2,6.393
CH2 CH2 CH2 GeCl2,3.366
CH2 CH2 CH2 SiF2,5.778
CH2 CH2 CH2 SiCl2,5.751
CH2 CH2 CH2 SnF2,4.085
CH2 CH2 CH2 SnCl2,3.327
CH2 CH2 GeF2 GeF2,4.136
CH2 CH2 GeCl2 GeF2,3.771
CH2 CH2 GeCl2 GeCl2,3.472
CH2 CH2 SiF2 GeF2,3.549
CH2 CH2 SiF2 GeCl2,4.463
CH2 CH2 SiF2 SiF2,4.747
CH2 CH2 SiCl2 GeF2,4.634
CH2 CH2 SiCl2 SiF2,4.651
CH2 CH2 SiCl2 SiCl2,4.596
CH2 CH2 SnF2 GeF2,2.792
CH2 CH2 SnF2 GeCl2,3.087
CH2 CH2 SnF2 SiF2,3.718
CH2 CH2 SnCl2 GeF2,1.887
CH2 CH2 SnCl2 GeCl2,2.115
CH2 CH2 SnCl2 SiF2,2.924
CH2 CH2 SnCl2 SiCl2,2.825
CH2 CH2 SnCl2 SnF2,2.698
CH2 CH2 SnCl2 SnCl2,2.654
CH2 GeF2 CH2 GeF2,5.297999999999999
CH2 GeF2 CH2 GeCl2,4.75
CH2 GeF2 CH2 SiF2,5.595
CH2 GeF2 CH2 SiCl2,5.303
CH2 GeF2 CH2 SnF2,4.512
CH2 GeF2 CH2 SnCl2,4.132
CH2 GeF2 GeF2 GeF2,3.326
CH2 GeF2 GeCl2 GeF2,3.129
CH2 GeF2 SiF2 GeF2,3.815
CH2 GeF2 SnF2 GeF2,3.07
CH2 GeF2 SnCl2 GeF2,2.893
CH2 GeCl2 CH2 GeCl2,3.992
CH2 GeCl2 CH2 SiF2,4.825
CH2 GeCl2 CH2 SiCl2,4.168
CH2 GeCl2 CH2 SnF2,4.276
CH2 GeCl2 CH2 SnCl2,3.702
CH2 GeCl2 GeF2 GeF2,3.087
CH2 GeCl2 GeF2 GeCl2,2.739
CH2 GeCl2 GeCl2 GeF2,2.925
CH2 GeCl2 SiF2 GeF2,3.638
CH2 GeCl2 SiCl2 GeF2,3.554
CH2 GeCl2 SnF2 GeF2,2.761
CH2 GeCl2 SnCl2 GeF2,2.64
CH2 GeCl2 SnCl2 GeCl2,2.339
CH2 SiF2 CH2 SnF2,4.57
CH2 SiF2 CH2 SnCl2,4.168
CH2 SiF2 GeF2 GeF2,3.761
CH2 SiF2 GeF2 GeCl2,3.4360000000000004
CH2 SiF2 GeCl2 GeF2,3.572
CH2 SiF2 GeCl2 GeCl2,3.254
CH2 SiF2 GeCl2 SiF2,4.02
CH2 SiF2 SiF2 GeF2,3.896
CH2 SiF2 SiF2 GeCl2,3.729
CH2 SiF2 SiF2 SiF2,3.937
CH2 SiF2 SiCl2 GeF2,3.871
CH2 SiF2 SiCl2 SiF2,3.944
CH2 SiF2 SnF2 GeF2,3.54
CH2 SiF2 SnF2 SiF2,3.2310000000000003
CH2 SiF2 SnCl2 GeF2,3.314
CH2 SiF2 SnCl2 GeCl2,2.96
CH2 SiF2 SnCl2 SiF2,3.764
CH2 SiCl2 CH2 SiCl2,5.027
CH2 SiCl2 CH2 SnF2,4.447
CH2 SiCl2 CH2 SnCl2,3.796
