"Systems
Composition","Electron
Affinity (eV)"
CH2 CH2 CH2 GeF2,1.49
CH2 CH2 CH2 GeCl2,3.272
CH2 CH2 CH2 SiF2,0.936
CH2 CH2 CH2 SiCl2,0.989
CH2 CH2 CH2 SnF2,2.903
CH2 CH2 CH2 SnCl2,3.115
CH2 CH2 GeF2 GeF2,2.8760000000000003
CH2 CH2 GeCl2 GeF2,3.181
CH2 CH2 GeCl2 GeCl2,3.472
CH2 CH2 SiF2 GeCl2,2.335
CH2 CH2 SiF2 SiF2,1.921
CH2 CH2 SiCl2 GeF2,2.202
CH2 CH2 SiCl2 GeCl2,2.482
CH2 CH2 SiCl2 SiF2,2.045
CH2 CH2 SiCl2 SiCl2,2.127
CH2 CH2 SnF2 GeF2,3.629
CH2 CH2 SnF2 GeCl2,3.933
CH2 CH2 SnF2 SiF2,3.448
CH2 CH2 SnF2 SiCl2,3.282
CH2 CH2 SnF2 SnF2,4.4430000000000005
CH2 CH2 SnCl2 GeF2,4.549
CH2 CH2 SnCl2 SiF2,4.046
CH2 CH2 SnCl2 SnF2,4.16
CH2 CH2 SnCl2 SnCl2,4.211
CH2 GeF2 CH2 GeCl2,2.211
CH2 GeF2 CH2 SiF2,1.801
CH2 GeF2 CH2 SiCl2,1.759
CH2 GeF2 CH2 SnF2,2.911
CH2 GeF2 GeF2 GeF2,3.942
CH2 GeF2 GeCl2 GeF2,4.01
CH2 GeF2 SiF2 GeF2,3.304
CH2 GeF2 SiCl2 GeF2,3.235
CH2 GeF2 SnF2 GeF2,4.367
CH2 GeCl2 CH2 SiF2,2.105
CH2 GeCl2 CH2 SiCl2,2.4
CH2 GeCl2 CH2 SnF2,2.782
CH2 GeCl2 GeF2 GeF2,3.925
CH2 GeCl2 GeF2 GeCl2,4.365
CH2 GeCl2 GeCl2 GeCl2,4.285
CH2 GeCl2 SiF2 GeF2,3.506
CH2 GeCl2 SiF2 GeCl2,3.524
CH2 GeCl2 SiCl2 GeF2,3.4760000000000004
CH2 GeCl2 SiCl2 GeCl2,3.567
CH2 GeCl2 SnF2 GeF2,4.651
CH2 GeCl2 SnF2 GeCl2,4.698
CH2 GeCl2 SnCl2 GeF2,4.355
CH2 GeCl2 SnCl2 GeCl2,4.585
CH2 SiF2 CH2 SiF2,1.328
CH2 SiF2 CH2 SiCl2,1.234
CH2 SiF2 CH2 SnF2,2.694
CH2 SiF2 CH2 SnCl2,2.727
CH2 SiF2 GeF2 GeCl2,3.519
CH2 SiF2 GeF2 SiF2,3.0
CH2 SiF2 GeCl2 GeCl2,3.596
CH2 SiF2 GeCl2 SiF2,2.945
CH2 SiF2 SiF2 GeF2,3.123
CH2 SiF2 SiF2 GeCl2,3.031
CH2 SiF2 SiF2 SiF2,2.85
CH2 SiF2 SiCl2 GeF2,3.018
CH2 SiF2 SiCl2 GeCl2,3.096
CH2 SiF2 SiCl2 SiF2,2.775
CH2 SiF2 SnF2 GeCl2,3.913
CH2 SiF2 SnF2 SiF2,3.494
CH2 SiF2 SnCl2 GeF2,3.734
CH2 SiF2 SnCl2 GeCl2,3.943
CH2 SiF2 SnCl2 SiF2,3.152
CH2 SiCl2 CH2 SnF2,2.624
CH2 SiCl2 GeF2 GeF2,3.373
CH2 SiCl2 GeF2 GeCl2,3.731
CH2 SiCl2 GeF2 SiCl2,3.284
CH2 SiCl2 GeCl2 GeCl2,3.905
CH2 SiCl2 GeCl2 SiF2,3.023
CH2 SiCl2 GeCl2 SiCl2,3.284
CH2 SiCl2 SiF2 GeF2,3.169
CH2 SiCl2 SiF2 GeCl2,3.268
CH2 SiCl2 SiF2 SiF2,2.8510000000000004
CH2 SiCl2 SiF2 SiCl2,2.93
CH2 SiCl2 SiCl2 SiF2,2.755
CH2 SiCl2 SiCl2 SiCl2,2.9930000000000003
CH2 SiCl2 SnF2 GeF2,3.819
CH2 SiCl2 SnF2 GeCl2,4.14
