"Systems
Composition",elec. Dielec. Const
CH2 CH2 CH2 GeF2,2.787
CH2 CH2 CH2 GeCl2,2.467
CH2 CH2 CH2 SiF2,2.517
CH2 CH2 CH2 SiCl2,2.657
CH2 CH2 CH2 SnF2,2.421
CH2 CH2 CH2 SnCl2,2.533
CH2 CH2 GeF2 GeF2,3.718
CH2 CH2 GeCl2 GeF2,3.625
CH2 CH2 GeCl2 GeCl2,3.572
CH2 CH2 SiF2 GeCl2,3.095
CH2 CH2 SiF2 SiF2,2.798
CH2 CH2 SiCl2 GeF2,3.158
CH2 CH2 SiCl2 GeCl2,3.1180000000000003
CH2 CH2 SiCl2 SiF2,2.8310000000000004
CH2 CH2 SiCl2 SiCl2,2.8680000000000003
CH2 CH2 SnF2 GeF2,3.097
CH2 CH2 SnF2 GeCl2,4.311
CH2 CH2 SnF2 SiF2,2.592
CH2 CH2 SnF2 SiCl2,2.653
CH2 CH2 SnF2 SnF2,4.271
CH2 CH2 SnCl2 GeF2,4.393
CH2 CH2 SnCl2 SiF2,2.762
CH2 CH2 SnCl2 SnF2,5.064
CH2 CH2 SnCl2 SnCl2,3.881
CH2 GeF2 CH2 GeCl2,3.035
CH2 GeF2 CH2 SiF2,2.799
CH2 GeF2 CH2 SiCl2,2.9
CH2 GeF2 CH2 SnF2,3.237
CH2 GeF2 GeF2 GeF2,4.412
CH2 GeF2 GeCl2 GeF2,4.102
CH2 GeF2 SiF2 GeF2,3.702
CH2 GeF2 SiCl2 GeF2,3.56
CH2 GeF2 SnF2 GeF2,4.742
CH2 GeCl2 CH2 SiF2,2.862
CH2 GeCl2 CH2 SiCl2,3.149
CH2 GeCl2 CH2 SnF2,3.276
CH2 GeCl2 GeF2 GeF2,4.258
CH2 GeCl2 GeF2 GeCl2,4.32
CH2 GeCl2 GeCl2 GeCl2,4.089
CH2 GeCl2 SiF2 GeF2,3.5980000000000003
CH2 GeCl2 SiF2 GeCl2,3.69
CH2 GeCl2 SiCl2 GeF2,3.498
CH2 GeCl2 SiCl2 GeCl2,3.607
CH2 GeCl2 SnF2 GeF2,4.671
CH2 GeCl2 SnF2 GeCl2,4.71
CH2 GeCl2 SnCl2 GeF2,4.388
CH2 GeCl2 SnCl2 GeCl2,4.494
CH2 SiF2 CH2 SiF2,2.545
CH2 SiF2 CH2 SiCl2,2.682
CH2 SiF2 CH2 SnF2,3.071
CH2 SiF2 CH2 SnCl2,3.0380000000000003
CH2 SiF2 GeF2 GeCl2,3.712
CH2 SiF2 GeF2 SiF2,3.2510000000000003
CH2 SiF2 GeCl2 GeCl2,3.552
CH2 SiF2 GeCl2 SiF2,3.151
CH2 SiF2 SiF2 GeF2,3.3680000000000003
CH2 SiF2 SiF2 GeCl2,3.309
CH2 SiF2 SiF2 SiF2,3.003
CH2 SiF2 SiCl2 GeF2,3.269
CH2 SiF2 SiCl2 GeCl2,3.233
CH2 SiF2 SiCl2 SiF2,2.954
CH2 SiF2 SnF2 GeCl2,4.002
CH2 SiF2 SnF2 SiF2,2.559
CH2 SiF2 SnCl2 GeF2,3.871
CH2 SiF2 SnCl2 GeCl2,3.858
CH2 SiF2 SnCl2 SiF2,3.329
CH2 SiCl2 CH2 SnF2,3.153
CH2 SiCl2 GeF2 GeF2,3.786
CH2 SiCl2 GeF2 GeCl2,3.873
CH2 SiCl2 GeF2 SiCl2,3.44
CH2 SiCl2 GeCl2 GeCl2,3.748
CH2 SiCl2 GeCl2 SiF2,3.194
CH2 SiCl2 GeCl2 SiCl2,3.3680000000000003
CH2 SiCl2 SiF2 GeF2,3.343
CH2 SiCl2 SiF2 GeCl2,3.447
CH2 SiCl2 SiF2 SiF2,3.016
CH2 SiCl2 SiF2 SiCl2,3.18
CH2 SiCl2 SiCl2 SiF2,2.991
CH2 SiCl2 SiCl2 SiCl2,3.169
CH2 SiCl2 SnF2 GeF2,4.096
CH2 SiCl2 SnF2 GeCl2,4.174
CH2 SiCl2 SnF2 SiCl2,3.628
CH2 SiCl2 SnCl2 GeF2,3.949
CH2 SiCl2 SnCl2 GeCl2,4.079
CH2 SiCl2 SnCl2 SiF2,3.395
