"Systems
Composition","Spring
Const. (N/m)"
CH2 CH2 CH2 GeF2,86.598
CH2 CH2 CH2 GeCl2,52.523
CH2 CH2 CH2 SiCl2,78.459
CH2 CH2 CH2 SnCl2,47.15600000000001
CH2 CH2 GeCl2 GeF2,50.725
CH2 CH2 GeCl2 GeCl2,37.817
CH2 CH2 SiF2 GeF2,82.76
CH2 CH2 SiF2 GeCl2,56.452
CH2 CH2 SiCl2 GeF2,56.123999999999995
CH2 CH2 SiCl2 GeCl2,42.589
CH2 CH2 SiCl2 SiF2,60.97
CH2 CH2 SiCl2 SiCl2,47.831
CH2 CH2 SnF2 GeF2,72.692
CH2 CH2 SnF2 GeCl2,39.906
CH2 CH2 SnF2 SiF2,90.17200000000001
CH2 CH2 SnF2 SiCl2,55.99100000000001
CH2 CH2 SnF2 SnF2,50.56800000000001
CH2 CH2 SnCl2 GeF2,29.991999999999997
CH2 CH2 SnCl2 SiF2,57.206
CH2 CH2 SnCl2 SiCl2,24.37
CH2 CH2 SnCl2 SnF2,32.349000000000004
CH2 GeF2 CH2 GeCl2,66.186
CH2 GeF2 CH2 SiF2,82.387
CH2 GeF2 CH2 SiCl2,72.82300000000002
CH2 GeF2 CH2 SnF2,62.283
CH2 GeF2 GeF2 GeF2,56.58600000000001
CH2 GeF2 GeCl2 GeF2,46.99800000000001
CH2 GeF2 SiF2 GeF2,61.181000000000004
CH2 GeF2 SnF2 GeF2,45.858999999999995
CH2 GeCl2 CH2 GeCl2,56.452
CH2 GeCl2 CH2 SiF2,69.929
CH2 GeCl2 CH2 SiCl2,49.536
CH2 GeCl2 CH2 SnF2,54.756
CH2 GeCl2 CH2 SnCl2,33.869
CH2 GeCl2 GeF2 GeF2,46.155
CH2 GeCl2 GeF2 GeCl2,37.864000000000004
CH2 GeCl2 GeCl2 GeF2,35.626
CH2 GeCl2 GeCl2 GeCl2,26.287
CH2 GeCl2 SiF2 GeF2,49.443999999999996
CH2 GeCl2 SiF2 GeCl2,42.592
CH2 GeCl2 SiCl2 GeF2,39.213
CH2 GeCl2 SiCl2 GeCl2,31.72300000000001
CH2 GeCl2 SnF2 GeF2,37.823
CH2 GeCl2 SnF2 GeCl2,29.785
CH2 GeCl2 SnCl2 GeF2,28.750999999999998
CH2 GeCl2 SnCl2 GeCl2,21.141
CH2 SiF2 CH2 SiF2,92.244
CH2 SiF2 CH2 SiCl2,79.297
CH2 SiF2 CH2 SnF2,63.44600000000001
CH2 SiF2 CH2 SnCl2,40.088
CH2 SiF2 GeF2 GeF2,59.864
CH2 SiF2 GeF2 GeCl2,48.643
CH2 SiF2 GeF2 SiF2,64.278
CH2 SiF2 GeCl2 GeF2,48.79600000000001
CH2 SiF2 GeCl2 GeCl2,39.097
CH2 SiF2 GeCl2 SiF2,53.591
CH2 SiF2 SiF2 GeF2,64.217
CH2 SiF2 SiCl2 GeCl2,42.667
CH2 SiF2 SiCl2 SiF2,57.007
CH2 SiF2 SnF2 GeF2,48.668
CH2 SiF2 SnF2 GeCl2,40.433
CH2 SiF2 SnF2 SiF2,73.938
CH2 SiF2 SnCl2 SiF2,44.417
CH2 SiCl2 CH2 SiCl2,70.47399999999998
CH2 SiCl2 CH2 SnF2,56.678000000000004
CH2 SiCl2 CH2 SnCl2,37.9
