System_Name,A1_atom,B1_atom,A2_atom,B2_atom,gllbsc_ind_gap
AgNbLaGaO6,Ag,Nb,La,Ga,4.454628775
AgNbLaInO6,Ag,Nb,La,In,4.192522296
AgNbMgTiO6,Ag,Nb,Mg,Ti,3.963856895
AgNbSnTiO6,Ag,Nb,Sn,Ti,2.8812394080000003
AgNbYAlO6,Ag,Nb,Y,Al,3.9582154889999996
AgTaAgNbO6,Ag,Ta,Ag,Nb,3.367340076
AgTaBaTiO6,Ag,Ta,Ba,Ti,3.65187538
AgTaCaSiO6,Ag,Ta,Ca,Si,4.787204683
AgTaCaSnO6,Ag,Ta,Ca,Sn,4.567418298
AgTaCaTiO6,Ag,Ta,Ca,Ti,3.856408782
AgTaCsNbO6,Ag,Ta,Cs,Nb,3.257419299
AgTaCsVO6,Ag,Ta,Cs,V,2.169553701
AgTaGaNbO6,Ag,Ta,Ga,Nb,1.784718332
AgTaGaTaO6,Ag,Ta,Ga,Ta,2.285462409
AgTaKNbO6,Ag,Ta,K,Nb,3.43280078
AgTaLaAlO6,Ag,Ta,La,Al,4.544527043
AgTaLaGaO6,Ag,Ta,La,Ga,4.428479438
AgTaLaInO6,Ag,Ta,La,In,4.598427211000001
AgTaLiNbO6,Ag,Ta,Li,Nb,3.554350261
AgTaLiVO6,Ag,Ta,Li,V,1.6618566259999998
AgTaNaNbO6,Ag,Ta,Na,Nb,3.523501827
AgTaNaSbO6,Ag,Ta,Na,Sb,4.383274568
AgTaNaVO6,Ag,Ta,Na,V,1.67087028
AgTaPbTiO6,Ag,Ta,Pb,Ti,3.806312329
AgTaPbZrO6,Ag,Ta,Pb,Zr,4.43593134
AgTaRbNbO6,Ag,Ta,Rb,Nb,3.3720197539999996
AgTaSnHfO6,Ag,Ta,Sn,Hf,3.6760993760000003
AgTaSnZrO6,Ag,Ta,Sn,Zr,3.6719610489999996
AgTaSrGeO6,Ag,Ta,Sr,Ge,4.5444283830000005
AgTaSrSiO6,Ag,Ta,Sr,Si,4.6922181389999995
AgTaSrSnO6,Ag,Ta,Sr,Sn,4.170643623
AgTaSrTiO6,Ag,Ta,Sr,Ti,3.79098509
AgTaTlNbO6,Ag,Ta,Tl,Nb,1.792464465
AgTaYAlO6,Ag,Ta,Y,Al,4.914572548
BaHfAgTaO6,Ba,Hf,Ag,Ta,4.189891965
BaHfBaSnO6,Ba,Hf,Ba,Sn,6.081554917999999
BaHfBaTiO6,Ba,Hf,Ba,Ti,4.617955975
BaHfCaGeO6,Ba,Hf,Ca,Ge,6.3500809170000005
BaHfCaHfO6,Ba,Hf,Ca,Hf,7.1057802820000004
BaHfCaSiO6,Ba,Hf,Ca,Si,7.124555422
BaHfCaSnO6,Ba,Hf,Ca,Sn,6.149864419
BaHfCaTiO6,Ba,Hf,Ca,Ti,4.881718641
BaHfCaZrO6,Ba,Hf,Ca,Zr,6.793831407000001
BaHfCsNbO6,Ba,Hf,Cs,Nb,4.17192157
BaHfCsTaO6,Ba,Hf,Cs,Ta,4.954141388
BaHfCsVO6,Ba,Hf,Cs,V,2.0240827759999998
BaHfGaNbO6,Ba,Hf,Ga,Nb,2.740038109
BaHfGaTaO6,Ba,Hf,Ga,Ta,3.468891843
BaHfInNbO6,Ba,Hf,In,Nb,1.490876326
BaHfInTaO6,Ba,Hf,In,Ta,2.148573734
BaHfKNbO6,Ba,Hf,K,Nb,4.237405143999999
BaHfKTaO6,Ba,Hf,K,Ta,5.043565766
BaHfLaGaO6,Ba,Hf,La,Ga,7.087096037999999
BaHfLaInO6,Ba,Hf,La,In,6.388361955
