6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Interfacial Energy
(eV/angstrom^2)"
AgI-AgI-AgI-AgI-AgI-AgI,0.0
AgI-AgI-AgI-AgI-AgI-CdTe,0.032
AgI-AgI-AgI-CdTe-CdTe-CdTe,0.053
AgI-AgI-CdTe-CdTe-InSb-InSb,0.085
AgI-AgI-CdTe-InSb-InSb-InSb,0.092
AgI-AgI-InSb-InSb-InSb-InSb,0.075
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,0.041
AgI-CdTe-CdTe-CdTe-InSb-InSb,0.076
AgI-CdTe-InSb-InSb-InSb-InSb,0.085
AgI-InSb-InSb-InSb-InSb-InSb,0.07200000000000001
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,0.0
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,0.087
AlAs-AlAs-AlAs-AlAs-AlAs-CuBr,0.161
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,0.001
AlAs-AlAs-AlAs-AlAs-AlAs-ZnSe,0.061
AlAs-AlAs-AlAs-AlAs-CdS-CdS,0.096
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,0.13699999999999998
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,0.123
AlAs-AlAs-AlAs-AlAs-CuBr-ZnSe,0.149
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,0.08800000000000001
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,0.068
AlAs-AlAs-AlAs-CdS-CdS-CdS,0.097
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,0.134
AlAs-AlAs-AlAs-CuBr-CuBr-ZnSe,0.14800000000000002
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,0.122
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,0.138
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,0.14
AlAs-AlAs-AlAs-GaAs-CdS-CdS,0.096
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,0.087
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,0.001
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,0.067
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,0.086
AlAs-AlAs-CdS-CdS-CdS-CdS,0.09
AlAs-AlAs-CuBr-CuBr-CuBr-CuBr,0.16699999999999998
AlAs-AlAs-CuBr-CuBr-CuBr-GaAs,0.121
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,0.14400000000000002
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,0.122
AlAs-AlAs-CuBr-CuBr-ZnSe-GaAs,0.113
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,0.122
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,0.138
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,0.133
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.127
AlAs-AlAs-GaAs-CdS-CdS-CdS,0.096
AlAs-AlAs-GaAs-GaAs-CdS-CdS,0.095
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,0.086
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,0.067
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,0.083
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.086
AlAs-CuBr-CuBr-CuBr-CuBr-CuBr,0.119
AlAs-CuBr-CuBr-CuBr-CuBr-GaAs,0.108
AlAs-CuBr-CuBr-CuBr-CuBr-ZnSe,0.122
AlAs-CuBr-CuBr-CuBr-GaAs-GaAs,0.121
AlAs-CuBr-CuBr-CuBr-ZnSe-GaAs,0.141
AlAs-CuBr-CuBr-ZnSe-GaAs-GaAs,0.118
AlAs-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.105
AlAs-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.111
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,0.12
AlAs-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.13
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.117
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.097
AlAs-GaAs-CdS-CdS-CdS-CdS,0.09
AlAs-GaAs-GaAs-CdS-CdS-CdS,0.094
AlAs-GaAs-GaAs-GaAs-CdS-CdS,0.093
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,0.085
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,0.001
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,0.066
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.08199999999999999
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.08
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.059
AlN-AlN-AlN-AlN-AlN-AlN,0.0
AlN-AlN-AlN-AlN-AlN-SiC,0.243
AlN-AlN-AlN-SiC-SiC-SiC,0.337
AlN-AlN-SiC-SiC-SiC-SiC,0.334
AlN-SiC-SiC-SiC-SiC-SiC,0.309
AlP-AlP-AlP-AlP-AlP-CuBr,0.2
AlP-AlP-AlP-AlP-AlP-GaP,0.001
AlP-AlP-AlP-AlP-AlP-ZnS,0.07200000000000001
AlP-AlP-AlP-AlP-AlP-ZnSe,0.07
AlP-AlP-AlP-AlP-CuBr-CuBr,0.217
AlP-AlP-AlP-AlP-CuBr-GaP,0.15
AlP-AlP-AlP-AlP-CuBr-ZnSe,0.16899999999999998
AlP-AlP-AlP-AlP-ZnS-GaP,0.08900000000000001
AlP-AlP-AlP-AlP-ZnS-ZnS,0.097
AlP-AlP-AlP-AlP-ZnSe-GaP,0.076
AlP-AlP-AlP-AlP-ZnSe-ZnSe,0.099
AlP-AlP-AlP-CuBr-CuBr-CuBr,0.21600000000000005
AlP-AlP-AlP-CuBr-CuBr-ZnSe,0.166
AlP-AlP-AlP-CuBr-GaP-GaP,0.15
AlP-AlP-AlP-CuBr-ZnSe-GaP,0.16399999999999998
AlP-AlP-AlP-ZnS-GaP-GaP,0.08900000000000001
AlP-AlP-AlP-ZnS-ZnS-GaP,0.109
AlP-AlP-AlP-ZnS-ZnS-ZnS,0.107
AlP-AlP-AlP-ZnSe-GaP-GaP,0.076
AlP-AlP-AlP-ZnSe-ZnSe-GaP,0.101
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,0.108
AlP-AlP-CuBr-CuBr-CuBr-CuBr,0.199
AlP-AlP-CuBr-CuBr-CuBr-GaP,0.15
AlP-AlP-CuBr-CuBr-GaP-GaP,0.151
AlP-AlP-CuBr-CuBr-ZnSe-GaP,0.172
AlP-AlP-CuBr-CuBr-ZnSe-ZnSe,0.16699999999999998
AlP-AlP-CuBr-GaP-GaP-GaP,0.149
AlP-AlP-CuBr-ZnSe-GaP-GaP,0.16399999999999998
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,0.158
