6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"GGA
Band gap (eV)"
AgI-AgI-AgI-AgI-AgI-AgI,1.38
AgI-AgI-AgI-AgI-AgI-CdTe,0.0
AgI-AgI-AgI-CdTe-CdTe-CdTe,0.0
AgI-AgI-CdTe-CdTe-InSb-InSb,0.0
AgI-AgI-CdTe-InSb-InSb-InSb,0.01
AgI-AgI-InSb-InSb-InSb-InSb,0.01
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,0.01
AgI-CdTe-CdTe-CdTe-InSb-InSb,0.0
AgI-CdTe-InSb-InSb-InSb-InSb,0.0
AgI-InSb-InSb-InSb-InSb-InSb,0.01
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,1.69
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,0.01
AlAs-AlAs-AlAs-AlAs-AlAs-CuBr,0.04
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,1.09
AlAs-AlAs-AlAs-AlAs-AlAs-ZnSe,0.0
AlAs-AlAs-AlAs-AlAs-CdS-CdS,0.0
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,0.02
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,0.0
AlAs-AlAs-AlAs-AlAs-CuBr-ZnSe,0.01
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,0.02
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,0.01
AlAs-AlAs-AlAs-CdS-CdS-CdS,0.0
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,0.01
AlAs-AlAs-AlAs-CuBr-CuBr-ZnSe,0.01
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,0.01
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,0.01
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,0.0
AlAs-AlAs-AlAs-GaAs-CdS-CdS,0.0
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,0.01
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,0.7
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,0.0
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,0.01
AlAs-AlAs-CdS-CdS-CdS-CdS,0.0
AlAs-AlAs-CuBr-CuBr-CuBr-CuBr,0.02
AlAs-AlAs-CuBr-CuBr-CuBr-GaAs,0.0
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,0.01
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,0.0
AlAs-AlAs-CuBr-CuBr-ZnSe-GaAs,0.01
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,0.0
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,0.01
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,0.01
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.0
AlAs-AlAs-GaAs-CdS-CdS-CdS,0.0
AlAs-AlAs-GaAs-GaAs-CdS-CdS,0.01
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,0.02
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,0.0
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,0.0
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.02
AlAs-CuBr-CuBr-CuBr-CuBr-CuBr,0.0
AlAs-CuBr-CuBr-CuBr-CuBr-GaAs,0.0
AlAs-CuBr-CuBr-CuBr-CuBr-ZnSe,0.0
AlAs-CuBr-CuBr-CuBr-GaAs-GaAs,0.0
AlAs-CuBr-CuBr-CuBr-ZnSe-GaAs,0.0
AlAs-CuBr-CuBr-ZnSe-GaAs-GaAs,0.01
AlAs-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.01
AlAs-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.01
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,0.01
AlAs-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.01
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.0
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.0
AlAs-GaAs-CdS-CdS-CdS-CdS,0.0
AlAs-GaAs-GaAs-CdS-CdS-CdS,0.01
AlAs-GaAs-GaAs-GaAs-CdS-CdS,0.0
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,0.0
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,0.33
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,0.0
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.0
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.01
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.0
AlN-AlN-AlN-AlN-AlN-AlN,4.11
AlN-AlN-AlN-AlN-AlN-SiC,0.29
AlN-AlN-AlN-SiC-SiC-SiC,0.01
AlN-AlN-SiC-SiC-SiC-SiC,0.04
AlN-SiC-SiC-SiC-SiC-SiC,0.01
AlP-AlP-AlP-AlP-AlP-CuBr,0.02
AlP-AlP-AlP-AlP-AlP-GaP,1.71
AlP-AlP-AlP-AlP-AlP-ZnS,0.01
AlP-AlP-AlP-AlP-AlP-ZnSe,0.0
AlP-AlP-AlP-AlP-CuBr-CuBr,0.04
AlP-AlP-AlP-AlP-CuBr-GaP,0.0
AlP-AlP-AlP-AlP-CuBr-ZnSe,0.02
AlP-AlP-AlP-AlP-ZnS-GaP,0.0
AlP-AlP-AlP-AlP-ZnS-ZnS,0.01
AlP-AlP-AlP-AlP-ZnSe-GaP,0.0
AlP-AlP-AlP-AlP-ZnSe-ZnSe,0.01
AlP-AlP-AlP-CuBr-CuBr-CuBr,0.0
AlP-AlP-AlP-CuBr-CuBr-ZnSe,0.0
AlP-AlP-AlP-CuBr-GaP-GaP,0.0
AlP-AlP-AlP-CuBr-ZnSe-GaP,0.01
AlP-AlP-AlP-ZnS-GaP-GaP,0.01
AlP-AlP-AlP-ZnS-ZnS-GaP,0.01
AlP-AlP-AlP-ZnS-ZnS-ZnS,0.02
AlP-AlP-AlP-ZnSe-GaP-GaP,0.02
AlP-AlP-AlP-ZnSe-ZnSe-GaP,0.01
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,0.01
AlP-AlP-CuBr-CuBr-CuBr-CuBr,0.0
AlP-AlP-CuBr-CuBr-CuBr-GaP,0.0
AlP-AlP-CuBr-CuBr-GaP-GaP,0.0
AlP-AlP-CuBr-CuBr-ZnSe-GaP,0.01
AlP-AlP-CuBr-CuBr-ZnSe-ZnSe,0.0
AlP-AlP-CuBr-GaP-GaP-GaP,0.01
AlP-AlP-CuBr-ZnSe-GaP-GaP,0.0
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,0.01
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,0.0
AlP-AlP-GaP-GaP-GaP-GaP,1.45
AlP-AlP-ZnS-ZnS-GaP-GaP,0.01
AlP-AlP-ZnS-ZnS-ZnS-GaP,0.02
AlP-AlP-ZnS-ZnS-ZnS-ZnS,0.01
AlP-AlP-ZnSe-GaP-GaP-GaP,0.0
AlP-AlP-ZnSe-ZnSe-GaP-GaP,0.0
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,0.01
AlP-CuBr-CuBr-CuBr-GaP-GaP,0.0
AlP-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.0
AlP-CuBr-CuBr-GaP-GaP-GaP,0.01
AlP-CuBr-CuBr-ZnSe-GaP-GaP,0.0
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,0.02
AlP-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.01
AlP-CuBr-GaP-GaP-GaP-GaP,0.0
AlP-CuBr-ZnSe-GaP-GaP-GaP,0.0
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,0.01
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.0
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.01
AlP-GaP-GaP-GaP-GaP-GaP,1.37
AlP-ZnS-GaP-GaP-GaP-GaP,0.01
AlP-ZnS-ZnS-GaP-GaP-GaP,0.0
AlP-ZnS-ZnS-ZnS-GaP-GaP,0.01
AlP-ZnS-ZnS-ZnS-ZnS-GaP,0.0
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,0.01
AlP-ZnSe-GaP-GaP-GaP-GaP,0.01
AlP-ZnSe-ZnSe-GaP-GaP-GaP,0.0
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,0.01
