"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c13 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,19.98
AgI-AgI-AgI-InSb-InSb-InSb,12.2
AgI-AgI-CdTe-CdTe-CdTe-InSb,26.03
AgI-CdTe-CdTe-CdTe-CdTe-InSb,19.91
AgI-CdTe-CdTe-CdTe-InSb-InSb,10.95
AgI-CdTe-CdTe-InSb-InSb-InSb,13.12
AgI-CdTe-InSb-InSb-InSb-InSb,11.31
AgI-InSb-InSb-InSb-InSb-InSb,21.13
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,31.68
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,29.17
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,30.54
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,30.42
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,29.02
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,19.81
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,24.38
AlAs-AlAs-AlAs-CdS-CdS-CdS,34.9
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,22.8
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,3.54
AlAs-AlAs-AlAs-GaAs-CdS-CdS,32.33
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,27.45
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,28.04
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,27.19
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,28.61
AlAs-AlAs-CdS-CdS-CdS-CdS,35.62
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,26.67
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,31.6
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,8.94
AlAs-AlAs-GaAs-CdS-CdS-CdS,33.81
AlAs-AlAs-GaAs-GaAs-CdS-CdS,31.16
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,25.71
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,13.44
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,25.47
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,30.12
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,29.56
AlAs-CdS-CdS-CdS-CdS-CdS,36.69
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,20.92
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,13.23
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,5.52
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,8.05
AlAs-GaAs-CdS-CdS-CdS-CdS,34.22
AlAs-GaAs-GaAs-GaAs-CdS-CdS,29.49
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,25.86
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,24.94
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,14.04
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,23.9
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,30.4
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,31.46
AlN-AlN-AlN-AlN-AlN-AlN,100.24
AlN-AlN-AlN-AlN-SiC-SiC,95.66
AlN-AlN-SiC-SiC-SiC-SiC,87.5
AlN-SiC-SiC-SiC-SiC-SiC,67.59
AlP-AlP-AlP-AlP-AlP-AlP,41.85
AlP-AlP-AlP-AlP-AlP-GaP,39.74
AlP-AlP-AlP-AlP-AlP-ZnS,10.79
AlP-AlP-AlP-AlP-AlP-ZnSe,25.2
AlP-AlP-AlP-AlP-CuBr-ZnSe,21.95
AlP-AlP-AlP-AlP-GaP-GaP,38.41
AlP-AlP-AlP-AlP-ZnSe-GaP,14.84
AlP-AlP-AlP-AlP-ZnSe-ZnSe,20.29
AlP-AlP-AlP-AlP-ZnS-GaP,17.49
AlP-AlP-AlP-AlP-ZnS-ZnS,23.68
AlP-AlP-AlP-CuBr-CuBr-ZnSe,27.64
AlP-AlP-AlP-CuBr-GaP-GaP,23.25
AlP-AlP-AlP-GaP-GaP-GaP,37.65
AlP-AlP-AlP-ZnSe-GaP-GaP,13.83
AlP-AlP-AlP-ZnSe-ZnSe-GaP,24.77
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,25.31
AlP-AlP-AlP-ZnS-ZnS-GaP,27.95
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,11.31
AlP-AlP-CuBr-GaP-GaP-GaP,24.6
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,13.49
AlP-AlP-GaP-GaP-GaP-GaP,35.75
AlP-AlP-ZnSe-GaP-GaP-GaP,11.89
AlP-AlP-ZnSe-ZnSe-GaP-GaP,24.58
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,30.17
AlP-AlP-ZnS-GaP-GaP-GaP,17.4
AlP-AlP-ZnS-ZnS-ZnS-ZnS,35.7
AlP-CuBr-CuBr-ZnSe-GaP-GaP,22.56
AlP-CuBr-GaP-GaP-GaP-GaP,22.52
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,6.3
AlP-GaP-GaP-GaP-GaP-GaP,34.85
AlP-ZnSe-ZnSe-GaP-GaP-GaP,25.46
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,26.52
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,31.39
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,30.96
AlP-ZnS-GaP-GaP-GaP-GaP,16.96
AlP-ZnS-ZnS-GaP-GaP-GaP,26.77
AlP-ZnS-ZnS-ZnS-GaP-GaP,32.96
AlP-ZnS-ZnS-ZnS-ZnS-GaP,36.12
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,37.64
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,23.15
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,23.43
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,22.31
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,23.77
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,25.96
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,27.81
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,22.6
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,21.38
