k1,k2,p,k-LBM
10,1,0.0162729,9.84185
10,1,0.016567,9.82071
10,1,0.0125478,9.89905
10,1,0.0111754,9.91086
10,1,0.0405843,9.41821
10,1,0.0398,9.42541
10,1,0.042348800000000006,9.37155
10,1,0.0427409,9.38248
10,1,0.0723458,8.7956
10,1,0.0698951,8.775689999999999
10,1,0.0688168,8.87685
10,1,0.08685419999999999,8.69738
10,1,0.0936183,8.58879
10,1,0.0885207,8.63795
10,1,0.0943045,8.52337
10,1,0.092638,8.55134
10,1,0.115185,8.1182
10,1,0.123909,8.05596
10,1,0.120282,8.09185
10,1,0.115185,8.2639
10,1,0.123027,8.09721
10,1,0.145476,7.67765
10,1,0.14371099999999998,7.45858
10,1,0.137045,7.821569999999999
10,1,0.16518,7.4149699999999985
10,1,0.172532,7.28631
10,1,0.160474,7.65125
10,1,0.169787,7.40907
10,1,0.199,6.941889999999999
10,1,0.187825,7.161010000000001
10,1,0.188217,7.156560000000002
10,1,0.189687,6.72362
10,1,0.212822,6.68049
10,1,0.216351,6.72133
10,1,0.25223,6.21975
10,1,0.231742,6.57338
10,1,0.241251,6.35575
10,1,0.234977,6.615760000000001
10,1,0.26615,6.04755
10,1,0.264778,6.27834
10,1,0.254975,6.604610000000001
10,1,0.270366,5.94264
10,1,0.292716,5.31727
10,1,0.277718,6.1552
10,1,0.29330500000000004,5.660819999999998
10,1,0.292422,5.66532
10,1,0.282227,5.9097800000000005
10,1,0.314871,5.29556
10,1,0.30006900000000003,6.0951
10,1,0.335947,4.84811
10,1,0.330556,5.19236
10,1,0.332124,5.29563
10,1,0.333595,5.0259
10,1,0.366239,4.67636
10,1,0.357612,5.04831
10,1,0.347221,4.953130000000002
10,1,0.355063,5.10542
20,1,0.0162729,19.5878
20,1,0.016567,19.5398
20,1,0.0125478,19.7231
20,1,0.0111754,19.751
20,1,0.0111754,19.7549
20,1,0.0405843,18.5978
20,1,0.0398,18.5979
20,1,0.042348800000000006,18.4706
20,1,0.043133,18.501
20,1,0.0427409,18.5028
20,1,0.0698951,17.0057
20,1,0.0599941,17.7793
20,1,0.0688168,17.267
20,1,0.08685419999999999,16.9294
20,1,0.0936183,16.6953
20,1,0.0885207,16.7722
20,1,0.0943045,16.515
20,1,0.092638,16.5627
20,1,0.123909,15.4534
20,1,0.120282,15.4859
20,1,0.123027,15.5515
20,1,0.14371099999999998,13.8674
20,1,0.140476,14.9633
20,1,0.14263299999999998,14.7035
20,1,0.137045,14.8733
20,1,0.16518,13.9541
20,1,0.172532,13.6703
20,1,0.175277,13.4755
20,1,0.160474,14.5659
20,1,0.169787,13.9797
20,1,0.197628,12.4771
20,1,0.199,12.8333
20,1,0.187825,13.3665
20,1,0.188217,13.3631
20,1,0.189687,12.125
20,1,0.208803,13.0004
20,1,0.213018,12.6601
20,1,0.212822,12.2047
20,1,0.216351,12.3898
20,1,0.231448,11.7211
20,1,0.25223,11.1868
20,1,0.231742,12.0406
20,1,0.233801,11.117
20,1,0.234977,12.2339
20,1,0.26615,10.8433
20,1,0.265268,10.6355
20,1,0.264778,11.4486
20,1,0.270366,10.602
20,1,0.292716,8.89069
20,1,0.29330500000000004,9.88158
20,1,0.292422,9.90054
20,1,0.282227,10.6145
20,1,0.310656,10.4021
20,1,0.298598,10.2734
20,1,0.306244,10.526
20,1,0.338104,9.15869
20,1,0.335947,7.86906
20,1,0.332124,9.26647
20,1,0.333595,8.47184
20,1,0.361827,8.51383
20,1,0.366239,7.71152
20,1,0.357612,8.62106
20,1,0.347221,8.24243
20,1,0.355063,8.83602
40,1,0.016567,38.8424
40,1,0.0125478,39.2692
40,1,0.0111754,39.3396
40,1,0.0111754,39.3442
40,1,0.0405843,36.7001
40,1,0.042348800000000006,36.3879
40,1,0.043133,36.455
40,1,0.0723458,33.3013
40,1,0.0698951,32.9975
40,1,0.0688168,33.5811
40,1,0.0633271,34.8871
40,1,0.08685419999999999,32.9536
40,1,0.0936183,32.5243
40,1,0.0885207,32.6139
40,1,0.0943045,32.0075
40,1,0.092638,32.1299
40,1,0.120282,29.6232
40,1,0.115185,30.7597
