SMILES,epsilon_i
C(CC)C,0.0
c1ccccc1CC[C@@H](C)c1ccccc1,0.12
O=CCCCCCN,0.49
[nH]1cncc1-c1[nH]ccn1,0.39
OCC[C@H](O)C,0.19
O(C(O)=O)c1ccc(cc1)C(C)(C)c1ccccc1,0.59
O(C(=O)C(C)C)C,0.42
OCCCC[C@@H](O)CCC,0.24
O(c1ccc(cc1)C(=O)c1ccc(O)cc1)c1ccccc1,0.96
OCCCC[C@@H](O)CCC,1.08
O(CCOC)C,0.36
NCCC,0.13
O=CCCC,0.39
c1ccccc1CCC,0.06
s1cccc1CCCC,0.06
N(N)CC,0.25
O=CNCC,0.41
S(=O)(=O)(c1ccc(O)cc1)c1ccccc1,0.82
N(CC)c1ccccc1,0.72
s1cccc1NCC,0.48
O=C(N)CC,0.53
O=C(CC)C=O,0.55
O=C(CC)c1ccccc1,0.59
s1cccc1C(=O)CC,0.61
Nc1ccc(cc1)CC,0.87
O=Cc1ccc(cc1)CC,0.42
c1cc(ccc1-c1ccccc1)CC,0.05
s1cccc1-c1ccc(cc1)CC,0.09
C(CC(C)C)(C)(C)C,0.18
s1c(ccc1N)CC,0.58
s1c(ccc1C=O)CC,0.6
s1c(ccc1CC)-c1ccccc1,0.07
N(CN)C,0.2
O=CCNC,1.1
N(Cc1ccccc1)C,0.11
s1cccc1CNC,0.23
N(NN)C,0.14
O=CNNC,1.16
FCC[C@@H](F)C,0.15
N(NC)c1ccccc1,1.98
s1cccc1NNC,0.37
O=C(NC)N,0.7
O=C(NC)C=O,0.96
O=C(NC)c1ccccc1,0.58
s1cccc1C(=O)NC,1.52
O=Cc1ccc(NC)cc1,3.81
N(C)c1ccc(cc1)-c1ccccc1,1.53
s1cccc1-c1ccc(NC)cc1,0.5
O(CO)C,0.55
s1c(NC)ccc1N,1.21
s1c(ccc1NC)-c1ccccc1,0.82
s1c(ccc1NC)-c1sccc1,1.01
O=C(CC=O)C,0.41
O=C(Cc1ccccc1)C,0.35
s1cccc1CC(=O)C,0.34
O=C(NN)C,1.51
O=C(NC=O)C,0.92
s1cccc1NC(=O)C,0.57
O=C(C(=O)N)C,0.98
O=C(C(=O)C)c1ccccc1,0.84
s1cccc1C(=O)C(=O)C,0.82
O=C(C)c1ccc(N)cc1,3.05
O=C(C)c1ccc(cc1)C=O,0.87
O=C(C)c1ccc(cc1)-c1ccccc1,0.44
s1cccc1-c1ccc(cc1)C(=O)C,0.9
s1c(ccc1N)C(=O)C,2.07
O=C(N)CC[C@H](C(=O)N)C,1.74
s1c(ccc1C(=O)C)-c1ccccc1,0.5
s1c(ccc1C(=O)C)-c1sccc1,0.72
c1cc(ccc1Cc1ccccc1)C,0.07
s1cccc1Cc1ccc(cc1)C,0.11
N(N)c1ccc(cc1)C,1.37
O=CNc1ccc(cc1)C,0.62
N(c1ccc(cc1)C)c1ccccc1,0.35
s1cccc1Nc1ccc(cc1)C,0.47
O=C(N)c1ccc(cc1)C,0.58
FC(F)([C@@H](F)C(F)F)CF,0.3
