SMILES,Loss (100Hz)
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCC,0.00675
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCC,0.0117
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCC,0.00931
O(CCNC(=O)Nc1cc(NC(=O)N)c(cc1)C)CC,0.0385
O(C[C@H](NC(=O)Nc1cc(NC(=O)N)c(cc1)C)C)C[C@@H](OCCC)C,0.0141
O(CC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.011000000000000001
O(CCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0156
O(CCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.00896
O(CCCCCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0184
S(CCCCCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0135
S(CCOCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0125
O=C1N(CCC)C(=O)c2c1cc1c(c2)C(=O)NC1=O,0.00091
O=C1N([C@@H](CO[C@H](COCCC)C)C)C(=O)c2c1cc1c(c2)C(=O) NC1=O,0.00367
O=C1N([C@@H](COCCOCCOCCC)C)C(=O)c2c1cc1c(c2)C(=O)NC 1=O,0.00323
"O=C1N([C@@H](CO[C@H](COCCC)C)C)C(=O)c2c1cc(cc2)C(=O)c
1cc2c(cc1)C(=O)NC2=O",0.00253
O=C1N([C@@H](COCCOCCOCCC)C)C(=O)c2c1cc(cc2)C(=O)c1cc 2c(cc1)C(=O)NC2=O,0.00314
"O(c1cc2c(cc1)C(=O)N([C@@H](CO[C@H](COCCC)C)C)C2=O)c1cc
2c(cc1)C(=O)NC2=O",0.00177
"O(c1cc2c(cc1)C(=O)N([C@@H](COCCOCCOCCC)C)C2=O)c1cc2c(c
c1)C(=O)NC2=O",0.0022
"FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)N([C@@H](COCCOCCOCCC)
C)C2=O)c1cc2c(cc1)C(=O)NC2=O",0.00281
O=C1N(CCC)C(=O)c2c1cc(cc2)C(=O)c1cc2c(cc1)C(=O)NC2=O,0.00214
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCCCCC,0.0225
O(CCOC(=O)Nc1cc(NC(O)=O)c(cc1)C)CC,0.0149
S(CCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0131
S(CC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.012
"FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)N([C@@H](COC(COCCC)C)C)
C2=O)c1cc2c(cc1)C(=O)NC2=O",0.00602
C(C)(C)C,0.0004
ClC(F)C(F)F,0.021
ClCC,0.013000000000000001
Clc1cc(ccc1Cl)CC,0.0085
Clc1ccc(Cl)cc1CC,0.0002
O(C(=O)C(C)C)C,0.0605
O(C(=O)C(C)C)C1CCCCC1,0.0046
O(C(=O)C(C)C)CC,0.042
O(C(=O)C(C)C)CC(C)C,0.0111
O(C(=O)C(C)C)CCCC,0.0605
O(C(=O)C)CC,0.0049
O(C(=O)c1ccc(cc1)C=O)CCCCO,0.002
O(C(=O)c1ccccc1C(OCC=C)=O)CC=C,0.0104
O1C(CCOC1C(C)C)C,0.0038
O1CC(OC)C(O)C(O)C1COC,0.128
O1CC(OCC)C(O)C(O)C1COCC,0.0075
O1COCCC1C,0.0054
O=C(NCCCCCCN)CCCCCCCCC=O,0.0155
Oc1c(cccc1C)C,0.0004
c1cc(ccc1CC)C,0.00073
c1ccccc1C(C)C,7e-05
n1ccccc1CC,0.036000000000000004
