MP-ID,System,G_Reuss
mvc-11484,CaTiO3,101
mvc-15350,Ca2Sn3O8,42
mvc-16396,Ca3AlSb3,23
mvc-652,Ti(WO4)2,42
mvc-8242,CaSn2O5,43
mvc-4415,Ta2O5,48
mvc-15643,WO3,58
mvc-13876,TiN,174
mvc-6389,WO2,12
mvc-8365,MgFe2O5,21
mvc-11651,Zn(CrSe2)2,30
mvc-13158,CaVO3,85
mvc-16413,Zn2Mo3O8,36
mvc-15272,Ca2CoN2,32
mvc-7786,Zn(WO2)2,42
mvc-13900,YCuO3,52
mvc-11233,CoS2,10
mvc-11780,MoS2,33
mvc-5096,WO3,80
mvc-7794,Mg(MoO2)2,33
mvc-14201,Ca3Sn2O7,63
mvc-14941,MoO3,21
mvc-11813,CaLaMn2O6,61
mp-22712,YPd2Pb,24
mvc-3672,Ca3Fe2O7,58
mvc-6590,TiO2,95
mvc-3525,VZnF4,22
mvc-14334,MgVF5,149
mvc-6921,MgMn2O4,18
mvc-11699,AlCuO2,65
mvc-16068,CaNiN,49
mvc-12022,MnO2,15
mvc-5517,Zn(AgO2)2,24
mvc-12484,CaTi2O4,87
mvc-10896,Ti2AlO4,73
mvc-11649,Ca(CoO2)2,71
mp-544,Ti3Ir,13
mp-3702,FeCuPt2,69
mp-865162,MgGeRh2,68
mp-9556,SrZnSi,37
mp-29596,Ca3AlN3,35
mp-22617,YNiSn,40
mp-862563,Sc2BeTc,42
mp-8786,Zr2NiAs2,66
mp-30427,BaZnBi2,18
mp-864890,Hf2FeIr,65
mp-23558,Ag2BiO3,20
mp-11431,CaGa3Ni2,37
mp-9324,Ba3MnN3,20
mp-7524,NbPSe,75
mp-5072,Rb2HgO2,11
mp-20790,InPS4,10
mp-672645,TiSiRh,87
mp-6926,Ca(PPd)2,44
mp-1251,VRh,88
mp-16524,ScAlPd2,40
mp-10086,YSF,53
mp-5962,NaMgAs,19
mp-865490,V2CrFe,100
mp-989579,Rb2LiTlCl6,10
mp-865888,TiSnRu2,108
mp-862431,Sc2AgOs,45
mp-558781,ScTaO4,69
mp-7918,HfGeS,81
mp-867137,ScVRu2,85
mp-4152,Ga2CoS4,26
mp-865866,LiZrPt2,11
mp-867274,Be2CoIr,111
mp-2831,FePd,70
mp-20935,ZrSnIr,64
mp-867156,ScGaRu2,66
mp-555064,Cd(CO2)2,16
mp-7632,NiMoP,94
mp-8150,Ba(CdSb)2,17
mp-861629,LiMnPd2,26
mp-20983,V2InC,103
mp-1682,ZrAs,60
mp-862600,Be2RhPt,110
mp-864883,MgSnPd2,14
mp-779948,ZrMnO3,67
mp-4475,Tl(CoSe)2,19
mp-10894,MnAlRh2,91
mp-20905,OsS2,134
mp-650,Be5Pd,131
mp-866062,HfSiRu2,104
mp-4864,CaMgSn,29
mp-2933,Pr2(ReB2)3,116
mp-7066,ScNiGe,61
