MP-ID,System,G_Voigt
mvc-11484,CaTiO3,102
mvc-15350,Ca2Sn3O8,49
mvc-16396,Ca3AlSb3,23
mvc-652,Ti(WO4)2,46
mvc-8242,CaSn2O5,49
mvc-4415,Ta2O5,74
mvc-15643,WO3,65
mvc-13876,TiN,177
mvc-6389,WO2,47
mvc-8365,MgFe2O5,32
mvc-11651,Zn(CrSe2)2,32
mvc-13158,CaVO3,86
mvc-16413,Zn2Mo3O8,51
mvc-15272,Ca2CoN2,43
mvc-7786,Zn(WO2)2,50
mvc-13900,YCuO3,59
mvc-11233,CoS2,28
mvc-11780,MoS2,33
mvc-5096,WO3,109
mvc-7794,Mg(MoO2)2,56
mvc-14201,Ca3Sn2O7,63
mvc-14941,MoO3,32
mvc-11813,CaLaMn2O6,67
mp-22712,YPd2Pb,27
mvc-3672,Ca3Fe2O7,60
mvc-6590,TiO2,123
mvc-3525,VZnF4,26
mvc-14334,MgVF5,38
mvc-6921,MgMn2O4,64
mvc-11699,AlCuO2,94
mvc-16068,CaNiN,61
mvc-12022,MnO2,59
mvc-5517,Zn(AgO2)2,30
mvc-12484,CaTi2O4,88
mvc-10896,Ti2AlO4,74
mvc-11649,Ca(CoO2)2,77
mp-544,Ti3Ir,14
mp-3702,FeCuPt2,78
mp-865162,MgGeRh2,68
mp-9556,SrZnSi,40
mp-29596,Ca3AlN3,47
mp-22617,YNiSn,44
mp-862563,Sc2BeTc,47
mp-8786,Zr2NiAs2,70
mp-30427,BaZnBi2,19
mp-864890,Hf2FeIr,65
mp-23558,Ag2BiO3,22
mp-11431,CaGa3Ni2,41
mp-9324,Ba3MnN3,21
mp-7524,NbPSe,77
mp-5072,Rb2HgO2,12
mp-20790,InPS4,12
mp-672645,TiSiRh,90
mp-6926,Ca(PPd)2,47
mp-1251,VRh,104
mp-16524,ScAlPd2,42
mp-10086,YSF,54
mp-5962,NaMgAs,21
mp-865490,V2CrFe,114
mp-989579,Rb2LiTlCl6,10
mp-865888,TiSnRu2,108
