composition,Eg (eV)
CuBr,3.08
LuP,1.3
Cu3SbSe4,0.4
ZnO,3.44
PtSb2,0.08
K2Cd3Te4,2.26
K4Sn3Ce3S14,2.46
Pb6B2CrO12,1.8
InSb,0.22
Sr2Be2B2O7,8.0
K2CuNbS4,2.82
PrTe2,1.02
BAs,1.46
Ba4Ga4GeSe12,2.18
CuBr,2.94
HgSe,0.07
AgIn5Te8,0.47
Rb7Th2P6Se21,2.07
TlS,1.37
CdS,2.5
Al2Se3,3.1
In2GeTe3,0.68
BiSeBr,1.5
GaAs0.4P0.6,2.1
K2AuPS4,2.63
CsH3Se2O6,4.77
CsB3GeO7,5.76
SnGa4S7,3.1
Si3N4,5.1
Gd1.05Sc0.95Se3,1.2
Cs2ZnGe3Se8,2.31
CeO2,3.41
KAgAsS2,2.21
Mn11Si19,0.8
SrTe,3.73
Pb0.97Se0.97Sn0.03Se0.03,0.21
LaCuOS,3.14
AlSb,1.67
Tl2AuPS4,2.2
Cs3Sn3F2Cl7,2.96
AgI,3.02
PtSb2,0.11
Hg0.1Zn0.9Te,1.83
TlBiTe3,0.5
CuCl,3.24
Pb0.92Sn0.08Se,0.06
CdSe,1.75
Cu3SbS4,0.75
GaAs,1.46
As2Te3,1.76
SrB6,3.68
GaN,3.25
Cd3As2,0.24
EuYb2Se4,1.3
Bi2Te2.4Se0.6,0.25
CuN3,4.17
MnI2,4.4
InSb,0.24
TmAs,1.18
CdS,2.6
Ga0.3As0.3Zn0.7Se0.7,1.93
Cd4GdB3O10,3.8
Cd3P2,0.54
SmAs,1.03
RbSbS2,2.1
Na5GdMo4O16,3.38
Sr2V2Se3O15,2.96
UP2S7,1.41
TaON,2.8
RbBr,7.65
PdSe2,0.4
RbBr,7.25
SbSeI,1.66
KBiSe2,0.7
Bi0.4Te3Sb1.6,0.21
Na2TeSe3,1.95
Tl2Te3,0.69
Al0.74Gd3Si0.7S7,2.34
BaB6,2.64
La5In3S9O3,2.6
PbN6,3.02
GaN,3.24
CaO,6.97
Na2S,2.4
Rb2Cd3Te4,2.3
AgI,2.8
CdSe,1.84
SnSe,1.2
Rb2BaNb2Se11,1.53
TaZrN3,1.72
Ba3In2P4O16,3.87
RbTa3Te2O12,3.88
GaTe,1.8
ZnO,3.51
Ag2SnS3,1.43
SnSe,1.3
Ba2GaErTe5,1.15
Na3MoO4Cl,4.69
K2Hg3Sn2S8,2.5
CdSb,0.57
GeSe,1.22
HfS3,2.85
Ga0.9Sb0.9Hg0.1Te0.1,0.65
InSb2S4Cl,1.8
GaS,2.59
PtS,0.8
AgS,0.9
Cs2P2Se8,2.44
Y4GaSbS9,2.06
Zn0.55S0.55Ga0.45P0.45,2.3
Zn0.95S0.95Ga0.05P0.05,2.7
Mg2Sn,0.32
CsF,10.0
KSbSe2,1.14
Ag3AsSe3,1.98
As2Se3,1.84
LiGaSe2,3.13
NbSe2,1.4
Rb2CsSb,1.5
OsS2,2.0
GeS,1.8
RuAs2,0.8
InSb0.99As0.01,0.35
Ga1.1Sb0.9Se0.3,0.67
Sm2S3,2.96
SiP,2.0
YbB66,1.27
Pb0.9Sn0.1Se,0.08
TlTiPS5,1.3
CsYbMnSe3,1.6
K10Fe4Sn4S17,2.2
Pb0.95Te0.95Ge0.05S0.05,0.4
BaSe,3.58
K4In4P6Se20,2.2
Pb0.94Sn0.06Te,0.28
Bi2Te0.45Se2.55,0.2
KNb3Te2O12,3.52
Cd4P2I3,2.17
Cr2S3,0.9
Sr0.5TaO3,3.7
Tb4GaSbS9,2.44
Na3Sb,1.1
Dy2Te3,0.69
TiTlS2,1.0
Bi2S3,1.25
Ba2GaYTe5,1.08
Pb0.99Se0.99Sn0.01Se0.01,0.31
Tl2InGaSe4,2.05
NaLaS3,2.61
CsGe5BO12,4.89
Tl2.35Sb8.65Se14,0.6
Hg3PS4,2.03
Zn2In2S5,2.95
Cs2ZnGe3Te8,1.07
EuSb4S7,0.98
PbSe,0.17
Na0.75Eu1.625GeSe4,2.0
ZnHg3Se2Cl4,2.23
EuBiW2O9,3.63
CsSb,0.8
Hg2I2,2.37
Hg0.5Cd0.5Se,0.8
TlInSe2,1.44
TaGaSe2,2.17
Ir0.67Se2,0.45
Bi2Se3,0.4
La2Ge2Se7,1.08
Bi12GeO20,3.25
CaSnO3,4.4
Ba2Sb7O14H,2.7
GaS,2.7
Sr3EuP3O12,3.99
Zn0.15Cd0.85Se,2.5
CuCl,3.2
BiSBr,1.92
NaBr,7.03
Pb0.95Mn0.05Te,0.37
TlBr,2.64
Ba6Ga2SnSe11,1.99
