4-BLOCK POLYMER,HSE Band Gap (eV)
CH2-CO-NH-CS,3.06
CH2-CS-C6H4-O,2.531
C6H4-C6H4-C4H2S-CS,1.7990000000000002
CO-O-C4H2S-CS,2.25
C6H4-CS-C4H2S-O,2.522
CO-C6H4-O-CS,2.3080000000000003
C6H4-O-CS-C4H2S,2.238
C6H4-C4H2S-C6H4-C4H2S,2.3280000000000003
NH-C4H2S-CO-C4H2S,1.858
CH2-NH-C4H2S-CS,1.828
NH-C6H4-CO-C6H4,3.7430000000000003
NH-CO-CS-C4H2S,1.43
CO-C6H4-O-C4H2S,3.28
C6H4-CS-C4H2S-CS,1.3840000000000001
CH2-C4H2S-NH-C4H2S,3.7119999999999997
CH2-C4H2S-C6H4-C4H2S,2.5989999999999998
CH2-NH-C6H4-CO,3.338
CO-C6H4-C4H2S-CS,2.222
C6H4-C6H4-CS-O,2.9589999999999996
CH2-NH-C4H2S-C6H4,3.4530000000000003
NH-C4H2S-C4H2S-CH2,2.8930000000000002
CH2-C4H2S-C6H4-CS,2.142
CH2-NH-CS-C6H4,3.225
CH2-C6H4-C4H2S-C6H4,3.0239999999999996
NH-CO-C4H2S-C6H4,2.418
NH-CO-CS-CO,1.615
CO-C6H4-C6H4-C6H4,2.91
CH2-CH2-C4H2S-O,4.261
NH-CS-CO-CS,1.785
CH2-C6H4-CS-O,3.17
CH2-CO-C4H2S-CS,2.495
C4H2S-C4H2S-C4H2S-O,2.061
CO-C4H2S-C6H4-CS,1.98
CH2-C6H4-NH-O,4.515
NH-CS-NH-CS,2.246
CH2-NH-CS-NH,4.123
NH-C4H2S-C4H2S-CO,1.8869999999999998
CH2-C4H2S-CS-O,2.633
NH-CO-C4H2S-O,3.4019999999999997
CH2-C4H2S-C6H4-O,3.072
C6H4-C6H4-C6H4-C4H2S,2.166
NH-C6H4-CO-O,3.8939999999999997
NH-C4H2S-CO-O,2.4819999999999998
NH-CS-NH-C6H4,2.9130000000000003
CO-CS-O-CS,1.744
CH2-NH-CH2-CS,2.3819999999999997
CH2-CH2-NH-C6H4,3.8289999999999997
C4H2S-C4H2S-C4H2S-CS,0.935
CH2-C6H4-C6H4-O,4.033
CH2-CO-C6H4-CS,2.597
CO-C6H4-C6H4-CS,2.242
CH2-CH2-CH2-CS,2.9419999999999997
CH2-C6H4-CH2-O,5.035
CH2-O-CO-O,7.7010000000000005
NH-C6H4-CS-C6H4,1.983
CH2-CO-C6H4-O,3.9610000000000003
CH2-NH-C4H2S-NH,3.717
CH2-C6H4-CO-O,4.206
NH-C4H2S-NH-CS,2.2569999999999997
CO-C6H4-C4H2S-O,3.092
