4-BLOCK POLYMER,Total Dielectric Constant
CH2-CO-NH-CS,4.349
CH2-CS-C6H4-O,4.039
C6H4-C6H4-C4H2S-CS,5.761
CO-O-C4H2S-CS,4.663
C6H4-CS-C4H2S-O,4.133
CO-C6H4-O-CS,4.726
C6H4-O-CS-C4H2S,4.791
C6H4-C4H2S-C6H4-C4H2S,4.037
NH-C4H2S-CO-C4H2S,7.478
CH2-NH-C4H2S-CS,5.702999999999999
NH-C6H4-CO-C6H4,3.786
NH-CO-CS-C4H2S,7.763999999999999
CO-C6H4-O-C4H2S,4.354
C6H4-CS-C4H2S-CS,6.06
CH2-C4H2S-NH-C4H2S,3.574
CH2-C4H2S-C6H4-C4H2S,3.638
CH2-NH-C6H4-CO,4.372
CO-C6H4-C4H2S-CS,5.051
C6H4-C6H4-CS-O,4.114
CH2-NH-C4H2S-C6H4,3.912
NH-C4H2S-C4H2S-CH2,4.257
CH2-C4H2S-C6H4-CS,4.051
CH2-NH-CS-C6H4,3.6830000000000003
CH2-C6H4-C4H2S-C6H4,3.5980000000000003
NH-CO-C4H2S-C6H4,5.115
NH-CO-CS-CO,5.343999999999999
CO-C6H4-C6H4-C6H4,4.048
CH2-CH2-C4H2S-O,3.342
NH-CS-CO-CS,7.891
CH2-C6H4-CS-O,3.523
CH2-CO-C4H2S-CS,4.335
C4H2S-C4H2S-C4H2S-O,5.131
CO-C4H2S-C6H4-CS,5.292000000000001
CH2-C6H4-NH-O,3.5260000000000002
NH-CS-NH-CS,5.2860000000000005
CH2-NH-CS-NH,4.668
NH-C4H2S-C4H2S-CO,6.377000000000001
CH2-C4H2S-CS-O,4.273
NH-CO-C4H2S-O,4.388999999999999
CH2-C4H2S-C6H4-O,3.764
C6H4-C6H4-C6H4-C4H2S,4.673
NH-C6H4-CO-O,4.348
NH-C4H2S-CO-O,4.851
NH-CS-NH-C6H4,5.434
CO-CS-O-CS,5.169
CH2-NH-CH2-CS,3.9810000000000003
CH2-CH2-NH-C6H4,3.3169999999999997
C4H2S-C4H2S-C4H2S-CS,10.725999999999999
CH2-C6H4-C6H4-O,3.437
CH2-CO-C6H4-CS,4.2139999999999995
CO-C6H4-C6H4-CS,4.941
CH2-CH2-CH2-CS,3.185
CH2-C6H4-CH2-O,3.322
CH2-O-CO-O,3.3480000000000003
NH-C6H4-CS-C6H4,6.0089999999999995
CH2-CO-C6H4-O,3.659
CH2-NH-C4H2S-NH,3.822
CH2-C6H4-CO-O,3.532
NH-C4H2S-NH-CS,5.385
CO-C6H4-C4H2S-O,4.184
NH-C4H2S-O-C4H2S,3.734
CH2-NH-CH2-CO,3.3510000000000004
NH-CO-NH-C6H4,4.215
CH2-C6H4-NH-CS,3.472
CH2-CH2-CH2-O,2.8360000000000003
CH2-CS-CH2-O,3.634
NH-C6H4-C6H4-O,4.418
CH2-C4H2S-NH-CS,4.155
CH2-C6H4-O-C4H2S,3.305
CH2-CH2-CO-C6H4,3.585
CO-C4H2S-C4H2S-CS,5.854
CH2-C6H4-O-C6H4,3.26
CO-C4H2S-C6H4-O,4.978
CO-C4H2S-CO-O,4.352
CH2-CS-C4H2S-O,4.913
CH2-O-C4H2S-C6H4,3.596
CH2-C4H2S-CO-C4H2S,4.672
CO-C6H4-CO-O,4.48
CH2-CH2-CO-C4H2S,3.762
CH2-CO-CS-C6H4,4.205
CH2-CS-CO-O,3.8930000000000002
NH-C4H2S-NH-C4H2S,3.843
C6H4-CS-C6H4-CS,3.543
CH2-C6H4-CH2-C6H4,3.207
CH2-C4H2S-O-CS,3.846
CO-C6H4-C6H4-C4H2S,5.5089999999999995
