"Systems
Composition","Formation
Eng. (eV)"
CH2 CH2 CH2 CH2,-2.793
CH2 CH2 CH2 GeF2,-7.997000000000001
CH2 CH2 CH2 GeCl2,-3.076
CH2 CH2 CH2 SiF2,-10.299000000000001
CH2 CH2 CH2 SiCl2,-5.586
CH2 CH2 CH2 SnF2,-7.2410000000000005
CH2 CH2 CH2 SnCl2,-3.403
CH2 CH2 GeF2 GeF2,-13.298
CH2 CH2 GeCl2 GeF2,-9.692
CH2 CH2 GeCl2 GeCl2,-6.104
CH2 CH2 SiF2 GeF2,-13.821
CH2 CH2 SiF2 GeCl2,-11.648
CH2 CH2 SiF2 SiF2,-17.178
CH2 CH2 SiCl2 GeF2,-10.617
CH2 CH2 SiCl2 GeCl2,-7.0360000000000005
CH2 CH2 SiCl2 SiF2,-12.579
CH2 CH2 SiCl2 SiCl2,-7.9879999999999995
CH2 CH2 SnF2 GeF2,-11.306
CH2 CH2 SnF2 GeCl2,-9.283999999999999
CH2 CH2 SnF2 SiF2,-14.019
CH2 CH2 SnF2 SiCl2,-9.378
CH2 CH2 SnF2 SnF2,-12.649000000000001
CH2 CH2 SnCl2 GeF2,-7.539
CH2 CH2 SnCl2 GeCl2,-3.987
CH2 CH2 SnCl2 SiF2,-10.238
CH2 CH2 SnCl2 SiCl2,-5.615
CH2 CH2 SnCl2 SnF2,-9.215
CH2 CH2 SnCl2 SnCl2,-5.816
CH2 GeF2 CH2 GeF2,-13.095999999999998
CH2 GeF2 CH2 GeCl2,-9.388
CH2 GeF2 CH2 SiF2,-15.645
CH2 GeF2 CH2 SiCl2,-10.804
CH2 GeF2 CH2 SnF2,-12.502
CH2 GeF2 CH2 SnCl2,-9.147
CH2 GeF2 GeF2 GeF2,-18.423
CH2 GeF2 GeCl2 GeF2,-14.864
CH2 GeF2 SiF2 GeF2,-19.98
CH2 GeF2 SiCl2 GeF2,-15.472000000000001
CH2 GeF2 SnF2 GeF2,-18.174
CH2 GeF2 SnCl2 GeF2,-14.886
CH2 GeCl2 CH2 GeCl2,-5.485
CH2 GeCl2 CH2 SiF2,-11.895999999999999
CH2 GeCl2 CH2 SiCl2,-6.835
CH2 GeCl2 CH2 SnF2,-8.805
CH2 GeCl2 CH2 SnCl2,-5.3260000000000005
CH2 GeCl2 GeF2 GeF2,-14.837
CH2 GeCl2 GeF2 GeCl2,-11.107000000000001
CH2 GeCl2 GeCl2 GeF2,-11.22
CH2 GeCl2 GeCl2 GeCl2,-7.636
CH2 GeCl2 SiF2 GeF2,-16.234
CH2 GeCl2 SiF2 GeCl2,-12.654000000000002
CH2 GeCl2 SiCl2 GeF2,-11.814
CH2 GeCl2 SiCl2 GeCl2,-8.23
CH2 GeCl2 SnF2 GeF2,-14.437000000000001
CH2 GeCl2 SnF2 GeCl2,-10.89
CH2 GeCl2 SnCl2 GeF2,-11.312000000000001
CH2 GeCl2 SnCl2 GeCl2,-7.691
CH2 SiF2 CH2 SiF2,-18.116
CH2 SiF2 CH2 SiCl2,-13.251
CH2 SiF2 CH2 SnF2,-15.055
CH2 SiF2 CH2 SnCl2,-11.673
CH2 SiF2 GeF2 GeF2,-20.549
CH2 SiF2 GeF2 GeCl2,-16.928
CH2 SiF2 GeF2 SiF2,-22.56
CH2 SiF2 GeCl2 GeF2,-17.012
CH2 SiF2 GeCl2 GeCl2,-13.392999999999999
CH2 SiF2 GeCl2 SiF2,-19.051
CH2 SiF2 SiF2 GeF2,-22.111
CH2 SiF2 SiF2 GeCl2,-18.505
CH2 SiF2 SiF2 SiF2,-24.119
CH2 SiF2 SiCl2 GeF2,-17.625999999999998
CH2 SiF2 SiCl2 GeCl2,-14.020999999999999
CH2 SiF2 SiCl2 SiF2,-19.678
CH2 SiF2 SnF2 GeF2,-20.214000000000002
CH2 SiF2 SnF2 GeCl2,-16.612000000000002
CH2 SiF2 SnF2 SiF2,-21.087
CH2 SiF2 SnCl2 GeF2,-16.938
CH2 SiF2 SnCl2 GeCl2,-13.342
CH2 SiF2 SnCl2 SiF2,-18.878
CH2 SiCl2 CH2 SiCl2,-8.115
CH2 SiCl2 CH2 SnF2,-10.257
CH2 SiCl2 CH2 SnCl2,-6.739
CH2 SiCl2 GeF2 GeF2,-15.919
CH2 SiCl2 GeF2 GeCl2,-12.222999999999999
CH2 SiCl2 GeF2 SiF2,-17.914
CH2 SiCl2 GeF2 SiCl2,-13.083
CH2 SiCl2 GeCl2 GeF2,-12.304
CH2 SiCl2 GeCl2 GeCl2,-8.687999999999999
CH2 SiCl2 GeCl2 SiF2,-14.305
