"Systems
Composition",elec. Dielec. Const
CH2 CH2 CH2 CH2,2.502
CH2 CH2 CH2 GeF2,2.787
CH2 CH2 CH2 GeCl2,2.467
CH2 CH2 CH2 SiF2,2.517
CH2 CH2 CH2 SiCl2,2.657
CH2 CH2 CH2 SnF2,2.421
CH2 CH2 CH2 SnCl2,2.533
CH2 CH2 GeF2 GeF2,3.718
CH2 CH2 GeCl2 GeF2,3.625
CH2 CH2 GeCl2 GeCl2,3.572
CH2 CH2 SiF2 GeF2,2.351
CH2 CH2 SiF2 GeCl2,3.095
CH2 CH2 SiF2 SiF2,2.798
CH2 CH2 SiCl2 GeF2,3.158
CH2 CH2 SiCl2 GeCl2,3.1180000000000003
CH2 CH2 SiCl2 SiF2,2.8310000000000004
CH2 CH2 SiCl2 SiCl2,2.8680000000000003
CH2 CH2 SnF2 GeF2,3.097
CH2 CH2 SnF2 GeCl2,4.311
CH2 CH2 SnF2 SiF2,2.592
CH2 CH2 SnF2 SiCl2,2.653
CH2 CH2 SnF2 SnF2,4.271
CH2 CH2 SnCl2 GeF2,4.393
CH2 CH2 SnCl2 GeCl2,3.571
CH2 CH2 SnCl2 SiF2,2.762
CH2 CH2 SnCl2 SiCl2,2.8
CH2 CH2 SnCl2 SnF2,5.064
CH2 CH2 SnCl2 SnCl2,3.8810000000000002
CH2 GeF2 CH2 GeF2,2.998
CH2 GeF2 CH2 GeCl2,3.035
CH2 GeF2 CH2 SiF2,2.799
CH2 GeF2 CH2 SiCl2,2.9
CH2 GeF2 CH2 SnF2,3.237
CH2 GeF2 CH2 SnCl2,3.182
CH2 GeF2 GeF2 GeF2,4.412
CH2 GeF2 GeCl2 GeF2,4.102
CH2 GeF2 SiF2 GeF2,3.702
CH2 GeF2 SiCl2 GeF2,3.56
CH2 GeF2 SnF2 GeF2,4.742
CH2 GeF2 SnCl2 GeF2,4.449
CH2 GeCl2 CH2 GeCl2,3.2680000000000002
CH2 GeCl2 CH2 SiF2,2.862
