6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"HSE
Band gap (eV)"
AgI-AgI-AgI-AgI-AgI-AgI,2.5
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,2.4
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,1.88
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,1.75
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,1.49
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,1.34
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,1.13
AlN-AlN-AlN-AlN-AlN-AlN,5.45
AlN-AlN-AlN-AlN-AlN-SiC,1.27
AlP-AlP-AlP-AlP-AlP-AlP,2.73
AlP-AlP-AlP-AlP-AlP-GaP,2.47
AlP-AlP-AlP-AlP-GaP-GaP,2.4
AlP-AlP-AlP-GaP-GaP-GaP,2.38
AlP-AlP-GaP-GaP-GaP-GaP,2.21
AlP-GaP-GaP-GaP-GaP-GaP,2.2
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,1.54
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,1.09
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,0.99
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,0.8
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,0.72
BAs-BAs-BAs-BAs-BAs-BAs,1.86
BeS-BeS-BeS-BeS-BeS-BeS,4.86
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,4.22
BeSe-BeSe-BeSe-BeSe-BeSe-InN,1.44
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,0.8
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,0.55
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,0.57
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,0.61
BeTe-AlP-AlP-AlP-AlP-AlP,1.01
BeTe-AlP-AlP-AlP-AlP-GaP,0.8
BeTe-AlP-AlP-AlP-GaP-GaP,0.82
BeTe-AlP-AlP-GaP-GaP-GaP,0.87
BeTe-AlP-GaP-GaP-GaP-GaP,0.63
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,1.06
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,0.59
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,1.08
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,0.71
BeTe-BeTe-BeTe-AlP-ZnSe-GaP,1.14
BeTe-BeTe-BeTe-AlP-ZnSe-ZnSe,1.07
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,1.07
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,1.15
BeTe-BeTe-BeTe-BeTe-BeTe-AlP,1.36
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,2.9
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,1.03
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,1.21
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,2.26
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,0.61
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,0.76
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,2.06
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,0.61
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,1.79
BeTe-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,1.59
BeTe-GaP-GaP-GaP-GaP-GaP,0.67
