"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c44 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,2.11
AgI-AgI-AgI-CdTe-CdTe-InSb,6.15
AgI-AgI-AgI-InSb-InSb-InSb,0.92
AgI-AgI-CdTe-CdTe-CdTe-InSb,7.91
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,7.85
AgI-CdTe-CdTe-CdTe-CdTe-InSb,8.29
AgI-CdTe-CdTe-CdTe-InSb-InSb,6.65
AgI-CdTe-CdTe-InSb-InSb-InSb,5.83
AgI-CdTe-InSb-InSb-InSb-InSb,1.71
AgI-InSb-InSb-InSb-InSb-InSb,3.57
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,31.67
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,19.06
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,31.96
AlAs-AlAs-AlAs-AlAs-CdS-CdS,19.1
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,5.02
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,17.63
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,32.23
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,11.82
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,21.87
AlAs-AlAs-AlAs-CdS-CdS-CdS,16.26
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,6.03
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,8.45
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,9.24
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,7.63
AlAs-AlAs-AlAs-GaAs-CdS-CdS,20.12
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,17.84
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,32.76
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,14.59
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,22.04
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,21.93
AlAs-AlAs-CdS-CdS-CdS-CdS,13.77
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,2.67
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,4.34
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,6.88
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,8.13
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,9.67
AlAs-AlAs-CuBr-ZnSe-ZnSe-ZnSe,5.72
AlAs-AlAs-GaAs-CdS-CdS-CdS,17.94
AlAs-AlAs-GaAs-GaAs-CdS-CdS,20.33
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,20.11
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,32.84
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,17.86
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,22.41
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,21.74
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,21.26
AlAs-CdS-CdS-CdS-CdS-CdS,13.95
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,6.73
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,6.24
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,4.02
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,2.82
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,2.16
AlAs-GaAs-CdS-CdS-CdS-CdS,15.09
AlAs-GaAs-GaAs-CdS-CdS-CdS,17.88
AlAs-GaAs-GaAs-GaAs-CdS-CdS,20.19
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,19.69
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,32.77
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,21.43
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,22.51
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,21.1
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,20.55
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,21.16
AlN-AlN-AlN-AlN-AlN-AlN,113.92
AlN-AlN-AlN-AlN-AlN-SiC,110.14
AlN-AlN-AlN-AlN-SiC-SiC,116.74
AlN-AlN-AlN-SiC-SiC-SiC,124.43
AlN-AlN-SiC-SiC-SiC-SiC,130.63
AlN-SiC-SiC-SiC-SiC-SiC,131.19
AlP-AlP-AlP-AlP-AlP-AlP,37.29
AlP-AlP-AlP-AlP-AlP-GaP,37.94
AlP-AlP-AlP-AlP-AlP-ZnS,18.4
AlP-AlP-AlP-AlP-AlP-ZnSe,18.54
AlP-AlP-AlP-AlP-CuBr-GaP,1.65
AlP-AlP-AlP-AlP-CuBr-ZnSe,4.77
AlP-AlP-AlP-AlP-GaP-GaP,38.44
AlP-AlP-AlP-AlP-ZnSe-GaP,12.83
AlP-AlP-AlP-AlP-ZnSe-ZnSe,19.96
AlP-AlP-AlP-AlP-ZnS-GaP,22.39
AlP-AlP-AlP-AlP-ZnS-ZnS,23.01
AlP-AlP-AlP-CuBr-CuBr-ZnSe,5.02
AlP-AlP-AlP-CuBr-GaP-GaP,1.29
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,0.77
AlP-AlP-AlP-GaP-GaP-GaP,38.94
AlP-AlP-AlP-ZnSe-GaP-GaP,12.19
AlP-AlP-AlP-ZnSe-ZnSe-GaP,21.41
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,21.13
AlP-AlP-AlP-ZnS-GaP-GaP,23.43
AlP-AlP-AlP-ZnS-ZnS-GaP,26.59
AlP-AlP-AlP-ZnS-ZnS-ZnS,26.3
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,3.09
AlP-AlP-CuBr-GaP-GaP-GaP,4.71
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,3.21
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,2.73
AlP-AlP-GaP-GaP-GaP-GaP,39.3
AlP-AlP-ZnSe-GaP-GaP-GaP,12.48
AlP-AlP-ZnSe-ZnSe-GaP-GaP,20.09
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,21.87
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,20.94
AlP-AlP-ZnS-GaP-GaP-GaP,23.89
AlP-AlP-ZnS-ZnS-GaP-GaP,27.0
AlP-AlP-ZnS-ZnS-ZnS-GaP,25.91
AlP-AlP-ZnS-ZnS-ZnS-ZnS,25.47
AlP-CuBr-CuBr-ZnSe-GaP-GaP,1.0
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,7.33
AlP-CuBr-GaP-GaP-GaP-GaP,4.99
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,6.0
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,5.92
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,4.62
AlP-GaP-GaP-GaP-GaP-GaP,39.72
AlP-ZnSe-ZnSe-GaP-GaP-GaP,19.7
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,21.16
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,21.61
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,20.92
AlP-ZnS-GaP-GaP-GaP-GaP,23.85
AlP-ZnS-ZnS-GaP-GaP-GaP,27.26
AlP-ZnS-ZnS-ZnS-GaP-GaP,26.27
AlP-ZnS-ZnS-ZnS-ZnS-GaP,25.28
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,24.26
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,22.72
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,12.91
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,22.95
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,22.04
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,16.03
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,15.0
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,14.86
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,14.88
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,23.16
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,22.52
AlSb-AlSb-AlSb-AlSb-InAs-InAs,22.07
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,16.01
