Unnamed: 0,Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom)
0,Ba1Sr7V8O24,Ba,Sr,,V,,,O,4,29.74770732,-2.113334555
1,Ba2Bi2Pr4Co8O24,Ba,Bi,Pr,Co,,,O,5,106.702335,-1.311862585
2,Ba2Ca6Fe8O24,Ba,Ca,,Fe,,,O,4,171.6080933,-1.435607274
4,Ba2Dy6Fe8O24,Ba,Dy,,Fe,,,O,4,270.00791289999995,-1.746806189
6,Ba2Ho6Fe8O24,Ba,Ho,,Fe,,,O,4,291.384616,-1.730646902
7,Ba2La6Co8O24,Ba,La,,Co,,,O,4,59.63498938,-1.663537668
8,Ba2La6Cr8O24,Ba,La,,Cr,,,O,4,16.66840972,-2.244336479
9,Ba2La6Fe8O24,Ba,La,,Fe,,,O,4,0.0,-2.003512701
10,Ba2La6Ga8O24,Ba,La,,Ga,,,O,4,94.50620971,-2.142007386
11,Ba2La6Mn8O24,Ba,La,,Mn,,,O,4,43.36372073,-2.058584002
13,Ba2La6Sc8O24,Ba,La,,Sc,,,O,4,14.09444405,-3.002093623
14,Ba2La6Ti8O24,Ba,La,,Ti,,,O,4,14.81005156,-2.830398081
15,Ba2La6V8O24,Ba,La,,V,,,O,4,53.85203387,-2.352156953
16,Ba2Mg6Fe8O24,Ba,Mg,,Fe,,,O,4,515.8053305,-1.014907035
17,Ba2Nd6Fe8O24,Ba,Nd,,Fe,,,O,4,132.8149808,-1.819950909
18,Ba2Pr6Co8O24,Ba,Pr,,Co,,,O,4,62.49404951,-1.60742447
19,Ba2Pr6Cr8O24,Ba,Pr,,Cr,,,O,4,33.65498379,-2.125968031
20,Ba2Pr6Fe8O24,Ba,Pr,,Fe,,,O,4,58.88531967,-1.881720753
21,Ba2Pr6Ga8O24,Ba,Pr,,Ga,,,O,4,155.4650781,-2.022670188
22,Ba2Pr6Mn8O24,Ba,Pr,,Mn,,,O,4,51.30901636,-2.003141803
23,Ba2Pr6Ni8O24,Ba,Pr,,Ni,,,O,4,162.89217549999995,-1.281903845
24,Ba2Pr6Sc8O24,Ba,Pr,,Sc,,,O,4,65.98496318,-2.896167925
26,Ba2Pr6V8O24,Ba,Pr,,V,,,O,4,18.9735033,-2.282407505
27,Ba2Sm6Fe8O24,Ba,Sm,,Fe,,,O,4,178.2357388,-1.794980239
28,Ba2Sn2Pr4Ni8O24,Ba,Sn,Pr,Ni,,,O,5,276.3402685,-1.033511169
29,Ba2Sr6Co8O24,Ba,Sr,,Co,,,O,4,106.7457587,-1.210712992
30,Ba2Sr6Fe4Co4O24,Ba,Sr,,Fe,Co,,O,5,109.488956,-1.340597884
31,Ba2Sr6Fe4Ni4O24,Ba,Sr,,Fe,Ni,,O,5,183.2712842,-1.143708571
32,Ba2Sr6Fe6Co2O24,Ba,Sr,,Fe,Co,,O,5,105.7221796,-1.410678704
33,Ba2Sr6Fe6Ni2O24,Ba,Sr,,Fe,Ni,,O,5,135.9544601,-1.314627173
34,Ba2Sr6Fe7Co1O24,Ba,Sr,,Fe,Co,,O,5,113.0606437,-1.43325399
35,Ba2Sr6Fe7Ni1O24,Ba,Sr,,Fe,Ni,,O,5,110.2858358,-1.399373849
36,Ba2Sr6Fe8O24,Ba,Sr,,Fe,,,O,4,89.50296147,-1.479234775
37,Ba2Sr6Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,102.7754203,-1.49147175
38,Ba2Sr6Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,96.03603838,-1.519664725
40,Ba2Sr6Mn8O24,Ba,Sr,,Mn,,,O,4,113.8862036,-1.597024575
42,Ba2Sr6V8O24,Ba,Sr,,V,,,O,4,42.13350699,-2.100668277
43,Ba2Y6Co8O24,Ba,Y,,Co,,,O,4,113.4830544,-1.643965255
44,Ba2Y6Cr8O24,Ba,Y,,Cr,,,O,4,101.755733,-2.163963566
45,Ba2Y6Fe8O24,Ba,Y,,Fe,,,O,4,84.72896518,-1.913356538
46,Ba2Y6Ga8O24,Ba,Y,,Ga,,,O,4,184.3874048,-2.066766973
47,Ba2Y6Mn8O24,Ba,Y,,Mn,,,O,4,91.10598761,-2.029611338
48,Ba2Y6Ni8O24,Ba,Y,,Ni,,,O,4,152.5708865,-1.38114738
49,Ba2Y6Sc8O24,Ba,Y,,Sc,,,O,4,94.60256203,-2.93909071
50,Ba2Y6Ti8O24,Ba,Y,,Ti,,,O,4,66.50124863,-2.781746417
51,Ba2Y6V8O24,Ba,Y,,V,,,O,4,33.0048005,-2.36963354
52,Ba3Bi1Pr4Co8O24,Ba,Bi,Pr,Co,,,O,5,109.0334108,-1.3729612530000002
53,Ba3Bi4La1Fe8O24,Ba,Bi,La,Fe,,,O,5,171.95670269999997,-1.180790075
54,Ba3Cd1Pr4Ni8O24,Ba,Cd,Pr,Ni,,,O,5,257.0759627,-0.96739269
55,Ba3Cd4La1Fe8O24,Ba,Cd,La,Fe,,,O,5,258.6653096,-1.009429826
56,Ba3Sn1Pr4Ni8O24,Ba,Sn,Pr,Ni,,,O,5,263.83957480000004,-1.047629357
57,Ba3Sn4La1Fe8O24,Ba,Sn,La,Fe,,,O,5,285.9481644,-1.230692994
58,Ba3Sr3La2Mn1Fe7O24,Ba,Sr,La,Mn,Fe,,O,6,0.0,-2.224516947
59,Ba4Ba4Mn2Fe6O24,Ba,Ba,,Mn,Fe,,O,5,271.90659750000003,-0.931270106
60,Ba4Bi4Fe8O24,Ba,Bi,,Fe,,,O,4,187.39104630000003,-1.093093684
61,Ba4Bi4Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,138.8928547,-2.19333335
62,Ba4Ca4Co4Ni4O24,Ba,Ca,,Co,Ni,,O,5,296.0959131,-0.941303789
63,Ba4Ca4Co6Ni2O24,Ba,Ca,,Co,Ni,,O,5,247.6849749,-1.03976982
64,Ba4Ca4Co7Ni1O24,Ba,Ca,,Co,Ni,,O,5,212.7566308,-1.099725711
65,Ba4Ca4Fe1Co7O24,Ba,Ca,,Fe,Co,,O,5,187.8944086,-1.181993887
66,Ba4Ca4Fe1Ni7O24,Ba,Ca,,Fe,Ni,,O,5,332.2121369,-0.817964403
67,Ba4Ca4Fe2Co6O24,Ba,Ca,,Fe,Co,,O,5,205.5640304,-1.196702672
68,Ba4Ca4Fe2Ni6O24,Ba,Ca,,Fe,Ni,,O,5,317.3568714,-0.902576579
69,Ba4Ca4Fe8O24,Ba,Ca,,Fe,,,O,4,163.18574919999998,-1.413634135
70,Ba4Ca4Mn1Co7O24,Ba,Ca,,Mn,Co,,O,5,180.6609581,-1.206799362
71,Ba4Ca4Mn1Ni7O24,Ba,Ca,,Mn,Ni,,O,5,349.60540510000016,-0.823979378
72,Ba4Ca4Mn2Co6O24,Ba,Ca,,Mn,Co,,O,5,197.1241296,-1.240286623
73,Ba4Ca4Mn2Ni6O24,Ba,Ca,,Mn,Ni,,O,5,346.0879077,-0.920662029
74,Ba4Ca4Mn4Co4O24,Ba,Ca,,Mn,Co,,O,5,195.6727542,-1.340436893
75,Ba4Ca4Mn4Ni4O24,Ba,Ca,,Mn,Ni,,O,5,313.72288060000005,-1.122276581
76,Ba4Ca4Mn6Co2O24,Ba,Ca,,Mn,Co,,O,5,198.5926738,-1.432124414
77,Ba4Ca4Mn6Fe2O24,Ba,Ca,,Mn,Fe,,O,5,192.0104175,-1.503463485
78,Ba4Ca4Mn6Ni2O24,Ba,Ca,,Mn,Ni,,O,5,234.968862,-1.3456931330000002
79,Ba4Ca4Mn7Co1O24,Ba,Ca,,Mn,Co,,O,5,206.6101336,-1.471410675
80,Ba4Ca4Mn7Fe1O24,Ba,Ca,,Mn,Fe,,O,5,192.7127554,-1.51768646
81,Ba4Ca4Mn7Ni1O24,Ba,Ca,,Mn,Ni,,O,5,213.3332277,-1.439660034
82,Ba4Ca4Ni4Co4O24,Ba,Ca,,Ni,Co,,O,5,330.9399131,-0.906459789
83,Ba4Ca4Ni6Co2O24,Ba,Ca,,Ni,Co,,O,5,364.7071013,-0.822637508
84,Ba4Ca4Ni7Co1O24,Ba,Ca,,Ni,Co,,O,5,354.7377519,-0.779144367
85,Ba4Cd4Fe8O24,Ba,Cd,,Fe,,,O,4,278.9846652,-0.909699185
86,Ba4Cd4Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,98.58075515,-2.235525477
87,Ba4Cd4Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,151.5536712,-2.164019601
89,Ba4Dy4Fe8O24,Ba,Dy,,Fe,,,O,4,236.1773154,-1.617726328
90,Ba4Dy4Mn8O24,Ba,Dy,,Mn,,,O,4,137.4087125,-1.853918878
91,Ba4Er4Mn8O24,Ba,Er,,Mn,,,O,4,150.9998764,-1.850509856
92,Ba4Gd4Co8O24,Ba,Gd,,Co,,,O,4,130.5973922,-1.453169088
93,Ba4Gd4Fe8O24,Ba,Gd,,Fe,,,O,4,108.6668547,-1.714409621
94,Ba4Gd4Mn8O24,Ba,Gd,,Mn,,,O,4,105.6931653,-1.838973671
95,Ba4Ho4Fe8O24,Ba,Ho,,Fe,,,O,4,254.2650505,-1.60510872
97,Ba4La1Mn8Zn3O24,Ba,La,Zn,Mn,,,O,5,244.5589337,-1.296833575
98,Ba4La1Zn3Co8O24,Ba,La,Zn,Co,,,O,5,259.7211261,-0.920564492
99,Ba4La1Zn3Fe8O24,Ba,La,Zn,Fe,,,O,5,253.5848549,-1.157166775
100,Ba4La1Zn3Ni8O24,Ba,La,Zn,Ni,,,O,5,0.0,-1.221324367
101,Ba4La4Co8O24,Ba,La,,Co,,,O,4,117.6505299,-1.463276636
102,Ba4La4Cr8O24,Ba,La,,Cr,,,O,4,62.16796594,-2.053322947
103,Ba4La4Fe6Co2O24,Ba,La,,Fe,Co,,O,5,106.616452,-1.678054099
104,Ba4La4Fe8O24,Ba,La,,Fe,,,O,4,3.608107346,-1.824342919
105,Ba4La4Ga8O24,Ba,La,,Ga,,,O,4,169.76938049999995,-1.931469354
106,Ba4La4Mn8O24,Ba,La,,Mn,,,O,4,78.00949578,-1.88783422
107,Ba4La4Ni8O24,Ba,La,,Ni,,,O,4,210.8089291,-1.115862261
108,Ba4La4Sc8O24,Ba,La,,Sc,,,O,4,42.29589311,-2.8062730910000004
109,Ba4La4Ti8O24,Ba,La,,Ti,,,O,4,13.80460838,-2.789404549
110,Ba4La4V8O24,Ba,La,,V,,,O,4,79.64651974,-2.233025421
111,Ba4Mg4Fe8O24,Ba,Mg,,Fe,,,O,4,408.4885862,-1.117797642
112,Ba4Nd4Fe8O24,Ba,Nd,,Fe,,,O,4,122.3896631,-1.680338308
113,Ba4Nd4Mn8O24,Ba,Nd,,Mn,,,O,4,93.96023403,-1.848628108
114,Ba4Pr4Co8O24,Ba,Pr,,Co,,,O,4,113.9014866,-1.431522921
115,Ba4Pr4Cr8O24,Ba,Pr,,Cr,,,O,4,100.4401946,-1.955067232
116,Ba4Pr4Fe8O24,Ba,Pr,,Fe,,,O,4,78.18172235,-1.716439704
117,Ba4Pr4Ga8O24,Ba,Pr,,Ga,,,O,4,234.8007094,-1.827519139
118,Ba4Pr4Hf4Co4O24,Ba,Pr,,Hf,Co,,O,5,99.7625282,-2.305075518
119,Ba4Pr4Hf4Fe4O24,Ba,Pr,,Hf,Fe,,O,5,0.0,-2.572224659
120,Ba4Pr4Hf4Ni4O24,Ba,Pr,,Hf,Ni,,O,5,230.9219046,-2.073805955
121,Ba4Pr4Hf6Co2O24,Ba,Pr,,Hf,Co,,O,5,48.46453063,-2.742728066
122,Ba4Pr4Hf6Fe2O24,Ba,Pr,,Hf,Fe,,O,5,139.7631331,-2.685304137
123,Ba4Pr4Hf6Ni2O24,Ba,Pr,,Hf,Ni,,O,5,140.5385504,-2.611074285
124,Ba4Pr4Hf7Co1O24,Ba,Pr,,Hf,Co,,O,5,185.5245423,-2.775608965
125,Ba4Pr4Hf7Fe1O24,Ba,Pr,,Hf,Fe,,O,5,197.2462569,-2.7638872510000003
126,Ba4Pr4Hf7Ni1O24,Ba,Pr,,Hf,Ni,,O,5,229.0646829,-2.732068825
127,Ba4Pr4Mn6Co2O24,Ba,Pr,,Mn,Co,,O,5,86.53565683,-1.7525659830000002
128,Ba4Pr4Mn6Cu2O24,Ba,Pr,,Mn,Cu,,O,5,132.10902430000002,-1.659871144
130,Ba4Pr4Mn6Ni2O24,Ba,Pr,,Mn,Ni,,O,5,112.573845,-1.676472702
132,Ba4Pr4Nb4Co4O24,Ba,Pr,,Nb,Co,,O,5,52.02867683,-2.18843454
133,Ba4Pr4Nb4Fe4O24,Ba,Pr,,Nb,Fe,,O,5,42.1689745,-2.257611932
134,Ba4Pr4Nb4Ni4O24,Ba,Pr,,Nb,Ni,,O,5,134.5064424,-2.015248478
135,Ba4Pr4Nb6Co2O24,Ba,Pr,,Nb,Co,,O,5,251.360287,-2.190301975
137,Ba4Pr4Nb6Ni2O24,Ba,Pr,,Nb,Ni,,O,5,321.9895748,-2.122467444
140,Ba4Pr4Ni8O24,Ba,Pr,,Ni,,,O,4,214.3641691,-1.077502796
141,Ba4Pr4Sc8O24,Ba,Pr,,Sc,,,O,4,94.30190586,-2.718243626
143,Ba4Pr4Ta4Fe4O24,Ba,Pr,,Ta,Fe,,O,5,31.5202492,-2.372322625
144,Ba4Pr4Ta4Ni4O24,Ba,Pr,,Ta,Ni,,O,5,139.3450813,-2.134894921
145,Ba4Pr4Ta6Co2O24,Ba,Pr,,Ta,Co,,O,5,294.4157031000001,-2.290383014
146,Ba4Pr4Ta6Fe2O24,Ba,Pr,,Ta,Fe,,O,5,281.1024426,-2.300012335
147,Ba4Pr4Ta6Ni2O24,Ba,Pr,,Ta,Ni,,O,5,367.6244316,-2.222287483
148,Ba4Pr4Ta7Co1O24,Ba,Pr,,Ta,Co,,O,5,280.87646980000005,-2.309389655
149,Ba4Pr4Ta7Fe1O24,Ba,Pr,,Ta,Fe,,O,5,286.014919,-2.29652069
150,Ba4Pr4Ta7Ni1O24,Ba,Pr,,Ta,Ni,,O,5,299.6924848000001,-2.291491514
151,Ba4Pr4Ti8O24,Ba,Pr,,Ti,,,O,4,11.5904985,-2.738592833
152,Ba4Pr4V8O24,Ba,Pr,,V,,,O,4,57.14438148,-2.189203706
153,Ba4Pr4Zr4Co4O24,Ba,Pr,,Zr,Co,,O,5,77.8684422,-2.252837764
154,Ba4Pr4Zr4Fe4O24,Ba,Pr,,Zr,Fe,,O,5,126.7773445,-2.350017906
155,Ba4Pr4Zr4Ni4O24,Ba,Pr,,Zr,Ni,,O,5,199.6845686,-2.030911452
157,Ba4Pr4Zr6Fe2O24,Ba,Pr,,Zr,Fe,,O,5,202.2839484,-2.532370382
159,Ba4Pr4Zr7Co1O24,Ba,Pr,,Zr,Co,,O,5,165.7784332,-2.696801584
160,Ba4Pr4Zr7Fe1O24,Ba,Pr,,Zr,Fe,,O,5,175.56939780000005,-2.68701062
161,Ba4Pr4Zr7Ni1O24,Ba,Pr,,Zr,Ni,,O,5,211.4768238,-2.651103194
162,Ba4Sm4Fe8O24,Ba,Sm,,Fe,,,O,4,157.7155851,-1.658645778
163,Ba4Sm4Mn8O24,Ba,Sm,,Mn,,,O,4,107.9750668,-1.848396578
165,Ba4Sn4Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,85.23364294,-2.325448895
166,Ba4Sn4Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,137.1260589,-2.255023519
168,Ba4Sr4Al2Fe6O24,Ba,Sr,,Al,Fe,,O,5,149.8500945,-1.610721839
169,Ba4Sr4Al4Fe4O24,Ba,Sr,,Al,Fe,,O,5,198.1066642,-1.775521959
170,Ba4Sr4Al6Fe2O24,Ba,Sr,,Al,Fe,,O,5,206.1582362,-1.976239579
172,Ba4Sr4Co4Ni4O24,Ba,Sr,,Co,Ni,,O,5,223.624761,-0.978963373
173,Ba4Sr4Co6Ni2O24,Ba,Sr,,Co,Ni,,O,5,182.220981,-1.078175154
174,Ba4Sr4Co7Ni1O24,Ba,Sr,,Co,Ni,,O,5,148.8738869,-1.136549795
175,Ba4Sr4Co8O24,Ba,Sr,,Co,,,O,4,122.3160428,-1.188135186
176,Ba4Sr4Cu8O24,Ba,Sr,,Cu,,,O,4,288.4865628,-0.8403560790000001
177,Ba4Sr4Fe1Co7O24,Ba,Sr,,Fe,Co,,O,5,120.40352959999998,-1.223204721
179,Ba4Sr4Fe2Co6O24,Ba,Sr,,Fe,Co,,O,5,123.7540164,-1.253011256
180,Ba4Sr4Fe2Cu6O24,Ba,Sr,,Fe,Cu,,O,5,253.560446,-0.983566989
181,Ba4Sr4Fe2Ni6O24,Ba,Sr,,Fe,Ni,,O,5,228.1696994,-0.945850413
182,Ba4Sr4Fe4Co4O24,Ba,Sr,,Fe,Co,,O,5,126.79849,-1.316280827
183,Ba4Sr4Fe4Cu4O24,Ba,Sr,,Fe,Cu,,O,5,218.9463975,-1.123257899
184,Ba4Sr4Fe4Ni4O24,Ba,Sr,,Fe,Ni,,O,5,184.9014486,-1.120253015
185,Ba4Sr4Fe6Co2O24,Ba,Sr,,Fe,Co,,O,5,117.2491681,-1.385657648
186,Ba4Sr4Fe6Cu2O24,Ba,Sr,,Fe,Cu,,O,5,151.7974405,-1.292659309
187,Ba4Sr4Fe6Ni2O24,Ba,Sr,,Fe,Ni,,O,5,137.583441,-1.290163617
188,Ba4Sr4Fe7Co1O24,Ba,Sr,,Fe,Co,,O,5,117.2470591,-1.411828183
189,Ba4Sr4Fe7Cu1O24,Ba,Sr,,Fe,Cu,,O,5,119.778837,-1.375804139
190,Ba4Sr4Fe7Ni1O24,Ba,Sr,,Fe,Ni,,O,5,113.09210790000002,-1.3745390430000002
191,Ba4Sr4Fe8O24,Ba,Sr,,Fe,,,O,4,92.54373354,-1.454165469
192,Ba4Sr4Ga1Fe7O24,Ba,Sr,,Ga,Fe,,O,5,118.3026576,-1.465192461
194,Ba4Sr4Ga4Fe4O24,Ba,Sr,,Ga,Fe,,O,5,202.6896798,-1.491163186
196,Ba4Sr4Ga8O24,Ba,Sr,,Ga,,,O,4,289.7129778,-1.532185904
197,Ba4Sr4Mn1Co7O24,Ba,Sr,,Mn,Co,,O,5,124.84257240000002,-1.238353946
198,Ba4Sr4Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,97.91858002,-1.474952444
199,Ba4Sr4Mn1Ni7O24,Ba,Sr,,Mn,Ni,,O,5,251.7034831,-0.875967962
200,Ba4Sr4Mn2Co6O24,Ba,Sr,,Mn,Co,,O,5,134.5996021,-1.281342207
201,Ba4Sr4Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,104.3729715,-1.494398919
202,Ba4Sr4Mn4Co4O24,Ba,Sr,,Mn,Co,,O,5,138.09122580000002,-1.3785499769999998
203,Ba4Sr4Mn4Fe4O24,Ba,Sr,,Mn,Fe,,O,5,104.2442075,-1.537434869
204,Ba4Sr4Mn4Ni4O24,Ba,Sr,,Mn,Ni,,O,5,199.5780955,-1.200445415
205,Ba4Sr4Mn6Co2O24,Ba,Sr,,Mn,Co,,O,5,165.10972969999997,-1.450745498
206,Ba4Sr4Mn6Fe2O24,Ba,Sr,,Mn,Fe,,O,5,126.8181702,-1.548883319
207,Ba4Sr4Mn6Ni2O24,Ba,Sr,,Mn,Ni,,O,5,180.0351679,-1.3857649669999998
208,Ba4Sr4Mn7Co1O24,Ba,Sr,,Mn,Co,,O,5,162.7842126,-1.498302759
209,Ba4Sr4Mn7Fe1O24,Ba,Sr,,Mn,Fe,,O,5,133.8833674,-1.556924544
210,Ba4Sr4Mn7Ni1O24,Ba,Sr,,Mn,Ni,,O,5,160.43480669999997,-1.475624618
211,Ba4Sr4Mn8O24,Ba,Sr,,Mn,,,O,4,137.791901,-1.567360519
212,Ba4Sr4Ni4Co4O24,Ba,Sr,,Ni,Co,,O,5,227.717761,-0.974870373
213,Ba4Sr4Ni6Co2O24,Ba,Sr,,Ni,Co,,O,5,283.0424293,-0.858388842
214,Ba4Sr4Ni7Co1O24,Ba,Sr,,Ni,Co,,O,5,272.8715799,-0.8150972009999999
216,Ba4Sr4V8O24,Ba,Sr,,V,,,O,4,66.96310632,-2.075277721
217,Ba4Sr4Zn1Fe7O24,Ba,Sr,,Fe,Zn,,O,5,119.7749833,-1.4110242590000002
218,Ba4Sr4Zn2Fe6O24,Ba,Sr,,Fe,Zn,,O,5,150.4727082,-1.36429005
219,Ba4Sr4Zn4Fe4O24,Ba,Sr,,Fe,Zn,,O,5,219.4021335,-1.263161132
220,Ba4Sr4Zn6Fe2O24,Ba,Sr,,Fe,Zn,,O,5,294.893175,-1.152772713
221,Ba4Sr4Zn8O24,Ba,Sr,,Zn,,,O,4,377.5020086,-1.025792545
223,Ba4Y4Cr8O24,Ba,Y,,Cr,,,O,4,160.8491605,-1.958316172
225,Ba4Y4Ga8O24,Ba,Y,,Ga,,,O,4,267.8544255,-1.845240579
226,Ba4Y4Mn8O24,Ba,Y,,Mn,,,O,4,124.6308404,-1.853725944
227,Ba4Y4Ni8O24,Ba,Y,,Ni,,,O,4,190.8708784,-1.160741736
229,Ba4Y4Ti8O24,Ba,Y,,Ti,,,O,4,70.04323975,-2.735192273
230,Ba4Y4V8O24,Ba,Y,,V,,,O,4,71.75494749,-2.238669896
