"Systems
Composition","c [lattice param]
(angstrom)"
CH2 CH2 CH2 CH2,5.121
CH2 CH2 CH2 GeF2,5.919
CH2 CH2 CH2 GeCl2,6.73
CH2 CH2 CH2 SiCl2,5.735
CH2 CH2 CH2 SnCl2,6.84
CH2 CH2 GeCl2 GeCl2,6.768
CH2 CH2 SiF2 GeF2,6.034
CH2 CH2 SiF2 GeCl2,6.589
CH2 CH2 SiF2 SiF2,6.375
CH2 CH2 SiCl2 GeCl2,6.598
CH2 CH2 SiCl2 SiF2,6.398
CH2 CH2 SiCl2 SiCl2,6.43
CH2 CH2 SnF2 GeCl2,7.143
CH2 CH2 SnF2 SiF2,6.316
CH2 CH2 SnF2 SiCl2,6.442
CH2 CH2 SnF2 SnF2,6.634
CH2 CH2 SnCl2 GeF2,7.0779999999999985
CH2 CH2 SnCl2 GeCl2,7.436
CH2 CH2 SnCl2 SiF2,6.3370000000000015
CH2 CH2 SnCl2 SiCl2,6.954
CH2 CH2 SnCl2 SnF2,7.507999999999999
CH2 CH2 SnCl2 SnCl2,6.53
CH2 GeF2 CH2 GeF2,6.672999999999999
CH2 GeF2 CH2 GeCl2,6.687
CH2 GeF2 CH2 SiF2,6.473
CH2 GeF2 CH2 SiCl2,6.516
CH2 GeF2 CH2 SnF2,6.994
CH2 GeF2 CH2 SnCl2,6.988
CH2 GeF2 SiF2 GeF2,7.454
CH2 GeF2 SiCl2 GeF2,7.439
CH2 GeF2 SnF2 GeF2,7.925
CH2 GeF2 SnCl2 GeF2,7.925
CH2 GeCl2 CH2 GeCl2,6.809
CH2 GeCl2 CH2 SiF2,6.502999999999999
CH2 GeCl2 CH2 SiCl2,6.66
CH2 GeCl2 CH2 SnCl2,7.0870000000000015
CH2 GeCl2 GeF2 GeF2,7.657999999999999
CH2 GeCl2 GeCl2 GeF2,7.606
CH2 GeCl2 GeCl2 GeCl2,7.644
CH2 GeCl2 SiF2 GeCl2,7.5
CH2 GeCl2 SiCl2 GeF2,7.437
CH2 GeCl2 SiCl2 GeCl2,7.501
CH2 GeCl2 SnF2 GeCl2,7.963999999999999
CH2 GeCl2 SnCl2 GeF2,7.927
CH2 GeCl2 SnCl2 GeCl2,7.973
CH2 SiF2 CH2 SiF2,6.267
CH2 SiF2 CH2 SiCl2,6.3279999999999985
CH2 SiF2 CH2 SnCl2,6.7970000000000015
CH2 SiF2 GeF2 GeF2,7.441
CH2 SiF2 GeF2 SiF2,7.207999999999998
CH2 SiF2 GeCl2 GeF2,7.412000000000001
CH2 SiF2 GeCl2 GeCl2,7.4129999999999985
CH2 SiF2 GeCl2 SiF2,7.1960000000000015
CH2 SiF2 SiF2 GeF2,7.217
CH2 SiF2 SiF2 GeCl2,7.233
CH2 SiF2 SiF2 SiF2,6.974
CH2 SiF2 SiCl2 GeCl2,7.2360000000000015
CH2 SiF2 SnF2 GeF2,7.677
CH2 SiF2 SnF2 GeCl2,7.697
CH2 SiF2 SnF2 SiF2,6.94
CH2 SiF2 SnCl2 GeF2,7.686
CH2 SiF2 SnCl2 SiF2,7.457000000000002
CH2 SiCl2 CH2 SiCl2,6.521
CH2 SiCl2 CH2 SnCl2,6.925
CH2 SiCl2 GeF2 GeF2,7.45
CH2 SiCl2 GeF2 SiF2,7.23
CH2 SiCl2 GeF2 SiCl2,7.319
CH2 SiCl2 GeCl2 GeF2,7.422999999999999
CH2 SiCl2 GeCl2 GeCl2,7.484
CH2 SiCl2 GeCl2 SiF2,7.2360000000000015
CH2 SiCl2 SiF2 GeF2,7.239
CH2 SiCl2 SiF2 SiF2,7.016
CH2 SiCl2 SiF2 SiCl2,7.138
CH2 SiCl2 SiCl2 GeF2,7.249
CH2 SiCl2 SiCl2 GeCl2,7.346
CH2 SiCl2 SiCl2 SiF2,7.051
CH2 SiCl2 SiCl2 SiCl2,7.205
CH2 SiCl2 SnF2 GeF2,7.715
CH2 SiCl2 SnF2 GeCl2,7.766
CH2 SiCl2 SnF2 SiF2,7.465
CH2 SiCl2 SnF2 SiCl2,7.564
CH2 SiCl2 SnCl2 GeF2,7.733
CH2 SiCl2 SnCl2 GeCl2,7.819
CH2 SiCl2 SnCl2 SiF2,7.516
CH2 SnF2 CH2 SnF2,7.302
CH2 SnF2 CH2 SnCl2,7.317
CH2 SnF2 GeF2 GeF2,7.926
CH2 SnF2 GeF2 GeCl2,7.942
CH2 SnF2 GeF2 SnF2,8.25
CH2 SnF2 GeCl2 GeF2,7.9
CH2 SnF2 GeCl2 SiF2,7.6789999999999985
CH2 SnF2 GeCl2 SiCl2,7.725
CH2 SnF2 GeCl2 SnF2,8.241
CH2 SnF2 SiF2 GeF2,7.69
CH2 SnF2 SiF2 GeCl2,7.707000000000002
CH2 SnF2 SiF2 SiF2,7.427
CH2 SnF2 SiF2 SiCl2,7.466
CH2 SnF2 SiF2 SnF2,7.992000000000001
CH2 SnF2 SiCl2 GeF2,7.695
CH2 SnF2 SiCl2 GeCl2,7.733
CH2 SnF2 SiCl2 SiF2,7.457000000000002
CH2 SnF2 SiCl2 SiCl2,7.518
CH2 SnF2 SiCl2 SnF2,8.012
CH2 SnF2 SnF2 GeF2,8.133
CH2 SnF2 SnF2 GeCl2,8.176
CH2 SnF2 SnF2 SiF2,7.856
CH2 SnF2 SnF2 SnF2,8.425
CH2 SnF2 SnCl2 GeF2,8.161
CH2 SnF2 SnCl2 GeCl2,8.235
CH2 SnF2 SnCl2 SiF2,7.905
CH2 SnF2 SnCl2 SiCl2,7.999
CH2 SnCl2 CH2 SnCl2,7.403
CH2 SnCl2 GeF2 GeF2,7.939
CH2 SnCl2 GeF2 SiF2,7.707999999999998
CH2 SnCl2 GeF2 SiCl2,7.778
CH2 SnCl2 GeF2 SnF2,8.267000000000001
CH2 SnCl2 GeF2 SnCl2,8.335
CH2 SnCl2 GeCl2 GeF2,7.917000000000002
CH2 SnCl2 GeCl2 GeCl2,7.981
CH2 SnCl2 GeCl2 SiF2,7.713999999999999
CH2 SnCl2 GeCl2 SiCl2,7.8039999999999985
CH2 SnCl2 GeCl2 SnF2,8.267000000000001
CH2 SnCl2 SiF2 GeF2,7.709
CH2 SnCl2 SiF2 GeCl2,7.786
CH2 SnCl2 SiF2 SnF2,8.032
CH2 SnCl2 SiF2 SnCl2,8.115
CH2 SnCl2 SiCl2 SiF2,7.516
CH2 SnCl2 SiCl2 SiCl2,7.66
CH2 SnCl2 SiCl2 SnF2,8.068
CH2 SnCl2 SnF2 GeF2,8.162
CH2 SnCl2 SnF2 GeCl2,8.24
CH2 SnCl2 SnF2 SiF2,7.922999999999999
CH2 SnCl2 SnF2 SiCl2,8.017999999999999
CH2 SnCl2 SnF2 SnF2,8.477
CH2 SnCl2 SnF2 SnCl2,8.578
CH2 SnCl2 SnCl2 GeF2,8.211
CH2 SnCl2 SnCl2 GeCl2,8.336
CH2 SnCl2 SnCl2 SiF2,7.983
CH2 SnCl2 SnCl2 SiCl2,8.173
CH2 SnCl2 SnCl2 SnCl2,8.703
