System_Name,A1_atom,B1_atom,A2_atom,B2_atom,gllbsc_ind_gap
AgNbLaAlO6,Ag,Nb,La,Al,4.1645432
AgNbLaGaO6,Ag,Nb,La,Ga,4.454628775
AgNbSnTiO6,Ag,Nb,Sn,Ti,2.8812394080000003
AgTaBaSnO6,Ag,Ta,Ba,Sn,4.115527804
AgTaBaTiO6,Ag,Ta,Ba,Ti,3.65187538
AgTaCaGeO6,Ag,Ta,Ca,Ge,4.596741977
AgTaCaSnO6,Ag,Ta,Ca,Sn,4.567418298
AgTaCsNbO6,Ag,Ta,Cs,Nb,3.257419299
AgTaCsVO6,Ag,Ta,Cs,V,2.169553701
AgTaGaNbO6,Ag,Ta,Ga,Nb,1.784718332
AgTaGaTaO6,Ag,Ta,Ga,Ta,2.285462409
AgTaKNbO6,Ag,Ta,K,Nb,3.43280078
AgTaKSbO6,Ag,Ta,K,Sb,4.2534372860000005
AgTaLaAlO6,Ag,Ta,La,Al,4.544527043
AgTaLaGaO6,Ag,Ta,La,Ga,4.428479438
AgTaLaInO6,Ag,Ta,La,In,4.598427211000001
AgTaLiNbO6,Ag,Ta,Li,Nb,3.554350261
AgTaLiVO6,Ag,Ta,Li,V,1.6618566259999998
AgTaMgTiO6,Ag,Ta,Mg,Ti,4.541470588
AgTaNaSbO6,Ag,Ta,Na,Sb,4.383274568
AgTaPbHfO6,Ag,Ta,Pb,Hf,4.468824182
AgTaPbTiO6,Ag,Ta,Pb,Ti,3.806312329
AgTaRbNbO6,Ag,Ta,Rb,Nb,3.3720197539999996
AgTaSnHfO6,Ag,Ta,Sn,Hf,3.6760993760000003
AgTaSnTiO6,Ag,Ta,Sn,Ti,3.280047217
AgTaSnZrO6,Ag,Ta,Sn,Zr,3.6719610489999996
AgTaSrGeO6,Ag,Ta,Sr,Ge,4.5444283830000005
AgTaSrSiO6,Ag,Ta,Sr,Si,4.6922181389999995
AgTaSrSnO6,Ag,Ta,Sr,Sn,4.170643623
AgTaSrTiO6,Ag,Ta,Sr,Ti,3.79098509
AgTaYAlO6,Ag,Ta,Y,Al,4.914572548
BaHfAgNbO6,Ba,Hf,Ag,Nb,4.078047088
BaHfAgTaO6,Ba,Hf,Ag,Ta,4.189891965
BaHfBaSnO6,Ba,Hf,Ba,Sn,6.081554917999999
BaHfBaTiO6,Ba,Hf,Ba,Ti,4.617955975
BaHfBaZrO6,Ba,Hf,Ba,Zr,6.343123966
BaHfCaGeO6,Ba,Hf,Ca,Ge,6.3500809170000005
BaHfCaSiO6,Ba,Hf,Ca,Si,7.124555422
BaHfCaSnO6,Ba,Hf,Ca,Sn,6.149864419
BaHfCaTiO6,Ba,Hf,Ca,Ti,4.881718641
BaHfCaZrO6,Ba,Hf,Ca,Zr,6.793831407000001
BaHfCsNbO6,Ba,Hf,Cs,Nb,4.17192157
BaHfCsTaO6,Ba,Hf,Cs,Ta,4.954141388
BaHfCsVO6,Ba,Hf,Cs,V,2.0240827759999998
BaHfGaTaO6,Ba,Hf,Ga,Ta,3.468891843
BaHfInNbO6,Ba,Hf,In,Nb,1.490876326
BaHfInTaO6,Ba,Hf,In,Ta,2.148573734
BaHfKSbO6,Ba,Hf,K,Sb,5.319984256000001
BaHfKTaO6,Ba,Hf,K,Ta,5.043565766
BaHfLaAlO6,Ba,Hf,La,Al,6.842296397
BaHfLaGaO6,Ba,Hf,La,Ga,7.087096037999999
BaHfLaInO6,Ba,Hf,La,In,6.388361955
BaHfLaScO6,Ba,Hf,La,Sc,7.259237807000001
BaHfLiVO6,Ba,Hf,Li,V,1.950932284
BaHfMgTiO6,Ba,Hf,Mg,Ti,5.157325978
BaHfMgZrO6,Ba,Hf,Mg,Zr,7.180769915
BaHfNaNbO6,Ba,Hf,Na,Nb,4.323594526
BaHfNaTaO6,Ba,Hf,Na,Ta,5.133972612
BaHfNaVO6,Ba,Hf,Na,V,1.943310423
BaHfPbHfO6,Ba,Hf,Pb,Hf,5.861282859
BaHfPbTiO6,Ba,Hf,Pb,Ti,4.716210837
BaHfPbZrO6,Ba,Hf,Pb,Zr,5.798471802000001
BaHfRbNbO6,Ba,Hf,Rb,Nb,4.19891716
BaHfRbTaO6,Ba,Hf,Rb,Ta,4.999203073
BaHfSnHfO6,Ba,Hf,Sn,Hf,5.154654591
BaHfSnTiO6,Ba,Hf,Sn,Ti,4.117831884
BaHfSnZrO6,Ba,Hf,Sn,Zr,5.129260058
BaHfSrHfO6,Ba,Hf,Sr,Hf,6.703417504
BaHfSrSiO6,Ba,Hf,Sr,Si,7.1006223870000005
BaHfSrSnO6,Ba,Hf,Sr,Sn,6.260326191
BaHfSrTiO6,Ba,Hf,Sr,Ti,4.711382223
BaHfTlNbO6,Ba,Hf,Tl,Nb,2.787349496
BaHfTlTaO6,Ba,Hf,Tl,Ta,3.519530094
BaHfYAlO6,Ba,Hf,Y,Al,7.467627553
BaSnAgNbO6,Ba,Sn,Ag,Nb,4.196255316
BaSnBaTiO6,Ba,Sn,Ba,Ti,4.610173391
BaSnCaGeO6,Ba,Sn,Ca,Ge,2.613094084
BaSnCaSiO6,Ba,Sn,Ca,Si,3.328665599
BaSnCaTiO6,Ba,Sn,Ca,Ti,4.634935362
BaSnLaAlO6,Ba,Sn,La,Al,5.229700982
BaSnLaGaO6,Ba,Sn,La,Ga,3.753770355
BaSnLiNbO6,Ba,Sn,Li,Nb,4.9853449119999995
BaSnLiVO6,Ba,Sn,Li,V,2.187158914
BaSnMgTiO6,Ba,Sn,Mg,Ti,4.682433617
BaSnMgZrO6,Ba,Sn,Mg,Zr,5.534709007999999
BaSnNaNbO6,Ba,Sn,Na,Nb,4.950429901000001
BaSnNaVO6,Ba,Sn,Na,V,2.182041303
BaSnSnTiO6,Ba,Sn,Sn,Ti,4.156500556
BaSnSrGeO6,Ba,Sn,Sr,Ge,1.902720005
BaSnSrSiO6,Ba,Sn,Sr,Si,3.060194418
BaSnSrTiO6,Ba,Sn,Sr,Ti,4.845106688
BaTiAgNbO6,Ba,Ti,Ag,Nb,3.238934908
BaTiCaGeO6,Ba,Ti,Ca,Ge,4.544465348999999
BaTiCaSiO6,Ba,Ti,Ca,Si,4.314413855
BaTiCaSnO6,Ba,Ti,Ca,Sn,4.63511974
BaTiCaTiO6,Ba,Ti,Ca,Ti,3.834829908
BaTiCsNbO6,Ba,Ti,Cs,Nb,3.933396345
BaTiCsVO6,Ba,Ti,Cs,V,2.387688728
BaTiLaGaO6,Ba,Ti,La,Ga,5.227039321
BaTiLaInO6,Ba,Ti,La,In,5.084089538
BaTiLiNbO6,Ba,Ti,Li,Nb,3.463015828
BaTiLiVO6,Ba,Ti,Li,V,2.517040515
BaTiMgTiO6,Ba,Ti,Mg,Ti,4.287310033
BaTiMgZrO6,Ba,Ti,Mg,Zr,5.285884852
BaTiNaNbO6,Ba,Ti,Na,Nb,3.438581234
BaTiNaSbO6,Ba,Ti,Na,Sb,3.997105561
BaTiSnTiO6,Ba,Ti,Sn,Ti,2.851249888
BaTiSrGeO6,Ba,Ti,Sr,Ge,4.35844875
BaTiSrSiO6,Ba,Ti,Sr,Si,4.207262042
BaTiSrSnO6,Ba,Ti,Sr,Sn,4.859086368
BaTiSrTiO6,Ba,Ti,Sr,Ti,3.773082118
BaZrAgNbO6,Ba,Zr,Ag,Nb,4.048794437
BaZrBaTiO6,Ba,Zr,Ba,Ti,4.5863499160000005
BaZrCaSiO6,Ba,Zr,Ca,Si,6.6405902370000005
BaZrCaSnO6,Ba,Zr,Ca,Sn,6.572670735
BaZrCaTiO6,Ba,Zr,Ca,Ti,4.883903763
BaZrCaZrO6,Ba,Zr,Ca,Zr,6.311282226
BaZrCsNbO6,Ba,Zr,Cs,Nb,4.1333263339999995
BaZrCsVO6,Ba,Zr,Cs,V,2.395969852
BaZrGaNbO6,Ba,Zr,Ga,Nb,2.741399812
BaZrGaTaO6,Ba,Zr,Ga,Ta,3.420362849
BaZrInNbO6,Ba,Zr,In,Nb,1.504016995
BaZrInTaO6,Ba,Zr,In,Ta,2.115610367
BaZrKNbO6,Ba,Zr,K,Nb,4.192233183
BaZrKSbO6,Ba,Zr,K,Sb,5.244987496
BaZrKTaO6,Ba,Zr,K,Ta,4.946851271
BaZrLaGaO6,Ba,Zr,La,Ga,6.8013439920000005
BaZrLaScO6,Ba,Zr,La,Sc,6.949118842000001
BaZrLiNbO6,Ba,Zr,Li,Nb,4.294253113
