6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Lattice Parameter
(angstrom)"
AgI-AgI-AgI-AgI-AgI-AgI,4.684
AgI-AgI-AgI-AgI-AgI-CdTe,4.7189999999999985
AgI-AgI-AgI-AgI-AgI-InSb,4.725
AgI-AgI-AgI-AgI-CdTe-CdTe,4.7360000000000015
AgI-AgI-AgI-CdTe-CdTe-CdTe,4.726
AgI-AgI-AgI-InSb-InSb-InSb,4.646
AgI-AgI-CdTe-CdTe-CdTe-CdTe,4.724
AgI-AgI-CdTe-CdTe-InSb-InSb,4.729
AgI-AgI-CdTe-InSb-InSb-InSb,4.671
AgI-AgI-InSb-InSb-InSb-InSb,4.609
AgI-CdTe-CdTe-CdTe-InSb-InSb,4.714
AgI-CdTe-CdTe-InSb-InSb-InSb,4.71
AgI-CdTe-InSb-InSb-InSb-InSb,4.676
AgI-InSb-InSb-InSb-InSb-InSb,4.63
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,4.043
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,4.075
AlAs-AlAs-AlAs-AlAs-AlAs-CuBr,4.085
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,4.043
AlAs-AlAs-AlAs-AlAs-AlAs-ZnSe,4.055
AlAs-AlAs-AlAs-AlAs-CdS-CdS,4.099
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,4.061
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,4.025
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,4.079
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,4.044
AlAs-AlAs-AlAs-AlAs-ZnSe-GaAs,4.067
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,4.063
AlAs-AlAs-AlAs-CdS-CdS-CdS,4.124
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,4.082
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,4.017
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,4.025
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,4.08
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,4.0760000000000005
AlAs-AlAs-AlAs-GaAs-CdS-CdS,4.102
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,4.08
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,4.045
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,4.0710000000000015
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,4.0680000000000005
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,4.065
AlAs-AlAs-CdS-CdS-CdS-CdS,4.16
AlAs-AlAs-CuBr-CuBr-CuBr-CuBr,4.079
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,4.012
AlAs-AlAs-CuBr-CuBr-ZnSe-GaAs,4.023
AlAs-AlAs-CuBr-CuBr-ZnSe-ZnSe,4.044
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,4.016
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,4.087
AlAs-AlAs-GaAs-CdS-CdS-CdS,4.129
AlAs-AlAs-GaAs-GaAs-CdS-CdS,4.103
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,4.047
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,4.0710000000000015
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,4.063
AlAs-CdS-CdS-CdS-CdS-CdS,4.197
AlAs-CuBr-CuBr-CuBr-CuBr-CuBr,4.06
AlAs-CuBr-CuBr-CuBr-CuBr-GaAs,3.983
AlAs-CuBr-CuBr-CuBr-GaAs-GaAs,4.032
AlAs-CuBr-CuBr-CuBr-ZnSe-ZnSe,4.056
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,3.997
AlAs-CuBr-CuBr-ZnSe-GaAs-GaAs,4.07
AlAs-CuBr-CuBr-ZnSe-ZnSe-GaAs,4.0760000000000005
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,4.02
AlAs-CuBr-ZnSe-GaAs-GaAs-GaAs,4.09
AlAs-CuBr-ZnSe-ZnSe-GaAs-GaAs,4.09
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,4.083
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,4.06
AlAs-GaAs-GaAs-CdS-CdS-CdS,4.134
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,4.086
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,4.048
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,4.072
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,4.074
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,4.072
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.065
AlN-AlN-AlN-AlN-AlN-SiC,3.138
AlN-AlN-AlN-AlN-SiC-SiC,3.138
AlN-AlN-AlN-SiC-SiC-SiC,3.134
AlN-AlN-SiC-SiC-SiC-SiC,3.127
AlN-SiC-SiC-SiC-SiC-SiC,3.112
AlP-AlP-AlP-AlP-AlP-AlP,3.886
AlP-AlP-AlP-AlP-AlP-CuBr,3.923
AlP-AlP-AlP-AlP-AlP-GaP,3.883
AlP-AlP-AlP-AlP-AlP-ZnS,3.888
AlP-AlP-AlP-AlP-CuBr-CuBr,3.953
AlP-AlP-AlP-AlP-CuBr-GaP,3.874
AlP-AlP-AlP-AlP-CuBr-ZnSe,3.854
AlP-AlP-AlP-AlP-GaP-GaP,3.883
AlP-AlP-AlP-AlP-ZnS-ZnS,3.891
AlP-AlP-AlP-AlP-ZnSe-GaP,3.916
AlP-AlP-AlP-AlP-ZnSe-ZnSe,3.942
AlP-AlP-AlP-CuBr-CuBr-CuBr,3.883
AlP-AlP-AlP-CuBr-CuBr-GaP,3.887
AlP-AlP-AlP-CuBr-GaP-GaP,3.874
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,3.927
AlP-AlP-AlP-GaP-GaP-GaP,3.883
AlP-AlP-AlP-ZnS-GaP-GaP,3.899
AlP-AlP-AlP-ZnS-ZnS-ZnS,3.882
AlP-AlP-AlP-ZnSe-GaP-GaP,3.917
AlP-AlP-AlP-ZnSe-ZnSe-GaP,3.95
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,3.972
AlP-AlP-CuBr-CuBr-CuBr-CuBr,3.944
AlP-AlP-CuBr-CuBr-CuBr-GaP,3.908
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,3.854
AlP-AlP-CuBr-CuBr-GaP-GaP,3.886
AlP-AlP-CuBr-CuBr-ZnSe-GaP,3.857
AlP-AlP-CuBr-GaP-GaP-GaP,3.869
AlP-AlP-CuBr-ZnSe-GaP-GaP,3.901
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,3.96
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,3.979
AlP-AlP-ZnS-GaP-GaP-GaP,3.9
