6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Formation Energy
(eV/atom)"
AgI-AgI-AgI-AgI-AgI-AgI,-0.239
AgI-AgI-AgI-AgI-AgI-CdTe,-0.214
AgI-AgI-AgI-AgI-AgI-InSb,-0.11199999999999999
AgI-AgI-AgI-AgI-CdTe-CdTe,-0.215
AgI-AgI-AgI-InSb-InSb-InSb,-0.022000000000000002
AgI-AgI-CdTe-CdTe-CdTe-CdTe,-0.264
AgI-AgI-CdTe-CdTe-InSb-InSb,-0.096
AgI-AgI-CdTe-InSb-InSb-InSb,-0.033
AgI-AgI-InSb-InSb-InSb-InSb,-0.006
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,-0.305
AgI-CdTe-CdTe-InSb-InSb-InSb,-0.07200000000000001
AgI-CdTe-InSb-InSb-InSb-InSb,-0.013000000000000001
AgI-InSb-InSb-InSb-InSb-InSb,0.02
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,-0.473
AlAs-AlAs-AlAs-AlAs-CdS-CdS,-0.41600000000000004
AlAs-AlAs-AlAs-AlAs-CuBr-CuBr,-0.191
AlAs-AlAs-AlAs-AlAs-CuBr-ZnSe,-0.281
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,-0.379
AlAs-AlAs-AlAs-AlAs-GaAs-GaAs,-0.4370000000000001
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,-0.46299999999999997
AlAs-AlAs-AlAs-CdS-CdS-CdS,-0.424
AlAs-AlAs-AlAs-CuBr-CuBr-CuBr,-0.114
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,-0.175
AlAs-AlAs-AlAs-CuBr-CuBr-ZnSe,-0.21
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,-0.21600000000000005
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,-0.253
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,-0.313
AlAs-AlAs-AlAs-GaAs-GaAs-GaAs,-0.401
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,-0.423
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,-0.48
AlAs-AlAs-CdS-CdS-CdS-CdS,-0.441
