"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c12 (GPa)
AgI-AgI-AgI-AgI-InSb-InSb,24.56
AgI-AgI-AgI-CdTe-CdTe-InSb,14.64
AgI-AgI-AgI-InSb-InSb-InSb,9.36
AgI-AgI-CdTe-CdTe-CdTe-InSb,29.62
AgI-CdTe-CdTe-CdTe-CdTe-CdTe,29.06
AgI-CdTe-CdTe-CdTe-CdTe-InSb,21.61
AgI-CdTe-CdTe-CdTe-InSb-InSb,27.13
AgI-CdTe-CdTe-InSb-InSb-InSb,28.07
AgI-InSb-InSb-InSb-InSb-InSb,25.48
AlAs-AlAs-AlAs-AlAs-AlAs-AlAs,48.21
AlAs-AlAs-AlAs-AlAs-AlAs-CdS,51.55
AlAs-AlAs-AlAs-AlAs-AlAs-GaAs,46.35
AlAs-AlAs-AlAs-AlAs-CdS-CdS,50.37
AlAs-AlAs-AlAs-AlAs-CuBr-GaAs,36.47
AlAs-AlAs-AlAs-AlAs-GaAs-CdS,49.63
AlAs-AlAs-AlAs-AlAs-ZnSe-ZnSe,51.56
AlAs-AlAs-AlAs-CdS-CdS-CdS,51.46
AlAs-AlAs-AlAs-CuBr-CuBr-GaAs,19.56
AlAs-AlAs-AlAs-CuBr-GaAs-GaAs,45.83
AlAs-AlAs-AlAs-CuBr-ZnSe-GaAs,49.26
AlAs-AlAs-AlAs-CuBr-ZnSe-ZnSe,38.53
AlAs-AlAs-AlAs-GaAs-CdS-CdS,48.98
AlAs-AlAs-AlAs-GaAs-GaAs-CdS,48.27
AlAs-AlAs-AlAs-ZnSe-GaAs-GaAs,45.72
AlAs-AlAs-AlAs-ZnSe-ZnSe-GaAs,59.83
AlAs-AlAs-AlAs-ZnSe-ZnSe-ZnSe,54.51
AlAs-AlAs-CdS-CdS-CdS-CdS,52.98
AlAs-AlAs-CuBr-CuBr-CuBr-ZnSe,31.35
AlAs-AlAs-CuBr-CuBr-GaAs-GaAs,30.32
AlAs-AlAs-CuBr-GaAs-GaAs-GaAs,40.39
AlAs-AlAs-CuBr-ZnSe-GaAs-GaAs,51.92
AlAs-AlAs-CuBr-ZnSe-ZnSe-GaAs,39.93
AlAs-AlAs-GaAs-GaAs-CdS-CdS,46.94
AlAs-AlAs-GaAs-GaAs-GaAs-CdS,46.42
AlAs-AlAs-GaAs-GaAs-GaAs-GaAs,42.62
AlAs-AlAs-ZnSe-GaAs-GaAs-GaAs,44.46
AlAs-AlAs-ZnSe-ZnSe-GaAs-GaAs,57.1
AlAs-AlAs-ZnSe-ZnSe-ZnSe-GaAs,57.95
AlAs-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,49.73
AlAs-CuBr-CuBr-GaAs-GaAs-GaAs,32.09
AlAs-CuBr-GaAs-GaAs-GaAs-GaAs,42.54
AlAs-CuBr-ZnSe-ZnSe-ZnSe-GaAs,35.42
AlAs-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,31.89
