Sr.No.,MXene,Eg(GW; eV),Eg(PBE; eV),"phi(L)
(eV)","phi(U)
(eV)","d
(angstrom)","delta(d)
(angstrom)","V
(angstrom^3/atom)",APF,"EV
(eV)","EC
(eV)","phi(N)
(eV)","a
(angstrom)",c,"Hf
(eV)"
1,Y-Sc-C-Cl-OCN,3.3956,0.8756,2.1713,6.3336,2.4302,-0.0512,39.0152,0.3661,-5.6868,-4.8112,4.2524,3.5492,1,-11.2764
2,Y-Sc-C-Br-OCN,3.3659,0.8269,2.134,6.3941,2.4424,-0.0634,39.7189,0.3667,-5.4308,-4.6039,4.2641,3.5791,1,-10.6495
3,Y-Sc-C-NCO-Cl,3.3072,0.9249,3.3325,4.5681,2.4290000000000003,-0.05,39.0158,0.3661,-4.029,-3.1041,3.9504,3.5509,1,-12.6013
4,Y-Sc-C-NCS-H,3.2661,0.9253,2.9483,3.2084,2.4139,-0.0349,38.2206,0.3786,-3.2805,-2.3552,3.0783,3.5155,1,-9.957
5,Y-Sc-C-NCS-Cl,3.2553,0.8181,3.0055,4.3419,2.4407,-0.0617,39.626,0.3724,-3.1205,-2.3024,3.6737,3.5785,1,-10.5544
6,Y-Sc-C-NCS-Br,3.2203,0.768,3.0963,4.2636,2.4515,-0.0725,40.3097,0.3731,-2.9442,-2.1762,3.6799,3.6095,1,-9.9877
7,Y-Sc-C-NCO-OH,2.9966,0.9139,0.6526,6.2834,2.4051,-0.0261,32.8645,0.4286,-3.5707,-2.6568,3.4679,3.4847,1,-6.5703
8,Sc-Y-C-CN-F,2.7883,1.1741,1.2069,5.3605,2.4149,-0.0359,44.4892,0.3111,-5.4273,-4.2532,3.2837,3.5113,1,-11.0755
9,Y-Sc-C-NCS-OH,2.787,0.8005,1.6724,4.5636,2.4171,-0.0381,33.4194,0.4358,-2.0598,-1.2593,3.1180000000000003,3.512,1,-13.9745
10,Sc-Y-C-Cl-OCN,2.6927,0.9012,2.1768,6.3305,2.4324,-0.0534,39.2115,0.3642,-5.6489,-4.7477,4.2536,3.5580000000000003,1,-11.3974
11,Sc-Y-C-NCS-OCN,2.6719,0.742,1.8258,7.5012,2.4285,-0.0495,30.2619,0.4903,-4.2946,-3.5526,4.6635,3.5468,1,-14.2904
12,Sc-Sc-C-CN-F,2.6603,1.1379,0.8163,4.5224,2.3059,0.239,48.5871,0.2739,-7.0058,-5.8679,2.6693,3.3497,1,-11.2682
13,Sc-Y-C-Br-OCN,2.6529,0.8321,2.1345,6.3285,2.4447,-0.0658,39.9798,0.342,-5.3537,-4.5216,4.2599,3.5926,1,-10.8181
14,Y-Sc-C-F-Br,2.6486,0.9322,1.9852,3.4014,2.4298,-0.0509,54.7829,0.258,-3.6075,-2.6753,2.6933,3.5568,1,-9.1891
15,Sc-Y-C-CN-NCS,2.6384,0.935,2.1957,6.1487,2.4382,-0.0592,34.4627,0.4278,-4.303,-3.3680000000000003,4.1722,3.5661,1,-11.8239
16,Y-Sc-C-CN-F,2.6139,1.1849,1.3765,5.3147,2.4105,-0.0315,53.0482,0.3131,-5.5516,-4.3667,3.3456,3.5001,1,-10.892
17,Sc-Y-C-CN-OCN,2.6095,1.0334,3.8917,5.428,2.4267,-0.0477,33.9854,0.4198,-6.7926,-5.7592,4.6598,3.5437,1,-12.6828
18,Sc-Sc-C-CN-OCN,2.5734,0.9273,3.3014,4.7485,2.3195,0.2254,37.7337,0.3712,-9.2811,-8.3538,4.0249,3.3864,1,-12.8963
19,Sc-Sc-C-F-Br,2.5645,0.8574,1.9632,2.8237,2.3269,0.2179,60.4362,0.2261,-5.1678,-4.3104,2.3935,3.4104,1,-9.2224
