k1,k2,porosity,k-LBM
1,2,0.0111754,1.0178
1,2,0.0111754,1.01773
1,2,0.0125478,1.01835
1,2,0.0162729,1.02145
1,2,0.016567,1.02124
1,2,0.0405843,1.03826
1,2,0.042348800000000006,1.03875
1,2,0.0427409,1.04039
1,2,0.0599941,1.0506799999999998
1,2,0.0633271,1.05554
1,2,0.0688168,1.05844
1,2,0.0698951,1.05835
1,2,0.0723458,1.06001
1,2,0.08685419999999999,1.07261
1,2,0.0885207,1.0728799999999998
1,2,0.0943045,1.07652
1,2,0.115185,1.09219
1,2,0.115185,1.09367
1,2,0.120282,1.0948
1,2,0.123027,1.0992
1,2,0.123909,1.09942
1,2,0.137045,1.1091
1,2,0.140476,1.11246
1,2,0.14263299999999998,1.11335
1,2,0.14371099999999998,1.11063
1,2,0.145476,1.11215
1,2,0.160474,1.12827
1,2,0.16518,1.12995
1,2,0.169787,1.13422
1,2,0.172532,1.13514
1,2,0.175277,1.13745
1,2,0.187825,1.14929
1,2,0.197628,1.15233
1,2,0.199,1.15946
1,2,0.208803,1.1655799999999998
1,2,0.213018,1.16761
1,2,0.216351,1.17255
1,2,0.231448,1.18091
1,2,0.231742,1.18537
1,2,0.233801,1.18044
1,2,0.234977,1.18731
1,2,0.241251,1.19374
1,2,0.25223,1.20314
1,2,0.254975,1.20931
1,2,0.264778,1.21579
1,2,0.265268,1.21153
1,2,0.26615,1.21429
1,2,0.270366,1.21409
1,2,0.277718,1.22831
1,2,0.282227,1.22471
1,2,0.306244,1.25208
1,2,0.314871,1.24999
1,2,0.330556,1.26977
1,2,0.332124,1.26747
1,2,0.335947,1.26739
1,2,0.338104,1.2763
1,2,0.355063,1.29079
1,2,0.357612,1.29826
1,2,0.361827,1.2989700000000002
1,2,0.366239,1.29476
1,2,0.0398,1.0372
1,2,0.092638,1.07621
1,2,0.0936183,1.07689
1,2,0.189687,1.14427
1,2,0.292716,1.23062
1,2,0.298598,1.23757
1,2,0.333595,1.2678
1,4,0.0111754,1.0258200000000002
1,4,0.0111754,1.02532
1,4,0.0162729,1.03333
1,4,0.0405843,1.0657
1,4,0.042348800000000006,1.06572
1,4,0.0427409,1.07058
1,4,0.043133,1.0697
1,4,0.0599941,1.08773
1,4,0.0633271,1.10368
1,4,0.0688168,1.10679
1,4,0.0698951,1.10354
1,4,0.0723458,1.1077
1,4,0.08685419999999999,1.13611
1,4,0.092638,1.14329
1,4,0.0936183,1.14451
1,4,0.0943045,1.14128
1,4,0.115185,1.1752200000000002
1,4,0.115185,1.18099
1,4,0.120282,1.17841
1,4,0.123027,1.19308
1,4,0.137045,1.21176
1,4,0.140476,1.21982
1,4,0.14263299999999998,1.22131
1,4,0.14371099999999998,1.20756
1,4,0.145476,1.21015
1,4,0.160474,1.25502
1,4,0.16518,1.25597
1,4,0.169787,1.26685
1,4,0.175277,1.26936
1,4,0.187825,1.29996
1,4,0.189687,1.27686
1,4,0.197628,1.2995
1,4,0.199,1.32619
1,4,0.208803,1.33731
1,4,0.212822,1.34072
1,4,0.213018,1.3375
1,4,0.216351,1.35443
1,4,0.233801,1.35942
1,4,0.234977,1.38684
1,4,0.254975,1.45033
1,4,0.264778,1.46597
1,4,0.265268,1.44086
1,4,0.270366,1.44661
1,4,0.277718,1.49781
1,4,0.298598,1.50345
1,4,0.306244,1.55476
1,4,0.310656,1.58318
1,4,0.330556,1.5965
1,4,0.338104,1.6106
1,4,0.347221,1.62007
1,4,0.355063,1.64697
1,4,0.357612,1.68198
1,4,0.361827,1.672
1,4,0.366239,1.63867
1,4,0.016567,1.03176
1,4,0.0398,1.06287
1,4,0.0885207,1.13591
1,4,0.172532,1.26475
1,4,0.25223,1.43251
1,4,0.332124,1.57626
1,6,0.0111754,1.03021
1,6,0.0111754,1.02924
1,6,0.0398,1.07587
1,6,0.0405843,1.08
1,6,0.0599941,1.10592
1,6,0.0633271,1.1311
1,6,0.0688168,1.13303
1,6,0.0698951,1.12649
1,6,0.0723458,1.13251
1,6,0.08685419999999999,1.17035
1,6,0.0936183,1.18106
1,6,0.0943045,1.17526
1,6,0.115185,1.2205700000000002
1,6,0.120282,1.2229
1,6,0.123027,1.24673
1,6,0.123909,1.23955
1,6,0.137045,1.26908
1,6,0.140476,1.28043
1,6,0.14371099999999998,1.25822
1,6,0.145476,1.26041
1,6,0.160474,1.32715
1,6,0.16518,1.32739
1,6,0.169787,1.34336
1,6,0.172532,1.33687
1,6,0.187825,1.38651
1,6,0.189687,1.34836
1,6,0.197628,1.382
1,6,0.199,1.42569
1,6,0.208803,1.43921
1,6,0.212822,1.44099
1,6,0.213018,1.43415
1,6,0.231448,1.47269
1,6,0.231742,1.51325
1,6,0.234977,1.50525
1,6,0.241251,1.54277
1,6,0.25223,1.58068
1,6,0.254975,1.60261
1,6,0.264778,1.62703
1,6,0.270366,1.58811
1,6,0.292716,1.64295
1,6,0.298598,1.66972
1,6,0.310656,1.80269
1,6,0.330556,1.81748
1,6,0.332124,1.77377
1,6,0.333595,1.7815900000000002
1,6,0.347221,1.84635
1,6,0.355063,1.88968
1,6,0.357612,1.95433
1,6,0.361827,1.92825
1,6,0.0162729,1.03985
1,6,0.0885207,1.16987
1,6,0.092638,1.17985
1,6,0.188217,1.39402
1,6,0.265268,1.57933
1,6,0.26615,1.6152799999999998
1,6,0.314871,1.70562
1,6,0.335947,1.78267
1,8,0.0111754,1.04679
1,8,0.0111754,1.0432
1,8,0.0125478,1.0477
1,8,0.016567,1.05252
1,8,0.0398,1.11522
1,8,0.0405843,1.12983
1,8,0.042348800000000006,1.11989
1,8,0.043133,1.13569
1,8,0.0698951,1.19499
1,8,0.0723458,1.21226
1,8,0.08685419999999999,1.28587
1,8,0.0885207,1.32019
1,8,0.092638,1.30864
1,8,0.115185,1.38467
1,8,0.115185,1.39886
1,8,0.120282,1.37553
1,8,0.123027,1.48789
1,8,0.123909,1.42402
1,8,0.137045,1.48985
1,8,0.14263299999999998,1.5177200000000002
1,8,0.14371099999999998,1.42231
1,8,0.145476,1.41222
1,8,0.160474,1.5772
1,8,0.16518,1.6194
1,8,0.169787,1.66894
1,8,0.175277,1.6156
1,8,0.187825,1.73511
1,8,0.188217,1.79872
1,8,0.189687,1.6418
1,8,0.197628,1.71302
1,8,0.199,1.85857
1,8,0.212822,1.84587
1,8,0.213018,1.80353
1,8,0.231448,1.94895
1,8,0.231742,2.25112
1,8,0.234977,2.07305
1,8,0.241251,2.1876
1,8,0.25223,2.50259
1,8,0.264778,2.4807900000000003
1,8,0.265268,2.19273
1,8,0.26615,2.51122
1,8,0.282227,2.35946
1,8,0.298598,2.55177
1,8,0.306244,2.96418
1,8,0.310656,3.16253
1,8,0.314871,2.65858
1,8,0.333595,2.94698
1,8,0.335947,3.3558
1,8,0.338104,3.14204
1,8,0.347221,3.3560300000000005
1,8,0.357612,4.00387
1,8,0.361827,3.7163
1,8,0.0599941,1.15927
1,8,0.0633271,1.26761
1,8,0.216351,1.91803
1,8,0.292716,2.45531
1,8,0.330556,3.24968
1,8,0.332124,2.8414
1,8,0.355063,3.66847
1,10,0.0111754,1.03517
1,10,0.0111754,1.03346
1,10,0.0125478,1.03574
1,10,0.0162729,1.04724
1,10,0.016567,1.04233
1,10,0.0427409,1.10401
1,10,0.043133,1.10167
1,10,0.0599941,1.12442
1,10,0.0688168,1.16225
1,10,0.0698951,1.15051
1,10,0.0723458,1.15921
1,10,0.08685419999999999,1.20789
1,10,0.0885207,1.20778
1,10,0.0936183,1.22147
