Ti,Ni,Cu,Fe,Pd,Pettifor chemical scale,atomic radius (pm),metallic radius (pm),"Pauling electro-
negativity",valence electron #,pseudo-potential radius (angstrom),delta(T)
50,45.2,1.0,3.8,0,0.9373,162.726,135.616,1.7219,6.934,0.4084,3.15
50,44.4,2.0,3.6,0,0.9386,162.672,135.65200000000002,1.7219,6.948,0.4082,3.4
50,43.6,3.0,3.4,0,0.9399,162.618,135.688,1.722,6.9620000000000015,0.408,3.78
50,46.0,0.0,4.0,0,0.936,162.78,135.58,1.7218,6.92,0.4086,4.21
50,44.5,1.5,3.0,1,0.939,162.85,135.75,1.7254,6.955,0.4104,4.26
50,34.0,13.0,0.0,3,0.9552,162.58,136.41,1.7324,7.13,0.4126,4.7
50,34.0,10.0,0.0,6,0.9528,163.3,136.68,1.7414,7.1,0.4202,5.32
50,34.0,12.0,0.0,4,0.9544,162.82,136.5,1.7354,7.12,0.4151,5.8
50,42.0,5.0,3.0,0,0.9425,162.51,135.76,1.7221,6.99,0.4076,5.83
50,35.0,12.0,0.0,3,0.9541,162.62,136.37,1.7325,7.12,0.4127,5.93
50,40.0,0.0,0.0,10,0.943,164.5,136.8,1.754,7.0,0.4312,6.04
50,34.0,14.0,0.0,2,0.956,162.34,136.32,1.7294,7.14,0.41,6.65
50,34.0,16.0,0.0,0,0.9576,161.86,136.14,1.7234,7.16,0.4049,7.4
50,44.0,1.0,1.0,4,0.9413,163.33,136.08,1.7357,6.99,0.417,8.36
50,34.0,0.0,0.0,16,0.9448,165.7,137.58,1.7714,7.0,0.4457,8.53
50,36.4,12.0,1.6,0,0.9516,162.132,136.012,1.7225,7.087999999999999,0.4061,8.62
50,41.2,6.0,2.8,0,0.9438,162.45600000000005,135.796,1.7222,7.004,0.4073,10.16
50,38.0,10.0,2.0,0,0.949,162.24,135.94,1.7224,7.06,0.4065,10.34
50,34.8,14.0,1.2,0,0.9542,162.024,136.084,1.7226,7.1160000000000005,0.4057,10.79
50,39.6,8.0,2.4,0,0.9464,162.34799999999996,135.868,1.7223,7.032,0.4069,12.66
50,50.0,0.0,0.0,0,0.94,162.5,135.5,1.725,7.0,0.407,29.89
